Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,3610.0,6410.0,16100.0,2.02,0.65,2.52,0.26,0.19,0.906098,0.561773
Albania,779.0,2770.0,4140.0,0.02,0.56,2.23,1.12,0.66,2.613266,0.281584
Algeria,5850.0,117000.0,71900.0,25.09,16.8,31.71,21.92,20.89,5.384069,0.418993
Angola,3940.0,24400.0,35800.0,2.37,3.77,6.41,2.59,8.68,2.744409,0.46558
Anguilla,0.45,4.67,24.0,0.0,0.0,0.02,0.0,0.0,2.115052,0.098982
Antigua and Barbuda,22.2,49.8,353.0,0.16,0.05,0.12,0.01,0.0,4.49223,0.236881
Argentina,50700.0,116000.0,194000.0,45.53,36.48,43.41,48.32,17.59,8.754885,0.765539
Armenia,709.0,1910.0,4230.0,0.63,1.64,1.26,0.52,0.41,2.382095,0.355125
Australia,43900.0,121000.0,421000.0,210.67,18.81,87.61,71.95,23.81,26.47337,0.642925
Austria,3840.0,10500.0,76900.0,17.2,10.71,22.36,18.44,6.6,10.84326,0.253917
Azerbaijan,2510.0,17900.0,24800.0,8.36,7.15,4.95,3.07,1.22,4.996163,0.313048
Bahamas,101.0,191.0,3450.0,0.81,0.26,0.59,0.07,0.01,10.36597,0.452975
Bahrain,150.0,5160.0,19100.0,17.97,0.22,3.15,4.21,3.25,19.68392,0.480962
Bangladesh,22300.0,61000.0,118000.0,24.12,9.09,7.35,9.3,8.68,1.324428,0.541626
Barbados,58.5,118.0,1270.0,1.85,0.12,0.23,0.04,0.1,5.184551,0.337144
Belarus,11400.0,19000.0,70900.0,33.01,7.33,10.94,8.59,6.94,10.68601,0.679763
Belgium,8800.0,16900.0,112000.0,23.03,29.01,25.89,25.72,12.1,12.62651,0.310534
Belize,136.0,250.0,949.0,0.12,0.04,0.08,0.01,0.0,4.149216,0.527087
Benin,1660.0,5080.0,4770.0,0.08,1.18,3.17,0.14,0.53,1.251531,0.687928
Bermuda,16.7,21.4,498.0,0.16,0.05,0.12,0.01,0.0,8.38989,0.14597
Bhutan,156.0,1170.0,838.0,0.12,0.02,0.12,0.6,0.45,2.974199,0.463262
Bolivia,5840.0,15200.0,21900.0,2.92,3.05,5.41,2.33,1.12,4.331738,0.800632
Bosnia and Herzegovina,972.0,3810.0,22100.0,13.39,1.58,3.4,2.1,1.7,7.213141,0.751228
Botswana,1690.0,5200.0,4170.0,0.57,0.2,1.94,0.57,0.2,5.48757,0.411663
Brazil,166000.0,442000.0,478000.0,45.1,38.0,167.72,119.81,74.61,5.518263,0.379558
Brunei,133.0,7360.0,5180.0,2.78,0.1,1.18,2.8,0.48,32.62568,0.447892
Bulgaria,2740.0,8890.0,48800.0,30.11,1.75,7.79,4.71,4.28,8.161928,0.535402
Burkina Faso,2170.0,5980.0,15600.0,0.36,0.21,0.82,0.19,0.29,1.521128,1.068183
Burundi,937.0,904.0,3610.0,0.04,0.03,0.1,0.02,0.03,0.621847,0.814012
Cambodia,4170.0,3110.0,24000.0,0.81,0.53,3.09,0.2,0.39,2.186886,0.866484
Cameroon,3730.0,10800.0,21500.0,1.23,0.37,2.68,0.78,2.58,1.802684,0.67955
Canada,34000.0,116000.0,549000.0,110.32,88.11,168.0,162.07,38.64,20.48092,0.50506
Cape Verde,91.2,88.3,226.0,0.07,0.04,0.17,0.04,0.0,0.807656,0.13849
Cayman Islands,10.8,36.2,322.0,0.13,0.04,0.1,0.01,0.0,6.639006,0.189327
Central African Republic,489.0,2610.0,6010.0,0.07,0.04,0.17,0.04,0.02,2.046762,2.305888
Chad,1140.0,4450.0,14100.0,0.06,0.04,0.14,0.03,0.15,1.654221,0.860382
Chile,7800.0,21500.0,73600.0,25.09,5.98,21.44,16.09,5.56,6.053648,0.312416
China,504000.0,1580000.0,8810000.0,3619.98,572.97,581.55,2933.07,1417.24,8.01559,0.863651
Colombia,20000.0,64300.0,74100.0,10.74,7.68,21.72,20.09,6.29,3.450576,0.316464
Comoros,53.8,95.9,299.0,0.03,0.02,0.07,0.02,0.0,0.650893,0.477071
Democratic Republic of the Congo,3090.0,3350.0,23100.0,0.05,0.03,1.65,0.14,1.18,0.458194,0.751257
Congo,515.0,5370.0,9930.0,0.21,0.11,1.48,0.03,3.49,3.604319,0.695137
Costa Rica,1490.0,3670.0,7270.0,0.54,0.42,4.56,1.09,0.63,2.73637,0.216028
Cote d'Ivoire,2290.0,6780.0,9960.0,2.76,0.84,1.51,1.13,1.15,0.932679,0.346726
Croatia,2700.0,4390.0,21700.0,4.23,3.5,5.83,4.68,3.2,6.658189,0.326025
Cuba,5730.0,13200.0,30900.0,15.89,3.99,1.25,11.55,1.09,4.390667,0.239047
Cyprus,322.0,1620.0,7980.0,3.79,0.57,2.23,0.67,0.72,8.92026,0.354969
Czechia,5990.0,12900.0,121000.0,64.14,14.22,16.6,17.51,8.22,13.25563,0.475102
Denmark,5400.0,9310.0,48800.0,22.16,5.91,13.02,6.15,1.76,11.42954,0.266249
Djibouti,247.0,846.0,1280.0,0.25,0.15,0.58,0.13,0.01,2.78596,1.058182
Dominica,17.8,50.4,151.0,0.03,0.01,0.02,0.0,0.0,3.068219,0.301288
Dominican Republic,2590.0,10300.0,20700.0,8.96,1.52,5.43,3.73,1.76,3.391385,0.302788
Ecuador,4770.0,36700.0,24500.0,8.07,5.64,12.51,5.83,5.76,4.423703,0.472313
Egypt,25000.0,57200.0,212000.0,62.63,22.44,44.84,46.53,35.21,3.499172,0.354977
El Salvador,1430.0,3110.0,6740.0,1.33,0.65,3.01,0.83,0.88,1.830923,0.250662
Equatorial Guinea,34.3,2920.0,6280.0,0.21,0.09,0.34,0.94,2.78,9.709557,0.341188
Eritrea,504.0,1270.0,3770.0,0.25,0.06,0.11,0.02,0.02,1.262235,0.891457
