Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2170.0,2100.0,7750.0,0.59,1.04,0.56,0.09,0.27,0.980756,0.714147
Albania,1180.0,3350.0,6620.0,0.52,2.09,0.71,2.35,0.91,3.398565,0.788363
Algeria,3610.0,68000.0,79400.0,10.22,6.59,15.81,18.55,14.51,5.827113,0.569175
Angola,2150.0,11300.0,38400.0,0.29,0.66,1.02,1.95,1.93,4.25654,0.969425
Anguilla,0.16,2.42,6.11,0.0,0.0,0.0,0.0,0.0,1.042555,0.045674
Antigua and Barbuda,14.7,44.9,245.0,0.09,0.09,0.03,0.01,0.0,4.566917,0.286839
Argentina,32900.0,137000.0,113000.0,20.28,22.01,28.44,28.67,13.03,8.638591,1.365503
Armenia,771.0,2260.0,20700.0,6.1,6.97,2.96,3.81,0.86,6.705833,1.792187
Australia,42700.0,124000.0,278000.0,128.81,12.02,62.03,56.83,15.72,26.07564,0.912045
Austria,4760.0,13000.0,62800.0,14.35,13.13,13.63,15.18,6.63,10.43325,0.33724
Azerbaijan,2570.0,24800.0,56800.0,19.82,9.2,6.2,18.25,4.6,11.61989,1.381041
Bahamas,51.1,147.0,2580.0,0.61,0.61,0.23,0.06,0.01,10.83847,0.446349
Bahrain,95.2,2320.0,12900.0,6.75,0.13,1.0,2.8,1.31,30.96365,0.872382
Bangladesh,13700.0,14200.0,99400.0,4.31,3.0,1.67,2.45,2.45,1.199064,0.930801
Barbados,67.0,136.0,967.0,0.27,0.28,0.1,0.03,0.1,4.491973,0.33795
Belarus,13500.0,21100.0,109000.0,57.45,17.77,11.49,13.15,9.22,14.02834,1.743484
Belgium,8210.0,17300.0,116000.0,25.89,26.12,20.34,33.92,9.62,14.122,0.466848
Belize,98.8,161.0,500.0,0.07,0.07,0.03,0.01,0.0,4.052366,0.785003
Benin,836.0,414.0,2680.0,0.03,0.03,0.17,0.03,0.16,0.789068,0.539692
Bermuda,12.2,24.9,537.0,0.13,0.13,0.05,0.01,0.0,9.426819,0.238625
Bhutan,132.0,737.0,736.0,0.02,0.02,0.02,0.08,0.07,2.987308,1.284713
Bolivia,3140.0,6530.0,16300.0,0.72,0.64,2.23,1.57,1.13,3.789256,1.021726
Bosnia and Herzegovina,1040.0,4820.0,24600.0,10.72,5.14,2.19,5.91,0.59,6.814882,4.104634
Botswana,1770.0,2990.0,4170.0,1.52,0.14,0.65,0.5,0.01,6.476766,0.799071
Brazil,94300.0,228000.0,324000.0,12.76,27.54,82.18,61.85,44.29,4.330676,0.419429
Brunei,87.3,3400.0,3740.0,1.09,0.05,0.55,1.57,0.14,27.9013,0.364957
Bulgaria,7840.0,15600.0,82300.0,47.05,7.77,6.44,13.29,7.73,11.96941,1.306425
Burkina Faso,763.0,2950.0,7310.0,0.05,0.07,0.14,0.07,0.05,1.250296,1.523387
Burundi,437.0,658.0,1930.0,0.03,0.04,0.08,0.04,0.02,0.558794,0.513652
Cambodia,944.0,1830.0,15800.0,0.13,0.12,0.12,0.02,0.02,2.073994,2.53417
Cameroon,3250.0,4810.0,15700.0,0.04,0.69,1.75,0.17,4.45,2.026382,0.711065
Canada,37200.0,107000.0,456000.0,97.15,80.49,124.66,117.26,36.26,21.65719,0.690005
Cape Verde,42.0,45.6,105.0,0.01,0.01,0.02,0.01,0.0,0.562264,0.340001
Cayman Islands,5.56,19.8,225.0,0.06,0.06,0.02,0.01,0.0,10.00518,0.19932
Central African Republic,247.0,1350.0,3200.0,0.02,0.03,0.06,0.03,0.02,1.631624,1.731417
Chad,429.0,2610.0,7130.0,0.03,0.05,0.1,0.05,0.03,1.707492,1.537328
Chile,4790.0,17300.0,33200.0,8.31,3.36,9.08,8.69,3.22,4.175379,0.455139
China,317000.0,1180000.0,2430000.0,639.2,498.41,107.04,831.35,321.04,3.349014,2.28157
Colombia,16700.0,52500.0,60800.0,7.73,5.12,16.32,16.61,6.13,3.79275,0.503514
Comoros,39.3,46.0,182.0,0.01,0.01,0.02,0.01,0.0,0.650071,0.42043
Democratic Republic of the Congo,2580.0,3440.0,12800.0,0.03,1.46,0.57,0.94,0.45,0.542391,0.424616
Congo,355.0,2370.0,8280.0,0.0,0.07,0.51,0.05,0.26,4.508659,0.877244
