Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2790.0,2990.0,12800.0,0.49,0.16,0.27,0.1,0.17,0.6969,0.543329
Albania,826.0,2970.0,4280.0,0.09,0.72,2.1,0.87,0.49,2.668358,0.340876
Algeria,5300.0,106000.0,74400.0,22.33,13.6,27.6,21.34,21.11,5.424689,0.43062
Angola,3670.0,17400.0,32300.0,0.98,2.33,3.86,2.48,7.59,2.543714,0.466957
Anguilla,0.24,4.51,12.4,0.0,0.0,0.01,0.0,0.0,1.300819,0.041052
Antigua and Barbuda,21.1,51.1,322.0,0.13,0.04,0.09,0.01,0.0,4.317056,0.179591
Argentina,52400.0,132000.0,183000.0,40.78,33.16,42.47,49.18,18.36,9.19854,0.880142
Armenia,729.0,2010.0,5290.0,1.08,1.49,1.06,1.17,0.48,2.738749,0.390467
Australia,45400.0,125000.0,428000.0,211.6,17.75,83.58,74.46,21.09,28.57169,0.707366
Austria,3740.0,10500.0,77500.0,16.34,10.58,23.59,18.84,7.21,11.03735,0.254219
Azerbaijan,2370.0,14800.0,28100.0,12.48,6.11,3.77,4.33,1.4,5.190242,0.398349
Bahamas,88.8,196.0,3070.0,0.94,0.27,0.66,0.09,0.01,9.790109,0.385954
Bahrain,155.0,4620.0,19100.0,16.43,0.19,2.85,3.39,2.98,23.004,0.534706
Bangladesh,22000.0,45600.0,109000.0,17.96,7.84,5.39,6.12,6.92,1.199477,0.55864
Barbados,54.4,115.0,1230.0,1.73,0.09,0.19,0.03,0.12,5.0611,0.315256
Belarus,10800.0,17500.0,64800.0,31.58,7.32,9.3,7.52,6.81,9.76508,0.743237
Belgium,8250.0,16900.0,112000.0,24.26,24.48,27.38,25.67,12.09,12.80734,0.31269
Belize,122.0,218.0,828.0,0.22,0.06,0.16,0.02,0.0,3.913125,0.495783
Benin,1520.0,4430.0,4310.0,0.15,1.07,2.43,0.13,0.64,1.213173,0.672075
Bermuda,14.7,23.4,452.0,0.18,0.05,0.13,0.02,0.0,7.544485,0.125638
Bhutan,165.0,737.0,903.0,0.1,0.02,0.05,0.13,0.17,2.627059,0.482437
Bolivia,5320.0,12100.0,20300.0,1.93,2.3,4.42,2.14,0.89,3.997973,0.80345
Bosnia and Herzegovina,966.0,3440.0,19700.0,12.24,1.68,3.05,1.45,1.31,6.398285,0.695481
Botswana,1410.0,4570.0,3470.0,1.08,0.31,1.73,1.22,0.15,4.939971,0.37465
Brazil,156000.0,399000.0,455000.0,32.71,35.96,145.68,115.38,70.61,5.290833,0.398404
Brunei,137.0,7320.0,5420.0,2.52,0.11,1.13,3.09,0.46,34.35126,0.449793
Bulgaria,3000.0,9440.0,57300.0,30.67,2.08,7.96,10.26,6.21,9.2116,0.625575
Burkina Faso,1730.0,5470.0,13900.0,0.25,0.18,0.58,0.14,0.09,1.477268,1.13693
Burundi,850.0,760.0,3130.0,0.07,0.05,0.15,0.04,0.03,0.59671,0.798486
Cambodia,3500.0,2910.0,21800.0,1.21,0.25,1.97,0.15,0.09,2.059708,0.884215
Cameroon,4390.0,10500.0,23900.0,0.86,0.38,2.13,0.75,2.42,2.104889,0.792326
Canada,33700.0,120000.0,576000.0,133.05,97.31,166.53,167.22,42.73,22.0803,0.532746
Cape Verde,79.4,80.8,202.0,0.07,0.05,0.15,0.04,0.0,0.744376,0.132163
Cayman Islands,9.81,35.4,290.0,0.12,0.03,0.08,0.01,0.0,6.518093,0.758082
Central African Republic,444.0,2460.0,5750.0,0.07,0.05,0.15,0.04,0.02,2.024402,2.343199
Chad,1150.0,4140.0,13000.0,0.05,0.04,0.12,0.03,0.27,1.693745,0.974648
Chile,8090.0,22500.0,69800.0,22.41,4.89,19.81,15.96,5.86,6.083965,0.329494
China,517000.0,1480000.0,7670000.0,3080.41,545.26,482.49,2360.87,1170.37,7.229909,1.01527
Colombia,20000.0,61300.0,68900.0,7.14,6.83,21.89,18.91,6.36,3.384927,0.328402
Comoros,51.8,85.5,266.0,0.03,0.02,0.06,0.02,0.0,0.628821,0.448568
Democratic Republic of the Congo,2950.0,3210.0,21700.0,0.05,0.02,1.33,0.14,1.39,0.476611,0.828932
Congo,470.0,4320.0,8850.0,0.04,0.07,0.96,0.03,3.2,3.430652,0.739748
Costa Rica,1310.0,3320.0,7680.0,0.65,0.47,4.26,1.29,0.98,2.81628,0.228333
