Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2750.0,2470.0,12500.0,0.31,0.45,0.31,0.03,0.61,1.338219,0.0
Albania,1060.0,2830.0,7720.0,0.82,1.73,1.48,2.78,0.88,4.328311,1.056134
Algeria,3150.0,56600.0,123000.0,5.12,5.37,6.22,11.02,23.93,9.440252,0.855158
Angola,2070.0,14300.0,54500.0,0.4,0.7,1.0,0.56,2.91,7.943911,1.686307
Anguilla,0.16,2.82,4.41,0.0,0.0,0.0,0.0,0.0,1.102856,0.078205
Antigua and Barbuda,15.0,46.3,189.0,0.08,0.06,0.01,0.0,0.0,3.411758,0.42401
Argentina,30600.0,136000.0,110000.0,22.42,18.4,31.23,23.14,14.61,9.832277,1.146793
Armenia,732.0,1970.0,18700.0,4.53,5.0,2.15,6.3,0.74,6.911196,2.138435
Australia,36300.0,104000.0,222000.0,89.13,11.03,49.57,56.99,15.66,24.76255,1.041933
Austria,6210.0,13100.0,62300.0,9.36,18.12,11.54,15.33,7.96,10.72677,0.409603
Azerbaijan,2470.0,20800.0,60000.0,12.01,5.88,4.12,34.36,4.07,13.53266,1.807641
Bahamas,46.6,142.0,3120.0,0.76,0.57,0.15,0.01,0.23,15.69319,0.744597
Bahrain,55.8,1640.0,7530.0,2.01,0.07,0.63,4.53,0.29,25.63505,0.724751
Bangladesh,9800.0,7710.0,100000.0,1.55,1.75,0.99,2.29,0.95,1.442741,1.217205
Barbados,57.4,129.0,625.0,0.18,0.15,0.03,0.01,0.01,3.21769,0.277752
Belarus,17100.0,19000.0,102000.0,43.38,14.94,11.22,21.19,10.63,14.37601,2.218357
Belgium,11700.0,18600.0,138000.0,34.83,33.67,15.85,41.18,12.45,17.05451,0.686074
Belize,77.9,134.0,340.0,0.04,0.03,0.01,0.0,0.0,3.825779,1.082049
Benin,670.0,547.0,2150.0,0.02,0.09,0.26,0.03,0.15,0.905094,0.543367
Bermuda,9.63,24.7,371.0,0.1,0.08,0.02,0.0,0.0,7.109005,0.089982
Bhutan,102.0,614.0,666.0,0.0,0.0,0.0,0.0,0.05,3.377787,2.72904
Bolivia,3120.0,4930.0,13300.0,0.38,0.68,2.11,1.03,0.6,3.825763,0.817469
Bosnia and Herzegovina,1090.0,3590.0,16700.0,6.35,2.6,2.26,4.73,0.71,5.102894,1.796377
Botswana,1670.0,564.0,3710.0,0.45,0.12,0.11,0.46,0.01,5.94088,1.529772
Brazil,84300.0,210000.0,267000.0,8.93,17.59,73.33,67.92,42.25,4.628987,0.484034
Brunei,97.2,6460.0,19500.0,0.32,0.03,0.33,1.96,3.82,134.3281,0.859494
Bulgaria,9530.0,16000.0,93600.0,36.77,30.84,4.12,13.3,8.42,13.40995,2.103063
