Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2230.0,1780.0,8200.0,0.32,0.6,0.32,0.05,0.25,0.808294,0.695242
Albania,815.0,3100.0,2250.0,0.32,0.39,0.51,0.76,0.26,1.931784,0.608675
Algeria,3980.0,80300.0,107000.0,11.53,8.23,16.96,19.98,20.15,6.872068,0.732188
Angola,2310.0,12200.0,41600.0,0.13,0.51,1.21,2.37,2.06,4.190209,1.514621
Anguilla,0.21,2.5,9.95,0.0,0.0,0.01,0.0,0.0,1.367023,0.063571
Antigua and Barbuda,15.0,45.3,232.0,0.09,0.07,0.04,0.02,0.0,4.18387,0.253813
Argentina,32800.0,137000.0,122000.0,21.37,22.98,35.74,27.25,12.39,8.548757,1.054448
Armenia,508.0,1720.0,5180.0,0.81,0.92,1.19,2.0,0.26,2.201409,1.193685
Australia,41800.0,121000.0,287000.0,134.76,12.95,63.19,58.06,16.11,25.45258,0.886356
Austria,4660.0,12800.0,61500.0,12.19,13.43,15.23,14.96,5.78,9.992185,0.311352
Azerbaijan,1910.0,8980.0,36900.0,21.49,4.14,3.69,8.04,1.83,6.298838,1.326691
Bahamas,48.5,147.0,2100.0,0.5,0.39,0.23,0.13,0.01,8.454756,0.39899
Bahrain,101.0,2470.0,13100.0,8.92,0.15,1.17,2.74,1.74,29.32319,0.666433
Bangladesh,15000.0,15900.0,96400.0,5.62,3.07,2.17,1.63,3.04,1.120098,0.814643
Barbados,64.0,130.0,914.0,0.29,0.23,0.13,0.07,0.04,4.209211,0.350503
Belarus,10300.0,18700.0,81900.0,44.03,14.11,9.47,7.76,6.73,10.86648,1.63154
Belgium,8030.0,17200.0,116000.0,25.79,29.04,22.19,30.13,8.79,13.96379,0.455016
Belize,99.2,161.0,479.0,0.06,0.05,0.03,0.02,0.0,3.744021,0.580482
Benin,911.0,404.0,2870.0,0.03,0.03,0.12,0.03,0.2,0.757583,0.506035
Bermuda,10.3,22.8,390.0,0.11,0.08,0.05,0.03,0.0,6.82442,0.177087
Bhutan,130.0,613.0,714.0,0.02,0.01,0.02,0.06,0.08,2.785927,1.097712
Bolivia,3440.0,8710.0,23900.0,0.77,0.67,2.67,1.53,2.47,4.957207,1.271243
Bosnia and Herzegovina,860.0,3660.0,13700.0,5.98,3.8,0.85,2.72,0.33,4.449312,3.42961
Botswana,1250.0,3540.0,3150.0,1.64,0.17,0.8,0.64,0.1,5.308479,0.630351
Brazil,106000.0,250000.0,358000.0,14.43,29.74,90.07,68.73,47.25,4.543406,0.438164
Brunei,94.2,4070.0,4180.0,1.45,0.06,0.68,1.67,0.75,29.58862,0.388766
Bulgaria,4210.0,15400.0,60900.0,36.92,5.83,4.31,7.43,6.14,9.393792,1.189275
Burkina Faso,961.0,3360.0,8150.0,0.06,0.11,0.19,0.1,0.05,1.305876,1.523767
Burundi,540.0,696.0,2070.0,0.03,0.06,0.1,0.05,0.02,0.572159,0.564531
Cambodia,874.0,2070.0,16100.0,0.16,0.1,0.16,0.02,0.03,1.914279,1.88217
Cameroon,3300.0,4810.0,17000.0,0.03,0.55,1.69,0.15,5.02,1.965311,0.875672
Canada,37800.0,121000.0,459000.0,95.71,85.38,127.18,114.96,37.34,21.54169,0.700707
Cape Verde,56.3,47.8,124.0,0.01,0.02,0.04,0.02,0.0,0.617307,0.32927
Cayman Islands,5.34,20.4,195.0,0.06,0.05,0.03,0.02,0.0,7.691036,0.201748
Central African Republic,301.0,1540.0,3600.0,0.02,0.05,0.08,0.04,0.02,1.710898,2.103291
Chad,482.0,2750.0,7520.0,0.01,0.02,0.04,0.02,0.03,1.639219,1.645132
Chile,5320.0,17900.0,34600.0,4.55,4.37,11.41,10.65,3.34,4.16609,0.366986
China,323000.0,1150000.0,2990000.0,890.48,486.26,140.64,968.7,403.82,3.666108,1.822567
Colombia,16900.0,59400.0,64300.0,8.94,5.62,18.27,19.31,6.64,3.883084,0.495217
Comoros,40.2,46.5,191.0,0.01,0.01,0.02,0.01,0.0,0.617497,0.412994
Democratic Republic of the Congo,2610.0,2520.0,13900.0,0.02,0.88,0.44,0.04,0.28,0.488899,0.605376
Congo,358.0,2340.0,8430.0,0.0,0.08,0.47,0.04,0.27,4.19974,0.852599
Costa Rica,1810.0,4350.0,4280.0,0.43,0.27,2.47,0.63,0.45,3.125843,0.384574
Cote d'Ivoire,1540.0,3200.0,6190.0,0.63,0.52,1.1,0.7,0.33,0.802733,0.280076
Croatia,2550.0,3920.0,17300.0,4.25,2.5,2.91,5.16,2.41,5.060989,0.502552
Cuba,6790.0,13200.0,20900.0,9.06,2.76,1.95,5.87,1.35,3.795086,0.419785
Cyprus,303.0,1220.0,5540.0,2.17,0.2,1.32,1.26,0.59,8.625585,0.461994
Czechia,6160.0,16400.0,139000.0,62.75,22.64,7.96,35.42,10.66,15.56848,0.895647
Denmark,7110.0,9500.0,60900.0,30.44,8.85,11.13,7.29,3.28,14.92638,0.439268
Djibouti,216.0,597.0,776.0,0.15,0.29,0.5,0.26,0.01,2.569448,0.970953
Dominica,26.0,48.3,80.3,0.01,0.01,0.01,0.0,0.0,2.171265,0.310594
Dominican Republic,1980.0,7940.0,9650.0,4.01,1.55,2.66,0.75,0.67,2.571082,0.427845
Ecuador,3510.0,17000.0,26100.0,1.46,1.52,8.16,2.91,2.73,4.255609,0.562147
Egypt,13700.0,46000.0,96200.0,24.36,8.1,18.28,31.15,14.96,2.544597,0.423146
El Salvador,1270.0,3210.0,4090.0,0.8,0.24,1.75,0.77,0.52,1.564989,0.301028
Equatorial Guinea,21.4,76.2,148.0,0.01,0.02,0.04,0.02,0.0,0.520904,0.416339
Eritrea,654.0,845.0,2650.0,0.25,0.03,0.11,0.04,0.02,1.339402,1.055488
Estonia,1010.0,3050.0,18400.0,14.23,0.98,1.16,1.84,1.87,15.08719,1.451765
Ethiopia,2080.0,15600.0,42500.0,0.07,0.45,0.88,0.4,0.25,1.125362,2.000522
Fiji,358.0,505.0,881.0,0.3,0.18,0.3,0.11,0.05,2.30978,0.363749
Finland,6110.0,13100.0,56000.0,20.48,7.55,11.12,13.94,3.1,14.83317,0.584124
France and Monaco,59500.0,75100.0,379000.0,34.38,101.48,120.48,84.57,37.57,8.895147,0.292389
French Polynesia,29.1,117.0,414.0,0.28,0.17,0.28,0.04,0.01,2.689778,0.178539
Gabon,174.0,5080.0,16900.0,0.3,0.17,0.39,0.34,3.9,21.51432,1.116152
Gambia,116.0,195.0,610.0,0.02,0.04,0.06,0.03,0.01,0.913097,0.603112
Georgia,2150.0,3580.0,16800.0,6.11,4.73,2.0,3.13,0.89,4.336792,1.904127
Germany,63800.0,125000.0,935000.0,352.41,201.23,168.67,149.46,63.05,13.95796,0.423695
Ghana,1430.0,3600.0,6510.0,0.02,0.48,1.8,0.41,0.89,0.726228,0.358387
Greece,6130.0,20900.0,80700.0,36.8,7.86,16.49,11.06,8.52,10.19318,0.490823
Greenland,3.13,28.6,176.0,0.0,0.0,0.0,0.0,0.0,3.723359,0.243971
Grenada,9.2,30.6,149.0,0.03,0.02,0.01,0.01,0.0,1.920087,0.263675
Guatemala,2460.0,6310.0,5350.0,0.86,0.63,2.05,1.09,0.66,1.421206,0.264579
Guinea,1090.0,1160.0,4700.0,0.1,0.19,0.33,0.17,0.14,0.969888,0.919558
Guinea-Bissau,166.0,292.0,893.0,0.02,0.05,0.08,0.04,0.01,1.241586,0.783389
Guyana,1260.0,1570.0,1890.0,0.23,0.18,0.1,0.06,0.01,6.261752,1.809618
Haiti,1000.0,884.0,4850.0,0.08,0.06,0.38,0.13,0.23,0.893642,0.498124
Honduras,1990.0,2800.0,4250.0,0.16,0.35,1.32,0.77,0.2,1.673058,0.496476
Hong Kong,548.0,1800.0,45100.0,31.61,1.46,7.15,2.98,0.85,7.932973,0.258565
