Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,3250.0,5150.0,14400.0,1.59,0.47,1.83,0.19,0.17,0.812941,0.531723
Albania,791.0,2750.0,3810.0,0.01,0.55,2.3,0.9,0.54,2.483373,0.279194
Algeria,5610.0,115000.0,70700.0,24.67,17.4,30.52,21.84,19.77,5.382703,0.426409
Angola,3800.0,21500.0,32600.0,2.23,3.51,5.7,2.43,7.45,2.569057,0.434607
Anguilla,0.39,4.61,20.2,0.0,0.0,0.02,0.0,0.0,1.854731,0.083231
Antigua and Barbuda,21.7,50.7,332.0,0.16,0.04,0.11,0.01,0.0,4.319,0.209299
Argentina,46100.0,124000.0,186000.0,44.08,36.48,40.57,47.76,17.09,8.744366,0.827209
Armenia,720.0,1930.0,4660.0,0.65,1.52,1.14,0.96,0.38,2.529871,0.387367
Australia,44800.0,122000.0,437000.0,222.2,18.53,85.01,70.21,21.13,27.77222,0.675939
Austria,3700.0,10300.0,70300.0,14.45,10.34,21.62,17.21,6.36,10.07104,0.239128
Azerbaijan,2530.0,17900.0,25900.0,9.46,6.97,4.25,3.84,1.42,5.200967,0.336376
Bahamas,94.0,195.0,3190.0,0.8,0.2,0.56,0.07,0.01,9.793092,0.427619
Bahrain,148.0,4970.0,18900.0,17.79,0.23,3.06,3.4,3.16,20.24818,0.49375
Bangladesh,21500.0,55900.0,116000.0,21.31,8.13,6.35,8.25,8.98,1.285074,0.549363
Barbados,56.4,122.0,1220.0,1.83,0.1,0.23,0.04,0.11,5.01583,0.326826
Belarus,11300.0,18900.0,65500.0,31.27,7.17,10.31,7.17,6.66,10.07929,0.691895
Belgium,7670.0,17200.0,105000.0,21.22,26.33,26.64,22.56,11.11,11.99393,0.300769
Belize,131.0,249.0,855.0,0.11,0.03,0.08,0.01,0.0,3.931825,0.503798
Benin,1600.0,4710.0,4610.0,0.09,1.14,2.81,0.15,0.52,1.221319,0.66648
Bermuda,15.8,22.5,468.0,0.16,0.04,0.11,0.01,0.0,7.875561,0.134969
Bhutan,155.0,1070.0,837.0,0.14,0.02,0.1,0.51,0.42,2.888192,0.49321
Bolivia,5650.0,13900.0,20900.0,2.42,2.43,5.16,2.39,1.12,4.140814,0.785329
Bosnia and Herzegovina,985.0,3800.0,21500.0,13.62,1.28,3.49,1.81,1.45,7.027626,0.74018
Botswana,1560.0,4430.0,3770.0,0.94,0.25,1.84,1.06,0.21,4.930435,0.394386
Brazil,158000.0,391000.0,467000.0,30.35,37.0,148.49,108.63,68.89,5.217198,0.381827
Brunei,136.0,8030.0,5480.0,2.86,0.22,1.12,3.23,0.56,35.55155,0.494814
Bulgaria,2810.0,9020.0,46200.0,28.23,1.6,8.01,4.54,3.71,7.784371,0.514418
Burkina Faso,2000.0,5820.0,15000.0,0.36,0.21,0.77,0.2,0.28,1.509302,1.113044
Burundi,861.0,841.0,3420.0,0.05,0.03,0.1,0.02,0.03,0.604017,0.793839
Cambodia,4130.0,3130.0,23600.0,1.03,0.51,2.66,0.17,0.48,2.189613,0.905825
Cameroon,4060.0,11400.0,23700.0,1.15,0.36,2.51,0.79,2.68,2.017152,0.762726
Canada,33200.0,116000.0,537000.0,106.83,89.94,162.85,155.04,36.34,20.31299,0.5111
Cape Verde,88.3,82.5,221.0,0.08,0.04,0.16,0.04,0.0,0.787525,0.135774
Cayman Islands,10.2,36.1,304.0,0.13,0.03,0.09,0.01,0.0,6.449831,0.342988
Central African Republic,452.0,2540.0,5880.0,0.08,0.04,0.16,0.04,0.02,2.013474,2.314318
Chad,1070.0,4340.0,13700.0,0.06,0.03,0.13,0.03,0.16,1.66215,0.948187
Chile,7640.0,23200.0,69200.0,22.86,5.24,20.71,15.4,5.63,5.946253,0.321209
China,506000.0,1530000.0,8280000.0,3227.06,544.14,529.87,2725.63,1339.14,7.62434,0.904778
Colombia,19700.0,65100.0,71800.0,10.18,7.57,20.95,20.35,5.87,3.447301,0.325295
Comoros,53.3,88.7,289.0,0.03,0.02,0.06,0.02,0.0,0.639747,0.468333
Democratic Republic of the Congo,3060.0,3210.0,22600.0,0.05,0.04,1.52,0.13,1.18,0.462494,0.786192
Congo,495.0,4980.0,9490.0,0.13,0.1,1.28,0.06,3.38,3.517034,0.715342
Costa Rica,1510.0,3540.0,7330.0,0.37,0.47,4.42,1.1,0.93,2.759328,0.225819
Cote d'Ivoire,2250.0,6690.0,9640.0,2.31,0.77,1.58,1.26,0.58,0.932246,0.345357
Croatia,2520.0,4430.0,22500.0,4.56,3.44,6.05,5.01,3.13,6.780018,0.327825
Cuba,5780.0,13800.0,33400.0,13.79,3.39,1.41,10.74,1.16,4.680586,0.260228
Cyprus,321.0,1590.0,8250.0,3.93,0.63,2.18,0.76,0.75,9.255729,0.368479
Czechia,12300.0,12900.0,116000.0,60.32,12.52,17.62,19.18,7.96,13.50781,0.490558
Denmark,5540.0,9060.0,49000.0,22.14,5.53,13.19,6.05,2.02,11.49932,0.27096
Djibouti,246.0,838.0,1200.0,0.26,0.15,0.55,0.14,0.01,2.735234,1.054009
Dominica,17.4,50.4,143.0,0.03,0.01,0.02,0.0,0.0,2.960006,0.291697
Dominican Republic,2620.0,9990.0,20300.0,8.51,1.58,5.24,3.31,1.65,3.369561,0.321288
Ecuador,4590.0,35000.0,23300.0,6.09,6.31,10.43,5.93,5.48,4.280959,0.466135
Egypt,23000.0,60000.0,206000.0,65.27,22.33,41.78,45.09,35.53,3.499163,0.366623
El Salvador,1400.0,3360.0,6980.0,1.6,0.55,3.06,0.83,0.81,1.914249,0.264444
Equatorial Guinea,33.8,2820.0,6050.0,0.15,0.05,0.19,0.85,2.68,9.784575,0.316393
Eritrea,471.0,1260.0,3710.0,0.23,0.06,0.11,0.02,0.02,1.2629,0.894091
Estonia,830.0,2660.0,15600.0,11.19,0.57,2.13,0.9,3.14,14.26969,0.661771
Ethiopia,6620.0,29400.0,81800.0,0.88,1.39,2.76,1.36,0.85,1.379744,1.408055
Fiji,403.0,1040.0,881.0,0.39,0.1,0.48,0.05,0.07,2.726133,0.357233
Finland,6050.0,13200.0,58700.0,25.99,4.84,11.96,11.02,2.94,14.59556,0.379677
France and Monaco,40600.0,68200.0,376000.0,49.48,102.98,123.06,58.17,34.67,7.728435,0.206896
French Polynesia,39.5,130.0,617.0,0.31,0.08,0.38,0.04,0.01,2.961792,0.158976
Gabon,227.0,5590.0,8470.0,0.65,0.22,0.4,0.79,3.37,9.004719,0.60746
Gambia,213.0,277.0,1160.0,0.09,0.05,0.19,0.05,0.01,1.005686,0.627339
Georgia,1870.0,3030.0,6340.0,1.17,1.13,2.17,0.82,1.09,2.622858,0.45175
Germany,41000.0,73100.0,773000.0,320.12,143.13,147.06,109.84,48.68,10.96018,0.277644
Ghana,2340.0,9900.0,10600.0,1.7,1.16,5.04,1.35,0.85,0.956711,0.328623
Greece,5130.0,23600.0,97200.0,45.19,10.61,24.8,9.56,7.02,11.00042,0.365795
Greenland,3.53,28.9,213.0,0.12,0.32,0.08,0.04,0.0,4.328002,0.198882
Grenada,20.3,44.2,427.0,0.07,0.02,0.05,0.01,0.0,4.713823,0.417909
Guatemala,3100.0,8910.0,12100.0,3.2,0.57,5.62,1.84,0.8,1.682778,0.252489
Guinea,1670.0,2520.0,9570.0,0.29,0.16,0.61,0.16,0.16,1.304151,1.087912
Guinea-Bissau,266.0,426.0,1320.0,0.09,0.05,0.19,0.05,0.01,1.326699,0.969238
Guyana,1240.0,1660.0,2480.0,0.37,0.09,0.26,0.03,0.01,7.207215,1.288837
Haiti,1470.0,2520.0,8630.0,0.26,0.21,1.31,0.46,0.25,1.281124,0.794033
Honduras,2730.0,8140.0,6690.0,2.29,0.38,3.04,1.69,0.73,2.186006,0.559727
Hong Kong,484.0,2080.0,47900.0,30.08,1.67,7.14,7.36,0.59,7.22112,0.159445
Hungary,6050.0,9340.0,51000.0,15.42,13.07,12.81,5.57,4.08,6.662908,0.301957
