Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2170.0,2340.0,8940.0,0.27,0.36,0.24,0.06,0.21,0.785834,0.72975
Albania,883.0,3590.0,2110.0,0.26,0.33,0.63,0.63,0.26,2.120925,0.529685
Algeria,3310.0,80300.0,106000.0,12.54,8.09,15.11,19.58,24.98,6.545338,0.705575
Angola,2360.0,13000.0,41600.0,0.17,0.67,1.07,2.0,9.12,3.993957,1.345626
Anguilla,0.38,2.81,16.4,0.0,0.0,0.01,0.0,0.0,1.998107,0.095778
Antigua and Barbuda,16.4,47.1,259.0,0.12,0.08,0.05,0.01,0.0,4.384193,0.274852
Argentina,34100.0,128000.0,128000.0,22.85,24.72,38.3,31.43,10.63,8.282776,1.019505
Armenia,422.0,1680.0,3620.0,1.39,1.36,0.11,0.51,0.25,1.776805,0.818311
Australia,41500.0,119000.0,303000.0,142.59,13.51,67.54,61.66,17.2,25.64066,0.84512
Austria,4550.0,12100.0,65100.0,14.48,13.56,15.5,16.06,5.66,10.236,0.306611
Azerbaijan,1720.0,8460.0,32100.0,15.15,5.03,3.34,8.85,0.47,5.436196,1.657233
Bahamas,61.8,156.0,2600.0,0.72,0.49,0.3,0.06,0.01,10.06557,0.454902
Bahrain,104.0,2500.0,13300.0,9.26,0.16,1.24,2.79,1.77,28.25753,0.652397
Bangladesh,17000.0,21100.0,96700.0,6.54,3.77,2.67,3.5,3.99,1.135206,0.789885
Barbados,65.6,129.0,912.0,0.3,0.22,0.12,0.03,0.04,4.173774,0.33634
Belarus,9300.0,15900.0,62500.0,34.56,10.16,6.68,5.55,5.69,8.644507,1.630786
Belgium,8920.0,17700.0,123000.0,28.1,30.61,22.84,29.89,10.97,14.6597,0.456101
Belize,85.2,142.0,504.0,0.08,0.06,0.04,0.01,0.0,3.533219,0.569626
Benin,965.0,419.0,2970.0,0.03,0.04,0.12,0.03,0.2,0.736803,0.486626
Bermuda,10.7,22.9,416.0,0.12,0.08,0.05,0.01,0.0,7.175228,0.179174
Bhutan,154.0,746.0,815.0,0.02,0.02,0.04,0.14,0.13,3.331153,1.149793
Bolivia,3930.0,8340.0,16800.0,1.21,0.78,3.09,1.81,1.57,3.844084,0.935623
Bosnia and Herzegovina,627.0,1610.0,3580.0,0.79,0.83,0.99,0.67,0.3,1.515449,0.837326
Botswana,1680.0,3530.0,4030.0,1.75,0.15,0.89,0.4,0.15,5.885322,0.661379
Brazil,117000.0,278000.0,384000.0,15.65,33.29,104.19,74.65,49.71,4.79402,0.434645
Brunei,98.1,4700.0,4470.0,1.74,0.06,0.78,1.93,0.2,31.19043,0.400697
Bulgaria,3880.0,10600.0,60200.0,34.18,4.04,4.19,10.31,7.25,8.914537,1.053331
Burkina Faso,1150.0,3650.0,8750.0,0.06,0.11,0.18,0.12,0.05,1.342252,1.545755
Burundi,660.0,634.0,1980.0,0.03,0.06,0.1,0.07,0.02,0.548386,0.631334
Cambodia,1500.0,2280.0,17700.0,0.16,0.12,1.16,0.03,0.03,2.01413,1.828082
Cameroon,3400.0,10200.0,35100.0,0.03,0.57,1.71,0.16,2.72,3.615702,1.598029
Canada,41600.0,118000.0,489000.0,102.01,86.99,137.09,122.79,40.79,22.09985,0.685646
Cape Verde,59.7,47.2,133.0,0.01,0.02,0.04,0.03,0.0,0.615577,0.25441
Cayman Islands,7.04,23.3,248.0,0.08,0.06,0.04,0.01,0.0,8.788256,0.247072
Central African Republic,370.0,1660.0,3840.0,0.03,0.05,0.08,0.05,0.02,1.749878,2.017848
Chad,667.0,2880.0,7850.0,0.01,0.02,0.04,0.03,0.04,1.627824,1.563983
Chile,5860.0,20200.0,41500.0,7.32,4.49,13.64,11.62,4.03,4.724855,0.366682
China,384000.0,1200000.0,3450000.0,1058.49,490.61,140.81,1197.35,495.63,4.065348,1.63792
Colombia,17300.0,62100.0,64300.0,8.91,5.22,20.34,20.0,7.15,3.838703,0.454578
Comoros,42.5,54.7,195.0,0.01,0.01,0.02,0.01,0.0,0.615256,0.442781
Democratic Republic of the Congo,2550.0,3430.0,17600.0,0.02,0.65,0.45,0.02,1.26,0.568088,0.775135
Congo,354.0,2660.0,9050.0,0.0,0.08,0.42,0.04,2.21,4.312039,0.940554
Costa Rica,1670.0,3670.0,4990.0,0.76,0.32,2.59,0.77,0.52,2.93995,0.349629
Cote d'Ivoire,1660.0,3670.0,7060.0,0.82,0.56,1.23,0.65,0.45,0.852136,0.293984
Croatia,2520.0,3640.0,17200.0,3.44,2.8,3.27,5.28,2.31,5.055195,0.398872
Cuba,6560.0,13400.0,23800.0,10.8,2.84,1.97,6.83,1.39,4.007891,0.435354
Cyprus,299.0,1340.0,5610.0,2.07,0.2,1.46,1.32,0.56,8.476544,0.422001
Czechia,6560.0,14200.0,133000.0,66.9,20.6,7.25,28.42,10.97,14.82093,0.779794
Denmark,6990.0,9340.0,61700.0,30.66,8.15,11.7,7.81,3.38,14.90891,0.406597
Djibouti,207.0,632.0,509.0,0.16,0.28,0.48,0.33,0.01,2.139149,0.861537
Dominica,19.3,49.0,92.0,0.02,0.01,0.01,0.0,0.0,2.245017,0.311353
Dominican Republic,2070.0,7980.0,12000.0,4.96,1.73,3.51,1.02,0.76,2.792178,0.446672
Ecuador,3850.0,19100.0,25600.0,2.62,1.8,8.27,4.0,4.08,4.248317,0.549257
Egypt,15100.0,46900.0,98300.0,23.31,9.89,21.23,27.25,17.04,2.515384,0.399897
El Salvador,1170.0,3090.0,5160.0,1.31,0.31,2.12,0.84,0.58,1.679236,0.293249
Equatorial Guinea,25.7,1270.0,4400.0,0.01,0.02,0.04,0.03,1.2,11.26678,7.044082
Eritrea,805.0,871.0,2710.0,0.3,0.05,0.29,0.07,0.03,1.418644,0.894869
Estonia,795.0,2620.0,17000.0,12.08,0.71,1.39,1.82,2.73,14.26403,1.283798
Ethiopia,2710.0,16100.0,43700.0,0.06,0.59,1.09,0.58,0.37,1.090686,1.897471
Fiji,394.0,600.0,946.0,0.17,0.17,0.25,0.11,0.06,2.500454,0.375605
Finland,6420.0,13300.0,61300.0,22.93,7.76,11.36,13.67,3.82,15.83235,0.580958
France and Monaco,61400.0,74800.0,382000.0,38.1,95.67,122.32,87.53,38.06,8.900769,0.282359
French Polynesia,27.1,119.0,344.0,0.12,0.12,0.18,0.04,0.01,2.278261,0.154215
Gabon,175.0,5670.0,16600.0,0.29,0.19,0.34,0.49,4.35,20.65425,1.03867
Gambia,126.0,197.0,646.0,0.02,0.04,0.06,0.04,0.01,0.908444,0.628029
Georgia,1630.0,3160.0,8600.0,5.37,0.82,1.03,0.91,0.48,2.667325,1.231006
Germany,65500.0,119000.0,919000.0,348.92,192.65,167.93,147.04,62.19,13.58623,0.399128
Ghana,1480.0,4120.0,6930.0,0.02,0.62,2.05,0.53,0.91,0.747071,0.361821
Greece,6120.0,21700.0,85300.0,39.75,8.0,16.71,12.02,8.82,10.48536,0.494883
Greenland,3.17,28.7,181.0,0.0,0.0,0.0,0.0,0.0,3.815744,0.227541
Grenada,10.2,32.3,165.0,0.03,0.02,0.01,0.0,0.0,2.074841,0.275137
Guatemala,2500.0,6300.0,6740.0,1.05,0.75,2.71,1.34,0.85,1.492912,0.266699
Guinea,1250.0,1380.0,5500.0,0.11,0.2,0.34,0.23,0.15,1.033489,0.989038
Guinea-Bissau,158.0,304.0,944.0,0.03,0.05,0.08,0.05,0.01,1.236278,0.756706
Guyana,1450.0,1600.0,1840.0,0.22,0.15,0.09,0.02,0.01,6.420567,1.6455
Haiti,1020.0,1130.0,4970.0,0.16,0.1,0.5,0.14,0.23,0.910364,0.542228
Honduras,2350.0,3780.0,4440.0,0.9,0.37,1.55,0.75,0.21,1.851634,0.565204
Hong Kong,484.0,1860.0,38700.0,24.36,1.73,7.51,2.93,0.92,6.676345,0.206043
Hungary,5570.0,9490.0,61400.0,22.34,16.16,7.12,10.62,5.15,7.38722,0.489042
Iceland,351.0,481.0,2450.0,0.01,0.82,0.61,0.52,0.49,12.26428,0.442723
India,170000.0,650000.0,879000.0,345.82,108.46,78.34,175.14,83.67,1.768156,0.859064
Indonesia,63100.0,239000.0,218000.0,35.49,29.79,49.26,89.66,34.16,2.64233,0.438459
