Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2450.0,2440.0,9600.0,0.33,0.12,0.2,0.09,0.22,0.691034,0.634845
Albania,845.0,3170.0,3420.0,0.27,0.8,1.54,0.61,0.25,2.380982,0.431713
Algeria,4410.0,82800.0,71500.0,16.62,9.53,17.04,19.82,19.09,5.023801,0.483913
Angola,3080.0,16300.0,35300.0,0.82,1.17,1.2,1.83,11.26,3.21973,0.909443
Anguilla,0.31,2.94,15.9,0.0,0.0,0.01,0.0,0.0,1.684894,0.083378
Antigua and Barbuda,19.2,49.0,294.0,0.1,0.04,0.08,0.02,0.0,4.2626,0.249424
Argentina,40000.0,118000.0,139000.0,24.26,25.7,36.56,42.31,12.12,7.907001,0.961475
Armenia,416.0,1650.0,3730.0,1.54,0.55,0.57,0.8,0.27,1.900315,0.589279
Australia,47800.0,128000.0,371000.0,186.62,15.06,74.42,64.88,19.4,28.35341,0.794696
Austria,4530.0,11100.0,72600.0,15.19,14.05,20.05,16.96,6.57,10.90363,0.281338
Azerbaijan,1970.0,10200.0,26700.0,13.82,5.88,2.6,3.53,0.89,4.744626,0.985506
Bahamas,70.0,172.0,2470.0,0.69,0.3,0.51,0.11,0.01,8.946102,0.343219
Bahrain,123.0,3020.0,16600.0,11.82,0.19,1.6,2.74,2.04,28.35449,0.639704
Bangladesh,18800.0,31900.0,100000.0,10.52,5.75,3.79,4.78,6.57,1.127755,0.663817
Barbados,65.8,124.0,1200.0,1.56,0.16,0.24,0.08,0.11,5.120672,0.365544
Belarus,8930.0,14500.0,56700.0,32.11,7.18,6.13,5.49,5.61,8.121296,1.047676
Belgium,8970.0,16900.0,124000.0,24.03,29.81,25.25,35.87,10.06,14.5431,0.392995
Belize,119.0,173.0,822.0,0.18,0.08,0.13,0.03,0.0,4.369125,0.616831
Benin,1200.0,1880.0,3610.0,0.06,0.53,0.99,0.15,0.15,0.945472,0.555105
Bermuda,13.6,25.2,450.0,0.1,0.04,0.08,0.02,0.0,7.606665,0.144166
Bhutan,157.0,635.0,672.0,0.08,0.01,0.04,0.15,0.15,2.483641,0.66677
Bolivia,4360.0,7760.0,16000.0,1.02,1.47,2.87,1.46,0.94,3.311288,0.751558
Bosnia and Herzegovina,819.0,2500.0,14100.0,8.71,1.26,2.13,1.41,0.64,4.631683,0.707567
Botswana,1640.0,4100.0,3960.0,1.25,0.38,1.31,0.93,0.18,5.525736,0.537744
Brazil,128000.0,364000.0,401000.0,35.21,37.21,127.98,98.56,63.37,5.021468,0.441899
Brunei,120.0,4930.0,5220.0,2.07,0.06,0.84,1.34,0.57,30.19392,0.404507
Bulgaria,3420.0,9820.0,49300.0,27.39,2.06,5.6,9.95,4.84,7.885559,0.820842
Burkina Faso,1290.0,3930.0,9340.0,0.18,0.16,0.41,0.09,0.08,1.218453,1.124817
