Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2800.0,1870.0,12800.0,0.24,0.48,0.24,0.02,0.63,1.359605,0.0
Albania,804.0,2400.0,5450.0,0.54,1.91,1.0,1.08,0.73,3.510529,0.909211
Algeria,2620.0,46300.0,131000.0,2.53,3.79,4.12,5.5,24.9,10.46487,1.130252
Angola,1850.0,7320.0,27900.0,0.35,0.09,1.11,0.39,1.42,4.691702,0.817237
Anguilla,0.11,2.58,2.43,0.0,0.0,0.0,0.0,0.0,0.769495,0.064765
Antigua and Barbuda,10.5,33.8,189.0,0.07,0.06,0.01,0.0,0.0,3.23371,0.502294
Argentina,30700.0,134000.0,102000.0,24.34,17.57,25.26,22.18,12.21,10.06077,1.29624
Armenia,662.0,1910.0,15700.0,3.76,3.95,1.91,5.4,0.73,6.337672,2.096796
Australia,40800.0,116000.0,197000.0,71.82,11.39,42.02,57.3,14.13,25.25332,1.171666
Austria,6070.0,12300.0,62400.0,11.9,14.7,10.57,16.91,8.26,10.56598,0.449394
Azerbaijan,2280.0,27000.0,51500.0,9.98,4.37,3.71,28.04,5.73,14.0048,2.013983
Bahamas,43.7,121.0,2980.0,0.71,0.58,0.1,0.01,0.14,16.28936,1.110653
Bahrain,42.7,1330.0,5960.0,0.96,0.05,0.48,4.2,0.27,25.8402,0.661455
Bangladesh,9220.0,5590.0,102000.0,0.93,1.4,0.66,1.69,0.8,1.597679,1.608816
Barbados,51.5,116.0,602.0,0.17,0.14,0.02,0.0,0.01,3.111313,0.214535
Belarus,16700.0,18100.0,90700.0,37.78,13.12,11.14,17.97,8.47,13.38096,2.315314
Belgium,9630.0,18500.0,138000.0,31.74,32.45,14.27,46.07,13.1,16.93173,0.787202
Belize,69.9,125.0,262.0,0.04,0.03,0.0,0.0,0.0,3.385756,1.002601
Benin,577.0,376.0,1910.0,0.01,0.07,0.18,0.02,0.1,0.85416,0.522389
Bermuda,8.29,22.3,364.0,0.09,0.08,0.01,0.0,0.0,7.123468,0.100018
Bhutan,81.2,625.0,574.0,0.0,0.0,0.0,0.0,0.04,3.541605,3.09104
Bolivia,2500.0,5140.0,14500.0,0.29,0.58,1.67,0.98,1.29,4.325073,0.896919
Bosnia and Herzegovina,1130.0,3480.0,16200.0,4.8,3.31,2.09,5.33,0.71,5.180657,2.233709
Botswana,1620.0,681.0,3690.0,0.27,0.12,0.08,0.34,0.01,6.989501,2.511363
Brazil,72900.0,175000.0,232000.0,5.74,12.72,71.32,53.33,31.87,4.354013,0.513556
Brunei,98.0,7210.0,25000.0,0.23,0.02,0.14,1.46,5.36,191.9672,1.616929
Bulgaria,8970.0,13800.0,81500.0,26.38,29.89,4.55,12.79,7.82,11.88664,2.338349
Burkina Faso,528.0,1650.0,4610.0,0.02,0.09,0.06,0.07,0.03,1.082016,1.676551
Burundi,254.0,727.0,1830.0,0.0,0.01,0.01,0.01,0.01,0.751756,0.90165
Cambodia,525.0,916.0,9500.0,0.06,0.09,0.07,0.0,0.04,1.478447,1.762948
Cameroon,1950.0,1190.0,5340.0,0.05,0.12,0.7,0.06,0.26,1.104946,0.572368
Canada,29200.0,87600.0,418000.0,58.66,98.52,109.04,122.89,28.0,22.79266,0.96878
Cape Verde,20.6,78.5,68.5,0.02,0.07,0.05,0.06,0.0,0.612268,0.573941
Cayman Islands,3.04,14.8,62.3,0.01,0.01,0.0,0.0,0.0,6.152764,0.164657
Central African Republic,180.0,572.0,1580.0,0.01,0.03,0.02,0.02,0.01,1.129209,1.143525
Chad,280.0,2030.0,5540.0,0.02,0.06,0.04,0.05,0.02,1.883076,0.9867
Chile,3720.0,45300.0,27600.0,2.71,2.67,4.62,7.89,6.78,7.222955,1.163039
China,171000.0,1060000.0,1280000.0,181.83,282.01,66.91,540.58,155.47,2.689324,4.478285
Colombia,13800.0,37600.0,56900.0,3.77,4.86,9.92,11.47,5.69,4.279082,0.733588
Comoros,42.0,19.3,171.0,0.0,0.01,0.01,0.01,0.0,0.873338,0.56917
Democratic Republic of the Congo,1810.0,3150.0,8570.0,0.12,1.11,0.53,0.49,0.45,0.574381,0.389363
Congo,277.0,7700.0,29200.0,0.07,0.06,0.52,0.1,0.83,22.67152,7.339427
Costa Rica,1170.0,3770.0,2040.0,0.18,0.1,1.08,0.44,0.23,3.242236,0.506302
Cote d'Ivoire,903.0,3920.0,3630.0,0.78,0.38,1.22,1.11,0.43,1.220187,0.340031
Croatia,3530.0,4120.0,23800.0,1.9,2.33,2.99,10.34,6.25,6.960911,0.241882
Cuba,7600.0,15100.0,27300.0,6.47,4.22,4.58,9.71,2.26,5.241715,0.572336
Cyprus,214.0,764.0,2650.0,0.73,0.11,0.47,0.62,0.7,5.511887,0.977821
Czechia,8940.0,19300.0,184000.0,44.89,37.09,6.93,73.09,21.65,20.90679,1.281309
Denmark,7380.0,9730.0,61200.0,17.83,22.34,8.87,9.28,2.98,15.42181,0.641526
Djibouti,116.0,306.0,520.0,0.08,0.33,0.22,0.27,0.0,3.788112,0.482868
Dominica,17.5,29.0,35.7,0.0,0.0,0.0,0.0,0.0,1.13116,0.293988
Dominican Republic,1380.0,6650.0,5780.0,2.37,0.21,1.81,0.95,0.44,2.613846,0.6114
