Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2200.0,2110.0,7630.0,0.6,0.98,0.57,0.08,0.3,1.013531,0.0
Albania,1290.0,3440.0,7850.0,1.0,1.53,0.96,3.35,0.98,3.864989,0.976639
Algeria,3480.0,71000.0,96100.0,10.39,6.76,12.93,19.45,18.36,6.753206,0.673798
Angola,2180.0,15200.0,56600.0,0.24,0.73,1.3,1.03,3.0,6.248569,1.383764
Anguilla,0.15,2.36,6.15,0.0,0.0,0.0,0.0,0.0,1.087889,0.053236
Antigua and Barbuda,14.7,45.1,241.0,0.09,0.09,0.03,0.01,0.0,4.511078,0.300523
Argentina,31100.0,141000.0,119000.0,26.38,21.19,27.69,29.44,14.6,9.028509,1.371376
Armenia,777.0,2290.0,20100.0,3.95,6.37,2.15,6.69,0.95,6.552056,1.889235
Australia,40000.0,121000.0,274000.0,125.92,11.38,61.22,55.74,17.7,25.92732,0.933182
Austria,4780.0,13100.0,58200.0,10.83,13.52,12.96,13.08,7.81,9.903442,0.330865
Azerbaijan,2760.0,32100.0,76600.0,13.13,8.2,5.0,44.42,6.56,15.63592,1.974772
Bahamas,50.2,144.0,2520.0,0.54,0.58,0.21,0.06,0.01,10.77334,0.446113
Bahrain,91.8,2250.0,12500.0,6.4,0.12,0.93,2.82,1.14,30.91649,0.85398
Bangladesh,13600.0,13500.0,100000.0,4.06,3.05,1.64,1.75,2.62,1.227409,0.969282
Barbados,69.4,136.0,963.0,0.26,0.29,0.1,0.03,0.11,4.505458,0.349637
Belarus,16200.0,21200.0,99500.0,39.26,15.88,12.08,20.37,11.7,13.44329,1.794798
Belgium,10700.0,17300.0,113000.0,23.86,25.83,20.39,34.28,8.74,14.13706,0.481302
Belize,93.0,149.0,427.0,0.04,0.05,0.02,0.0,0.0,3.646974,0.798146
Benin,758.0,417.0,2530.0,0.02,0.03,0.19,0.03,0.14,0.769004,0.494298
Bermuda,16.1,28.0,748.0,0.19,0.2,0.07,0.02,0.0,13.08577,0.173612
Bhutan,124.0,655.0,721.0,0.01,0.01,0.01,0.08,0.07,2.829117,1.275036
Bolivia,3450.0,6170.0,17200.0,0.57,0.68,2.14,1.34,1.18,3.991093,1.095158
Bosnia and Herzegovina,1040.0,4440.0,22100.0,11.76,3.56,2.52,3.56,0.7,6.119763,2.266414
Botswana,1640.0,2530.0,3870.0,1.17,0.13,0.53,0.54,0.01,5.994946,0.752994
Brazil,99400.0,227000.0,328000.0,12.59,27.24,79.63,65.18,42.54,4.457688,0.438276
Brunei,86.7,3230.0,3580.0,1.05,0.04,0.53,1.48,0.12,27.43728,0.355946
Bulgaria,8670.0,15300.0,90900.0,40.74,14.54,7.26,20.01,8.27,12.91038,1.412131
Burkina Faso,899.0,2860.0,7250.0,0.05,0.09,0.14,0.09,0.05,1.282987,1.554163
Burundi,519.0,638.0,2020.0,0.03,0.05,0.08,0.05,0.02,0.601283,0.546739
Cambodia,841.0,1790.0,15900.0,0.13,0.1,0.12,0.02,0.02,2.128277,2.643822
Cameroon,3180.0,4820.0,15100.0,0.04,0.67,1.83,0.18,4.28,2.032345,0.679077
Canada,35100.0,109000.0,481000.0,108.6,83.41,128.3,121.9,38.1,22.87847,0.735332
Cape Verde,42.0,45.5,102.0,0.01,0.01,0.02,0.01,0.0,0.564284,0.35359
Cayman Islands,5.39,18.6,224.0,0.06,0.06,0.02,0.01,0.0,10.41889,0.231991
Central African Republic,295.0,1320.0,3200.0,0.02,0.04,0.06,0.04,0.02,1.677791,1.831205
Chad,448.0,2520.0,6950.0,0.01,0.03,0.04,0.02,0.03,1.719567,1.528651
Chile,4710.0,16000.0,33500.0,7.31,2.82,8.29,11.58,3.17,4.155902,0.493573
China,305000.0,1170000.0,2380000.0,577.68,478.37,122.31,863.28,313.28,3.342423,2.333808
Colombia,16200.0,51100.0,57900.0,7.31,5.31,16.21,15.99,5.9,3.72321,0.501478
Comoros,40.4,39.8,184.0,0.01,0.01,0.02,0.01,0.0,0.660434,0.402336
Democratic Republic of the Congo,2480.0,3750.0,12300.0,0.03,1.82,0.57,0.88,0.45,0.55322,0.412805
Congo,333.0,2430.0,8250.0,0.0,0.07,0.52,0.07,0.28,4.634952,1.064599
Costa Rica,1660.0,4290.0,2880.0,0.06,0.13,1.68,0.76,0.24,2.927786,0.413329
Cote d'Ivoire,1290.0,3200.0,5560.0,0.49,0.6,1.24,0.61,0.4,0.849155,0.264074
Croatia,3420.0,4100.0,29100.0,8.42,1.82,3.42,10.87,4.55,7.653826,0.215622
Cuba,9010.0,15100.0,40900.0,11.6,6.32,5.68,14.15,2.99,6.199281,0.435675
Cyprus,271.0,1060.0,4360.0,1.56,0.16,1.03,1.06,0.55,7.585169,0.446539
Czechia,8610.0,20300.0,179000.0,52.9,35.63,6.87,69.9,14.13,20.12216,1.001861
Denmark,8060.0,9120.0,53000.0,23.19,8.69,11.36,6.94,2.86,13.67474,0.413154
Djibouti,218.0,578.0,963.0,0.17,0.31,0.47,0.29,0.01,3.119151,0.964043
Dominica,26.0,48.3,79.6,0.01,0.01,0.0,0.0,0.0,2.160297,0.322156
Dominican Republic,1830.0,7710.0,9400.0,3.72,0.91,3.1,0.95,0.73,2.68894,0.517085
Ecuador,3080.0,16200.0,25300.0,0.82,2.45,6.7,2.05,2.71,4.472829,0.585555
Egypt,11500.0,36100.0,87800.0,21.49,9.99,14.92,29.38,11.97,2.417836,0.411134
El Salvador,1210.0,3020.0,2480.0,0.17,0.16,1.19,0.52,0.44,1.292348,0.284598
Equatorial Guinea,21.7,78.8,121.0,0.01,0.03,0.04,0.02,0.0,0.533608,0.549195
Eritrea,46.2,778.0,2240.0,0.02,0.0,0.11,0.05,0.02,0.996581,0.0
Estonia,1630.0,4060.0,43200.0,5.17,2.29,2.53,3.92,1.68,31.13909,2.332522
Ethiopia,2290.0,14600.0,39400.0,0.16,0.34,0.93,0.59,0.25,1.212411,1.78732
Fiji,352.0,544.0,811.0,0.28,0.23,0.27,0.09,0.04,2.355756,0.427513
Finland,6940.0,12500.0,54900.0,16.12,8.44,11.56,15.39,3.39,14.93124,0.54953
France and Monaco,67800.0,76900.0,391000.0,52.16,98.25,109.18,89.66,41.46,9.455391,0.324694
French Polynesia,29.6,113.0,481.0,0.3,0.24,0.29,0.04,0.01,3.2074,0.215241
Gabon,156.0,6260.0,21800.0,0.23,0.14,0.41,0.35,3.85,30.47505,1.754016
Gambia,109.0,194.0,600.0,0.02,0.04,0.06,0.04,0.01,1.024496,0.677403
Georgia,2800.0,4330.0,34700.0,11.1,6.0,4.32,11.8,1.29,7.722663,1.173328
Germany,72400.0,147000.0,1060000.0,397.6,205.88,149.97,212.3,88.58,16.19996,0.531839
Ghana,1370.0,3240.0,5850.0,0.0,0.62,1.64,0.38,0.6,0.734938,0.389641
Greece,6920.0,19500.0,77600.0,33.98,8.35,14.19,12.23,8.81,10.21838,0.502552
Greenland,3.03,28.8,166.0,0.0,0.0,0.0,0.0,0.0,3.58186,0.184634
Grenada,8.37,29.5,114.0,0.01,0.02,0.01,0.0,0.0,1.570103,0.218532
Guatemala,2030.0,5530.0,3750.0,0.17,0.52,1.59,0.76,0.68,1.24967,0.248789
Guinea,1200.0,1070.0,4570.0,0.11,0.2,0.31,0.19,0.12,1.185825,1.047733
Guinea-Bissau,149.0,267.0,828.0,0.02,0.04,0.06,0.04,0.01,1.258317,0.805459
Guyana,974.0,1550.0,1680.0,0.14,0.15,0.06,0.02,0.01,5.641079,1.894777
Haiti,940.0,1170.0,4270.0,0.25,0.07,0.41,0.2,0.23,0.916656,0.427145
Honduras,1930.0,2490.0,4440.0,0.04,0.35,1.09,0.84,0.17,1.841376,0.58812
Hong Kong,399.0,1690.0,34300.0,23.1,1.18,4.1,3.99,1.01,6.392649,0.241868
Hungary,11700.0,13600.0,80300.0,24.62,21.22,8.84,18.28,7.7,10.15448,0.661168
Iceland,419.0,468.0,2310.0,0.0,0.68,0.6,0.54,0.48,12.66185,0.438074
India,142000.0,639000.0,625000.0,201.01,74.05,64.73,162.13,74.23,1.650119,0.964974
Indonesia,55900.0,136000.0,196000.0,18.0,22.39,28.83,40.08,25.56,2.174398,0.520885
Iran,21300.0,86800.0,182000.0,30.91,53.32,36.82,41.68,12.82,5.287272,0.538788
Iraq,4480.0,63300.0,72100.0,15.71,6.45,20.81,11.49,18.77,8.207129,0.621965
Ireland,7550.0,15300.0,31800.0,10.54,8.35,4.65,5.7,2.54,15.29933,0.771447
"Israel and Palestine, State of",1750.0,3600.0,33900.0,16.85,3.12,6.08,5.9,1.9,8.943191,0.431523
Italy,27900.0,54500.0,428000.0,118.07,76.99,94.18,95.48,42.68,8.930717,0.302718
