Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,3060.0,4050.0,14000.0,1.09,0.32,0.92,0.21,0.17,0.774093,0.595797
Albania,786.0,2850.0,4230.0,0.0,0.65,2.28,0.78,0.51,2.632177,0.308762
Algeria,5290.0,111000.0,77200.0,24.12,13.57,29.19,21.23,22.7,5.552031,0.438168
Angola,3930.0,19700.0,33500.0,1.39,2.97,5.16,2.3,7.68,2.622633,0.439174
Anguilla,0.29,4.47,15.3,0.0,0.0,0.01,0.0,0.0,1.499298,0.047258
Antigua and Barbuda,21.4,51.3,323.0,0.14,0.03,0.1,0.01,0.0,4.284012,0.180147
Argentina,51000.0,130000.0,196000.0,44.53,37.37,45.12,49.66,19.33,9.334903,0.876197
Armenia,718.0,2030.0,5790.0,1.04,1.63,1.26,1.34,0.52,2.938064,0.38842
Australia,45200.0,123000.0,431000.0,211.56,17.92,85.3,75.13,21.73,28.06205,0.682995
Austria,3800.0,10600.0,78200.0,15.72,11.28,22.31,20.11,7.18,11.09548,0.252693
Azerbaijan,2460.0,18400.0,31000.0,11.69,7.43,4.77,4.92,2.23,5.884034,0.411959
Bahamas,92.1,197.0,3150.0,0.68,0.16,0.46,0.06,0.01,9.856853,0.405065
Bahrain,149.0,4910.0,18400.0,17.56,0.22,3.11,3.72,3.04,21.05236,0.494507
Bangladesh,21600.0,51600.0,114000.0,19.66,8.07,6.02,7.13,8.99,1.259747,0.55858
Barbados,54.8,115.0,1210.0,1.86,0.07,0.17,0.03,0.12,4.982614,0.309478
Belarus,11400.0,18000.0,67800.0,32.69,7.53,10.56,7.66,6.78,10.22588,0.704145
Belgium,8270.0,17000.0,116000.0,23.08,28.5,27.25,24.86,11.81,13.09488,0.319695
Belize,125.0,227.0,817.0,0.13,0.03,0.09,0.01,0.0,3.818696,0.480686
Benin,1570.0,4400.0,4470.0,0.16,1.11,2.45,0.12,0.56,1.199825,0.651962
Bermuda,15.4,23.3,463.0,0.13,0.03,0.09,0.01,0.0,7.757156,0.126676
Bhutan,162.0,804.0,830.0,0.11,0.02,0.07,0.32,0.2,2.562415,0.458184
Bolivia,5370.0,13200.0,20900.0,2.19,2.5,4.94,2.12,0.99,4.111228,0.792028
Bosnia and Herzegovina,974.0,3750.0,21600.0,13.28,2.02,3.38,1.56,1.41,7.002092,0.720005
Botswana,1470.0,4630.0,3600.0,1.05,0.2,1.98,1.15,0.14,4.985686,0.361967
Brazil,160000.0,418000.0,466000.0,42.07,37.86,151.07,116.99,72.17,5.407397,0.391855
Brunei,141.0,8090.0,6370.0,2.72,0.24,1.13,3.13,0.82,38.51121,0.520101
Bulgaria,3140.0,9250.0,54300.0,30.92,1.83,8.34,7.41,5.57,8.879222,0.56624
Burkina Faso,2050.0,5700.0,14600.0,0.37,0.27,0.85,0.21,0.25,1.524043,1.122409
Burundi,900.0,799.0,3260.0,0.04,0.03,0.09,0.02,0.03,0.603933,0.795234
Cambodia,3950.0,2960.0,22100.0,1.22,0.24,2.03,0.15,0.41,2.087851,0.852261
Cameroon,4030.0,10800.0,23600.0,0.92,0.36,2.18,0.8,2.63,2.031118,0.762968
Canada,33700.0,118000.0,569000.0,121.9,95.33,166.33,160.46,42.09,21.56374,0.520964
Cape Verde,85.4,83.3,215.0,0.07,0.05,0.15,0.04,0.0,0.779607,0.131277
Cayman Islands,10.2,36.5,298.0,0.16,0.04,0.11,0.01,0.0,6.506286,0.257763
Central African Republic,466.0,2470.0,5720.0,0.07,0.05,0.15,0.04,0.02,1.991948,2.296566
Chad,1110.0,4240.0,13500.0,0.05,0.04,0.12,0.03,0.18,1.689043,0.974734
Chile,8500.0,23000.0,72600.0,24.2,5.02,20.58,16.73,6.25,6.24946,0.33078
China,525000.0,1500000.0,7850000.0,3068.41,530.37,520.39,2489.73,1198.15,7.350643,0.946071
Colombia,19500.0,61800.0,70100.0,6.1,6.98,22.3,20.25,6.07,3.37164,0.319687
Comoros,52.8,90.1,283.0,0.03,0.02,0.06,0.02,0.0,0.648145,0.471816
Democratic Republic of the Congo,3000.0,3290.0,22200.0,0.06,0.0,1.52,0.14,1.29,0.471804,0.797995
Congo,490.0,4490.0,8730.0,0.05,0.08,1.18,0.07,3.09,3.330759,0.704299
Costa Rica,1380.0,3510.0,7610.0,0.61,0.47,4.36,1.24,0.9,2.820806,0.225692
Cote d'Ivoire,2190.0,7070.0,9750.0,2.62,1.39,1.56,0.79,0.58,0.975037,0.364839
Croatia,2750.0,4340.0,24700.0,5.37,3.4,6.05,5.34,4.25,7.299339,0.327744
Cuba,6100.0,13100.0,26100.0,13.65,2.69,1.82,7.31,1.24,4.005524,0.22573
Cyprus,321.0,1580.0,8440.0,3.89,0.62,2.18,0.88,0.87,9.566728,0.367397
Czechia,5920.0,13100.0,125000.0,65.14,12.81,18.27,20.14,9.31,13.80251,0.476129
Denmark,5430.0,9320.0,51300.0,22.16,5.63,13.9,6.94,2.62,12.00719,0.26708
Djibouti,244.0,830.0,1180.0,0.22,0.16,0.52,0.13,0.01,2.740767,1.092512
Dominica,17.0,50.2,139.0,0.03,0.01,0.02,0.0,0.0,2.90503,0.282002
Dominican Republic,2500.0,9610.0,21900.0,9.57,1.57,4.96,3.27,1.75,3.533224,0.335134
Ecuador,4470.0,31300.0,22100.0,4.72,5.73,10.02,5.69,5.34,4.008396,0.431357
Egypt,23300.0,60800.0,200000.0,60.98,20.68,39.05,50.17,30.73,3.512719,0.377293
El Salvador,1450.0,3520.0,6960.0,1.63,0.52,2.95,1.04,0.81,1.95365,0.260305
Equatorial Guinea,34.0,3160.0,6760.0,0.21,0.1,0.34,0.88,3.02,11.46598,0.337672
Eritrea,451.0,1250.0,3670.0,0.27,0.07,0.12,0.02,0.03,1.268725,0.916802
Estonia,818.0,2730.0,19200.0,13.45,0.62,2.36,1.36,3.19,16.97258,0.672465
Ethiopia,6620.0,28100.0,78500.0,0.84,1.41,2.63,1.38,0.92,1.360989,1.472187
Fiji,431.0,1020.0,889.0,0.69,0.17,0.66,0.15,0.09,2.770987,0.354707
Finland,6590.0,14100.0,61200.0,25.68,4.88,12.53,12.96,3.5,15.3951,0.365886
France and Monaco,41100.0,69600.0,395000.0,51.28,106.08,124.45,68.39,34.65,8.115263,0.209468
French Polynesia,38.9,129.0,604.0,0.35,0.09,0.33,0.07,0.01,2.934773,0.160407
Gabon,222.0,5590.0,8730.0,0.65,0.22,0.43,0.71,3.51,9.466506,0.619108
Gambia,214.0,267.0,1010.0,0.08,0.06,0.18,0.05,0.01,0.936645,0.603449
Georgia,1890.0,2980.0,5600.0,0.79,1.31,1.74,0.82,0.97,2.413246,0.404914
Germany,43000.0,75800.0,834000.0,348.16,154.05,148.89,124.02,54.23,11.74021,0.281451
Ghana,2230.0,8180.0,10200.0,1.81,1.12,3.74,1.1,0.92,0.885863,0.310907
Greece,5280.0,23800.0,103000.0,47.89,12.4,22.2,11.86,8.71,11.57259,0.367159
Greenland,3.51,28.9,213.0,0.14,0.37,0.09,0.06,0.0,4.318961,0.188103
Grenada,20.0,44.1,405.0,0.06,0.01,0.04,0.01,0.0,4.517909,0.372483
Guatemala,3000.0,8530.0,11500.0,3.04,0.61,4.98,1.62,1.16,1.641551,0.242448
Guinea,1750.0,2410.0,9290.0,0.25,0.18,0.58,0.14,0.2,1.303731,1.060423
Guinea-Bissau,268.0,408.0,1260.0,0.07,0.05,0.15,0.04,0.01,1.306294,0.963538
Guyana,1200.0,1650.0,2390.0,0.37,0.08,0.25,0.03,0.01,7.020664,1.296957
Haiti,1460.0,2500.0,8410.0,0.24,0.24,1.33,0.51,0.26,1.274739,0.8023
Honduras,2680.0,8610.0,6430.0,2.7,0.45,2.97,1.76,0.73,2.250276,0.551093
Hong Kong,433.0,2060.0,44700.0,29.28,1.7,5.34,6.54,0.69,6.79797,0.145443
Hungary,6830.0,9410.0,57000.0,18.54,13.31,12.89,7.02,5.28,7.332001,0.311263
Iceland,376.0,528.0,3800.0,0.01,0.58,0.91,0.61,1.68,15.14118,0.349366
India,227000.0,765000.0,1550000.0,685.25,146.36,161.96,352.07,142.58,2.125155,0.560776
Indonesia,72100.0,400000.0,253000.0,113.34,35.16,77.67,124.05,43.61,3.070868,0.394011
Iran,34300.0,155000.0,548000.0,125.72,135.01,115.23,111.32,59.24,10.11782,0.618103
Iraq,5480.0,49300.0,92700.0,25.02,12.27,24.71,10.38,17.44,5.064974,0.414657
Ireland,7310.0,17700.0,47300.0,14.2,10.98,13.5,5.37,2.78,16.10632,0.336196
"Israel and Palestine, State of",2140.0,6710.0,68100.0,41.3,3.35,15.98,3.85,3.58,10.83794,0.363729
Italy,19000.0,44900.0,470000.0,156.79,80.4,117.93,73.69,40.93,8.974554,0.242303
Jamaica,513.0,1790.0,11800.0,2.78,0.67,2.03,4.23,0.53,5.039565,0.589878
Japan,22900.0,50000.0,1230000.0,501.93,124.62,217.32,277.03,92.69,10.14528,0.292351
Jordan,960.0,3240.0,20700.0,8.27,2.45,4.63,3.16,2.04,3.835662,0.39494
Kazakhstan,13900.0,55000.0,246000.0,85.96,26.62,13.78,103.88,22.89,19.67194,1.000264
Kenya,10500.0,14100.0,43400.0,2.2,0.91,3.34,2.37,1.51,1.738546,0.743835
Kiribati,5.11,26.3,27.5,0.01,0.0,0.01,0.0,0.0,0.597775,0.344461
North Korea,2840.0,23800.0,74800.0,11.38,13.6,1.22,44.18,3.91,4.16692,858.1247
South Korea,12100.0,35500.0,542000.0,234.82,59.03,84.17,110.79,53.47,11.98746,0.420424
Kuwait,759.0,23300.0,81600.0,40.64,0.52,10.54,19.89,10.01,39.85386,0.425153
Kyrgyzstan,1270.0,4840.0,5500.0,2.29,1.71,1.96,1.05,0.7,2.206085,0.782127
Laos,1830.0,1920.0,8580.0,0.26,0.04,0.15,0.69,0.21,2.036836,0.576606
Latvia,1210.0,2310.0,8670.0,2.06,1.24,3.55,1.1,0.72,5.611374,0.266332
Lebanon,782.0,1950.0,17700.0,9.62,0.83,4.45,0.88,1.96,4.979733,0.344746
Lesotho,271.0,539.0,1510.0,0.05,0.04,0.12,0.03,0.01,1.161406,0.576358
Liberia,294.0,658.0,1640.0,0.12,0.09,0.27,0.07,0.06,0.708306,1.048347
Libya,1380.0,55200.0,30700.0,21.45,1.75,13.3,5.52,12.86,14.42107,0.497493
Lithuania,4750.0,4570.0,15600.0,3.02,1.23,5.01,3.35,3.02,7.763204,0.335204
Luxembourg,273.0,535.0,11300.0,1.1,1.6,6.72,1.21,0.62,24.89475,0.26305
Macao,16.7,357.0,1930.0,0.6,0.15,0.57,0.14,0.01,4.486501,0.055457
Macedonia,481.0,1830.0,10100.0,6.0,0.35,1.19,1.59,1.02,6.026434,0.543918
Madagascar,2500.0,5970.0,19300.0,0.49,0.28,0.88,0.23,0.13,1.390742,0.911837
