Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2690.0,2490.0,10900.0,0.37,0.21,0.2,0.09,0.22,0.799289,0.737565
Albania,844.0,3200.0,3200.0,0.28,0.76,1.47,0.57,0.18,2.320918,0.454021
Algeria,4180.0,84500.0,79600.0,15.83,9.33,16.85,19.49,22.2,5.395709,0.528485
Angola,3020.0,16600.0,36700.0,0.73,1.05,1.07,1.78,11.98,3.42916,0.976258
Anguilla,0.3,3.02,15.5,0.0,0.0,0.01,0.0,0.0,1.702957,0.081181
Antigua and Barbuda,18.7,48.4,279.0,0.1,0.05,0.08,0.02,0.0,4.145479,0.230724
Argentina,37500.0,118000.0,148000.0,30.3,27.0,40.26,41.78,11.25,8.181002,0.9392
Armenia,410.0,1640.0,3660.0,1.6,0.53,0.57,0.72,0.24,1.860316,0.636015
Australia,47700.0,126000.0,358000.0,178.87,14.77,75.01,65.98,19.18,27.8859,0.787659
Austria,4480.0,11300.0,67900.0,13.47,12.87,18.55,16.99,6.2,10.36811,0.270433
Azerbaijan,1840.0,9890.0,28100.0,15.32,5.95,2.36,3.66,0.76,4.898582,1.10982
Bahamas,67.4,171.0,2370.0,0.68,0.31,0.51,0.12,0.01,8.738706,0.338775
Bahrain,120.0,2920.0,15900.0,11.36,0.18,1.53,2.77,1.92,28.49563,0.628973
Bangladesh,18200.0,27200.0,99700.0,8.81,4.9,3.03,4.2,5.76,1.102975,0.671601
Barbados,69.8,130.0,1210.0,1.02,0.19,0.25,0.07,0.11,5.227164,0.361878
Belarus,8960.0,14600.0,58000.0,31.98,8.13,6.46,5.55,5.66,8.208109,1.116762
Belgium,9070.0,17300.0,125000.0,26.07,28.84,24.5,34.35,11.11,14.67313,0.400149
Belize,117.0,157.0,699.0,0.13,0.06,0.1,0.02,0.0,3.936292,0.56578
Benin,1160.0,1570.0,3470.0,0.05,0.3,0.92,0.16,0.15,0.90436,0.541869
Bermuda,13.2,25.1,435.0,0.12,0.05,0.09,0.02,0.0,7.38634,0.149676
Bhutan,158.0,616.0,688.0,0.06,0.01,0.04,0.2,0.14,2.549957,0.720485
Bolivia,4390.0,8290.0,16000.0,1.22,1.43,2.94,1.51,1.19,3.442841,0.779431
Bosnia and Herzegovina,881.0,2460.0,14300.0,8.86,1.19,2.09,1.58,0.61,4.694694,0.748114
Botswana,1720.0,4400.0,4130.0,1.66,0.3,1.22,0.86,0.14,5.927809,0.569658
Brazil,124000.0,362000.0,389000.0,31.38,35.61,125.45,99.95,69.04,4.988299,0.44017
