Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2180.0,1780.0,8010.0,0.33,0.69,0.34,0.05,0.27,0.856306,0.693409
Albania,767.0,3010.0,2400.0,0.19,0.57,0.41,0.97,0.25,1.90556,0.668406
Algeria,3690.0,80000.0,112000.0,11.03,7.78,16.8,19.34,21.39,7.187319,0.733338
Angola,2300.0,12200.0,42800.0,0.17,0.62,1.19,1.91,2.18,4.414537,1.164698
Anguilla,0.19,2.46,7.9,0.0,0.0,0.01,0.0,0.0,1.175211,0.055029
Antigua and Barbuda,15.1,45.0,246.0,0.11,0.08,0.04,0.01,0.0,4.480573,0.280123
Argentina,33400.0,132000.0,119000.0,21.32,22.23,32.12,30.91,12.73,8.461049,1.088413
Armenia,591.0,1970.0,11000.0,4.87,2.58,1.83,1.38,0.35,3.939522,1.992854
Australia,41400.0,123000.0,283000.0,133.87,12.47,62.08,56.62,15.85,25.58818,0.917421
Austria,4620.0,12800.0,61400.0,12.38,13.77,15.08,14.37,5.89,10.05617,0.312437
Azerbaijan,2200.0,18600.0,44100.0,21.89,6.3,4.0,10.25,3.04,8.686695,1.385491
Bahamas,50.4,146.0,2200.0,0.56,0.42,0.2,0.04,0.01,9.013232,0.41781
Bahrain,101.0,2320.0,13200.0,8.16,0.15,1.13,2.74,1.42,29.83792,0.749803
Bangladesh,14700.0,15100.0,98000.0,5.06,2.94,2.11,1.63,2.94,1.148819,0.856376
Barbados,68.5,135.0,1010.0,0.34,0.26,0.11,0.03,0.04,4.646997,0.386745
Belarus,10800.0,19900.0,94700.0,51.35,15.37,11.33,8.8,8.15,12.27308,1.704652
Belgium,7820.0,17400.0,118000.0,25.29,29.58,21.47,32.83,8.7,14.24895,0.456989
Belize,103.0,175.0,500.0,0.07,0.05,0.03,0.01,0.0,4.00828,0.649298
Benin,884.0,398.0,2810.0,0.03,0.04,0.12,0.02,0.19,0.768247,0.523667
Bermuda,10.3,22.9,389.0,0.11,0.08,0.04,0.01,0.0,6.847442,0.182026
Bhutan,130.0,681.0,719.0,0.02,0.02,0.02,0.06,0.07,2.878169,1.175607
Bolivia,3320.0,7340.0,18900.0,0.84,0.71,2.31,1.55,1.57,4.145452,1.086886
Bosnia and Herzegovina,904.0,4020.0,16300.0,6.88,4.3,1.06,3.66,0.37,5.000108,4.382515
Botswana,1380.0,3590.0,3390.0,1.65,0.15,0.81,0.69,0.1,5.736322,0.676412
Brazil,102000.0,240000.0,348000.0,15.22,28.53,86.61,65.41,43.34,4.458697,0.443189
Brunei,92.7,3900.0,4660.0,1.29,0.05,0.65,1.59,1.38,31.58155,0.404367
Bulgaria,4960.0,16300.0,60200.0,36.69,5.26,3.81,8.33,5.78,9.384581,1.185496
Burkina Faso,920.0,3220.0,7870.0,0.05,0.1,0.17,0.09,0.05,1.292274,1.518234
Burundi,517.0,697.0,2030.0,0.03,0.06,0.1,0.06,0.02,0.572403,0.519378
Cambodia,862.0,2010.0,15400.0,0.15,0.12,0.16,0.02,0.03,1.894057,2.285157
Cameroon,3260.0,4410.0,15900.0,0.03,0.53,1.57,0.14,4.42,1.897422,0.756768
Canada,37600.0,117000.0,461000.0,105.16,81.48,125.2,113.94,35.57,21.68781,0.716751
Cape Verde,56.9,49.0,121.0,0.01,0.02,0.04,0.02,0.0,0.630635,0.356061
Cayman Islands,6.1,20.4,230.0,0.07,0.05,0.03,0.01,0.0,9.361619,0.21211
Central African Republic,293.0,1510.0,3540.0,0.03,0.05,0.08,0.04,0.02,1.725976,2.07233
Chad,503.0,2710.0,7440.0,0.03,0.06,0.1,0.06,0.03,1.67748,1.373917
Chile,5130.0,17800.0,32700.0,4.24,4.28,10.29,10.4,3.18,4.063147,0.377754
China,327000.0,1160000.0,2660000.0,780.4,470.8,125.3,905.14,383.17,3.444117,1.929559
Colombia,16500.0,56200.0,62000.0,8.99,5.09,18.01,17.36,6.15,3.788094,0.48566
Comoros,39.1,47.1,189.0,0.01,0.01,0.02,0.01,0.0,0.629845,0.421579
Democratic Republic of the Congo,2600.0,2660.0,13500.0,0.02,0.92,0.44,0.03,0.29,0.502854,0.516405
Congo,355.0,2350.0,8350.0,0.01,0.08,0.47,0.05,0.28,4.292344,0.838708
Costa Rica,1810.0,4380.0,4260.0,0.59,0.24,2.4,0.63,0.39,3.208097,0.413481
Cote d'Ivoire,1450.0,3020.0,6180.0,0.46,0.53,1.14,0.64,0.33,0.80934,0.272376
Croatia,2970.0,3820.0,16800.0,4.09,2.3,2.76,5.0,2.57,4.979532,0.346592
Cuba,7540.0,14500.0,22900.0,8.84,3.5,2.6,6.3,1.68,4.189654,0.392721
Cyprus,303.0,1180.0,5360.0,2.03,0.21,1.3,1.2,0.61,8.542859,0.450737
Czechia,6680.0,16300.0,143000.0,61.2,19.34,7.92,43.2,10.13,16.03126,0.92072
Denmark,7020.0,9350.0,58700.0,28.86,8.24,10.86,7.36,3.46,14.50627,0.425059
Djibouti,211.0,586.0,798.0,0.16,0.29,0.5,0.26,0.01,2.59391,0.910091
Dominica,26.0,48.3,78.6,0.02,0.01,0.01,0.0,0.0,2.154357,0.312342
Dominican Republic,1960.0,8060.0,9770.0,4.35,1.35,2.45,0.87,0.73,2.648868,0.463904
Ecuador,3310.0,17400.0,24000.0,2.02,1.5,8.13,3.17,2.55,4.177841,0.549872
Egypt,13200.0,43500.0,95200.0,24.54,9.1,17.57,28.89,16.43,2.530063,0.424249
El Salvador,1280.0,3280.0,3770.0,0.61,0.2,1.6,0.76,0.59,1.543259,0.314161
Equatorial Guinea,21.0,73.8,139.0,0.01,0.02,0.04,0.02,0.0,0.513121,0.440065
Eritrea,465.0,828.0,2630.0,0.02,0.0,0.11,0.07,0.02,1.257234,1.132272
Estonia,1190.0,3450.0,24100.0,19.43,1.27,1.07,1.99,2.28,18.92934,1.750584
Ethiopia,1620.0,15500.0,42100.0,0.06,0.34,0.73,0.27,0.19,1.146598,2.22734
Fiji,339.0,479.0,833.0,0.26,0.2,0.27,0.09,0.05,2.217295,0.351687
Finland,5980.0,12800.0,54800.0,17.39,8.63,11.35,14.43,3.2,14.57792,0.567267
France and Monaco,59300.0,76800.0,399000.0,46.43,104.29,119.36,89.22,39.38,9.309674,0.302762
French Polynesia,28.1,114.0,402.0,0.26,0.2,0.27,0.04,0.01,2.650126,0.173612
Gabon,169.0,4970.0,16900.0,0.28,0.16,0.37,0.3,3.88,21.90083,1.154179
Gambia,113.0,193.0,612.0,0.02,0.04,0.06,0.03,0.01,0.93709,0.619255
Georgia,2350.0,3990.0,21000.0,8.82,4.69,2.32,4.04,1.16,5.161322,1.633626
Germany,66900.0,130000.0,944000.0,362.53,196.08,164.06,154.88,65.58,14.24633,0.426029
Ghana,1410.0,3500.0,6330.0,0.0,0.47,1.79,0.42,0.82,0.726456,0.366
Greece,6550.0,20500.0,81300.0,36.79,8.0,16.28,11.25,8.93,10.36586,0.485749
Greenland,3.11,28.6,174.0,0.0,0.0,0.0,0.0,0.0,3.677081,0.229451
Grenada,9.22,30.4,145.0,0.04,0.03,0.01,0.0,0.0,1.900908,0.251031
Guatemala,2320.0,6070.0,4850.0,0.82,0.61,1.87,0.92,0.59,1.363193,0.257833
Guinea,1060.0,1090.0,4550.0,0.1,0.19,0.33,0.18,0.13,0.991148,0.931196
Guinea-Bissau,163.0,283.0,884.0,0.03,0.05,0.08,0.04,0.01,1.251486,0.787408
Guyana,1120.0,1580.0,1870.0,0.22,0.16,0.08,0.02,0.01,6.105457,1.896024
Haiti,1050.0,1040.0,4760.0,0.13,0.05,0.41,0.22,0.23,0.927697,0.48197
Honduras,1960.0,2670.0,4550.0,0.1,0.4,1.16,0.8,0.2,1.747458,0.535574
Hong Kong,510.0,1760.0,42600.0,29.22,1.46,6.36,3.71,0.81,7.579259,0.259679
Hungary,5180.0,11100.0,61500.0,22.21,16.0,7.11,11.82,4.37,7.503948,0.51678
Iceland,360.0,463.0,2310.0,0.0,0.79,0.63,0.47,0.41,12.04938,0.444144
India,156000.0,632000.0,743000.0,261.89,93.16,68.84,171.88,70.98,1.68925,0.930403
Indonesia,60700.0,184000.0,231000.0,25.41,26.04,37.91,63.25,30.29,2.53571,0.501388
Iran,23200.0,152000.0,242000.0,38.72,71.51,44.15,52.03,36.51,7.161996,0.627033
Iraq,4290.0,41700.0,77400.0,26.91,4.79,23.28,11.43,2.16,6.68776,1.286004
Ireland,7590.0,16600.0,33300.0,11.97,9.38,5.5,3.98,2.5,16.04291,0.729464
"Israel and Palestine, State of",1790.0,3960.0,38500.0,20.55,1.99,9.07,3.95,2.92,9.19787,0.421664
Italy,27700.0,52400.0,427000.0,120.31,76.81,102.96,85.73,41.19,8.874607,0.284127
Jamaica,482.0,1760.0,8270.0,3.61,0.31,1.07,2.91,0.37,4.267435,0.557069
Japan,31000.0,76300.0,1170000.0,406.95,133.04,218.39,297.85,104.98,10.20717,0.335887
Jordan,765.0,1900.0,12100.0,4.0,2.25,2.67,1.86,1.34,3.723819,0.546168
Kazakhstan,19700.0,78500.0,266000.0,105.09,35.93,15.83,95.54,11.42,22.11408,1.9434
Kenya,6280.0,8670.0,25100.0,0.22,0.85,2.56,1.71,0.94,1.603541,0.714451
Kiribati,3.3,17.9,21.5,0.01,0.01,0.01,0.0,0.0,0.571056,0.418949
North Korea,6590.0,24200.0,112000.0,13.68,15.92,3.39,64.8,13.81,6.804252,917.2068
South Korea,12000.0,36600.0,313000.0,76.25,70.25,54.52,74.9,38.24,8.252598,0.601411
Kuwait,349.0,19500.0,27100.0,10.4,0.26,4.54,6.9,2.77,24.48116,0.548149
Kyrgyzstan,1870.0,6410.0,14000.0,2.71,4.49,2.71,3.38,0.68,4.99586,1.840214
Laos,1270.0,1260.0,6160.0,0.09,0.07,0.09,0.02,0.02,1.929401,1.14623
Latvia,2480.0,4880.0,15000.0,7.01,2.73,2.45,1.65,0.75,8.541902,1.070224
Lebanon,547.0,1340.0,7960.0,2.56,0.71,3.23,0.4,1.06,3.48931,0.32614
Lesotho,161.0,551.0,1390.0,0.01,0.02,0.04,0.02,0.01,1.263085,0.907829
Liberia,170.0,305.0,842.0,0.03,0.06,0.1,0.06,0.02,0.651599,1.288656
Libya,1030.0,37600.0,46900.0,8.0,1.5,6.33,9.59,7.42,18.3869,0.662715
Lithuania,3830.0,7130.0,21200.0,7.62,3.54,4.01,4.05,1.94,8.721881,0.92338
Luxembourg,267.0,600.0,11900.0,1.75,1.5,3.44,4.22,0.95,32.51698,0.53554
Macao,8.02,131.0,648.0,0.33,0.25,0.34,0.06,0.02,2.172182,0.054142
Macedonia,613.0,1790.0,8780.0,5.67,0.53,0.77,1.36,0.45,5.62146,0.663738
Madagascar,1130.0,5890.0,17100.0,0.12,0.18,0.31,0.17,0.06,1.958683,1.326904
Malawi,806.0,1350.0,3180.0,0.08,0.11,0.19,0.1,0.1,0.548704,0.754037
Malaysia,8320.0,29300.0,70600.0,19.34,3.37,16.75,23.46,11.1,5.688723,0.476685
Maldives,6.1,29.1,56.0,0.02,0.02,0.02,0.0,0.0,0.386031,0.072995
Mali,664.0,3320.0,8970.0,0.05,0.08,0.15,0.08,0.06,1.461004,1.580801
Malta,68.9,105.0,2210.0,1.54,0.1,0.53,0.0,0.04,6.421359,0.364586
Mauritania,1340.0,1450.0,4220.0,0.31,0.55,0.96,0.51,0.07,3.271905,1.186397
Mauritius,174.0,333.0,1090.0,0.5,0.12,0.5,0.2,0.02,1.477845,0.179183
Mexico,38400.0,109000.0,321000.0,72.58,29.01,89.68,86.72,34.16,5.277754,0.403737
Moldova,1580.0,3860.0,20500.0,13.12,3.32,2.2,1.2,0.62,5.920145,1.829978
Mongolia,3490.0,13000.0,9250.0,8.01,1.26,0.89,2.65,0.13,11.45042,2.776676
Morocco,4520.0,11100.0,27300.0,8.14,3.09,4.79,6.11,3.04,1.665215,0.416482
Mozambique,1420.0,1180.0,5920.0,0.09,0.16,0.69,0.14,0.1,0.605728,1.709052
Myanmar,5160.0,8040.0,57900.0,1.33,0.21,1.04,1.51,0.43,1.704463,1.94969
Namibia,1240.0,1590.0,3570.0,0.03,0.68,0.51,0.01,0.01,4.225167,0.682238
Nepal,1410.0,3360.0,22800.0,0.04,0.51,0.44,0.15,0.23,1.39352,1.108466
Netherlands,13600.0,37000.0,167000.0,44.64,40.88,29.02,37.98,13.51,14.33231,0.432282
New Caledonia,96.7,254.0,969.0,0.41,0.32,0.43,0.5,0.05,7.43354,0.462746
New Zealand,9950.0,26400.0,32400.0,5.03,2.62,9.04,7.1,2.56,19.61714,0.851717
Nicaragua,2510.0,2300.0,4990.0,0.72,0.17,0.92,0.31,0.16,2.262853,0.78147
Niger,835.0,3010.0,8730.0,0.37,0.14,0.19,0.12,0.04,1.47158,1.831403
Nigeria,17800.0,88800.0,252000.0,5.43,5.07,18.71,10.41,45.91,3.58054,1.239873
Norway,3890.0,14600.0,37400.0,0.45,3.61,10.4,14.4,8.07,13.02891,0.285052
Oman,496.0,18200.0,23200.0,4.4,0.7,1.95,6.31,1.53,21.13959,0.573801
Pakistan,18200.0,71000.0,106000.0,19.72,8.53,16.11,19.38,10.69,1.71888,0.5244
Palau,0.69,1.67,17.7,0.42,0.66,0.7,0.17,0.01,1.261334,0.08614
Panama,1030.0,3320.0,3750.0,1.08,0.25,1.43,0.76,0.23,3.140309,0.359934
Papua New Guinea,466.0,1220.0,2330.0,0.72,0.63,0.75,0.12,0.04,0.886722,0.482003
Paraguay,2650.0,4320.0,13500.0,0.01,0.14,1.83,0.27,0.39,4.620961,0.764623
Peru,4440.0,17200.0,21300.0,2.86,4.27,6.9,5.34,1.85,1.888112,0.367407
Philippines,8430.0,45500.0,50600.0,11.21,3.65,15.87,10.1,6.64,1.605623,0.421801
Poland,24700.0,94000.0,350000.0,209.04,65.43,21.47,41.89,21.57,12.28428,1.272379
Portugal,4080.0,10800.0,49200.0,18.93,3.94,11.26,9.5,5.64,6.407361,0.299969
Puerto Rico,244.0,866.0,2560.0,0.95,0.22,0.02,0.03,0.64,1.023492,0.039117
Qatar,174.0,19100.0,13900.0,5.25,0.1,1.58,7.52,4.19,66.92946,1.367888
Romania,13900.0,27100.0,137000.0,80.69,10.89,10.43,21.86,13.1,7.61976,0.863634
Russia,103000.0,449000.0,2140000.0,1170.99,259.79,280.67,247.63,192.71,18.13193,1.083806
Rwanda,658.0,628.0,1870.0,0.07,0.13,0.23,0.12,0.05,0.471566,0.495319
Saint Kitts and Nevis,14.7,23.1,104.0,0.02,0.01,0.01,0.0,0.0,3.423266,0.237319
Saint Lucia,39.2,54.6,219.0,0.05,0.04,0.02,0.0,0.0,2.203725,0.257107
Saint Vincent and the Grenadines,18.5,39.1,138.0,0.02,0.01,0.01,0.0,0.0,1.815047,0.303237
Samoa,31.9,104.0,134.0,0.04,0.03,0.05,0.01,0.0,1.627504,0.465754
Sao Tome and Principe,6.5,30.9,29.6,0.01,0.01,0.02,0.01,0.0,0.56371,0.283018
Saudi Arabia,6550.0,59200.0,188000.0,67.37,2.71,54.53,46.04,17.54,14.59214,0.384411
Senegal,1860.0,2650.0,5890.0,0.93,0.32,0.79,0.29,0.32,1.29541,0.715282
Serbia and Montenegro,3280.0,12500.0,51200.0,34.21,4.23,2.26,7.29,3.28,6.49028,0.926003
Seychelles,18.8,34.4,198.0,0.05,0.08,0.15,0.08,0.0,3.450375,0.230852
Sierra Leone,439.0,632.0,2400.0,0.07,0.13,0.23,0.12,0.03,0.801578,0.775941
Singapore,869.0,1550.0,33600.0,15.41,0.73,4.76,10.51,2.83,11.28496,0.301662
Slovakia,2820.0,6130.0,49100.0,13.03,11.25,3.55,16.95,4.26,10.90176,0.963095
Slovenia,978.0,3590.0,15800.0,5.91,2.08,2.56,1.9,2.92,10.16954,0.632704
Solomon Islands,74.1,110.0,205.0,0.04,0.03,0.05,0.01,0.01,1.178542,0.582678
Somalia,628.0,3950.0,14300.0,0.05,0.1,0.17,0.09,0.03,2.518558,29.4716
South Africa,19800.0,61500.0,265000.0,145.3,14.77,30.06,45.26,62.45,8.797587,0.979979
Spain and Andorra,20200.0,36800.0,246000.0,75.8,23.77,69.36,52.99,24.32,7.678756,0.312517
Sri Lanka,1780.0,5510.0,12500.0,0.68,0.73,2.8,0.71,0.54,1.117743,0.28949
Sudan and South Sudan,4730.0,15500.0,42200.0,0.5,0.16,3.12,0.65,0.26,2.284215,1.205858
Suriname,177.0,893.0,1630.0,0.36,0.29,0.13,0.03,0.07,6.379775,0.609163
Swaziland,198.0,565.0,1470.0,0.21,0.09,0.13,0.08,0.01,2.469499,0.390145
Sweden,6320.0,13500.0,61100.0,9.56,10.39,20.34,15.36,5.46,9.314356,0.313136
Switzerland and Liechtenstein,2540.0,6220.0,48100.0,2.62,18.55,15.29,7.14,3.62,8.339624,0.183455
Syria,4250.0,29900.0,35800.0,6.93,8.8,7.15,5.41,8.88,5.305271,4.766683
Taiwan,4160.0,10900.0,143000.0,52.96,9.87,23.98,41.39,13.56,7.635241,0.342651
Tajikistan,1490.0,4240.0,8690.0,1.69,5.43,0.37,0.0,1.2,2.619139,1.135254
Tanzania,2080.0,7910.0,21100.0,0.25,0.32,0.68,0.39,0.42,1.143012,0.830738
Thailand,16200.0,100000.0,112000.0,37.33,8.56,30.01,22.27,14.52,3.96069,0.516824
Timor-Leste,60.3,120.0,482.0,0.04,0.03,0.05,0.01,0.0,0.821793,0.792693
Togo,477.0,544.0,1920.0,0.04,0.05,0.27,0.01,0.17,0.740914,0.603284
Tonga,24.0,67.9,105.0,0.02,0.02,0.02,0.0,0.0,2.05717,0.542961
Trinidad and Tobago,182.0,5830.0,13400.0,2.92,0.24,1.36,3.66,7.74,15.67278,1.297081
Tunisia,2080.0,6650.0,16100.0,4.48,2.59,2.64,3.57,2.67,2.889482,0.477239
Turkey,29100.0,60500.0,158000.0,38.26,29.77,27.11,39.43,23.37,4.433381,0.406233
Turkmenistan,2040.0,21300.0,28700.0,4.51,14.54,6.88,1.72,0.91,13.3501,2.093874
Turks and Caicos Islands,0.22,4.98,12.3,0.0,0.0,0.0,0.0,0.0,1.345559,1.845885
Uganda,1910.0,4260.0,11500.0,0.09,0.17,0.29,0.15,0.08,0.949041,1.204004
Ukraine,37600.0,110000.0,649000.0,260.37,63.35,40.94,201.23,82.86,15.48862,1.769341
United Arab Emirates,943.0,26200.0,62500.0,13.97,0.27,11.81,30.51,5.02,42.95743,0.414575
United Kingdom,47000.0,127000.0,579000.0,213.55,115.37,115.83,102.61,36.22,13.0846,0.49822
United States,282000.0,666000.0,5130000.0,2021.24,612.33,1430.65,773.16,290.77,23.59286,0.634885
Uruguay,4850.0,6250.0,21000.0,0.8,1.1,1.73,0.88,0.33,10.16811,0.938572
