Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2180.0,1810.0,11900.0,0.12,0.46,0.27,0.05,0.61,1.35759,0.0
Albania,662.0,2110.0,5080.0,0.62,1.1,0.78,1.86,0.6,3.486034,0.96827
Algeria,2490.0,34400.0,106000.0,1.55,2.11,2.64,3.34,20.29,9.307807,1.44629
Angola,1870.0,10400.0,37900.0,0.16,0.14,1.72,0.39,2.16,7.066639,1.102621
Anguilla,0.11,2.73,2.26,0.0,0.0,0.0,0.0,0.0,0.785165,0.077294
Antigua and Barbuda,9.7,33.6,198.0,0.05,0.08,0.0,0.0,0.0,3.48975,0.555352
Argentina,28300.0,114000.0,92700.0,24.97,12.53,25.73,20.27,9.13,9.461847,1.21391
Armenia,568.0,1750.0,11700.0,2.28,3.06,1.37,4.38,0.65,5.307477,2.040789
Australia,38500.0,113000.0,168000.0,57.96,11.11,34.34,45.43,19.31,24.04378,1.12878
Austria,5650.0,12100.0,58600.0,10.59,13.93,10.43,15.58,8.04,10.06955,0.492143
Azerbaijan,1960.0,18800.0,37400.0,6.49,3.31,2.51,21.53,3.82,10.80905,1.839578
Bahamas,40.1,121.0,3320.0,0.53,0.8,0.04,0.01,0.49,19.58535,0.908845
Bahrain,27.0,1010.0,3570.0,0.31,0.04,0.22,2.73,0.27,20.10797,0.592127
Bangladesh,8350.0,3520.0,102000.0,0.67,0.87,0.25,1.08,0.55,1.685278,1.25485
Barbados,57.0,123.0,549.0,0.12,0.2,0.01,0.0,0.01,3.020009,0.217812
Belarus,15000.0,16500.0,71000.0,27.67,10.68,9.81,13.27,7.65,11.24839,2.39901
Belgium,10000.0,18200.0,142000.0,32.56,36.31,12.65,46.44,13.72,17.5273,0.949296
Belize,67.7,109.0,267.0,0.03,0.04,0.0,0.0,0.0,3.485645,1.121082
Benin,521.0,471.0,1670.0,0.0,0.06,0.32,0.02,0.07,0.876239,0.503864
Bermuda,5.63,23.0,369.0,0.07,0.11,0.01,0.0,0.0,7.445679,0.074265
Bhutan,73.3,533.0,530.0,0.0,0.0,0.0,0.0,0.04,3.57505,3.093882
Bolivia,2040.0,4520.0,14800.0,0.24,0.4,1.06,0.7,1.69,4.542898,1.057108
Bosnia and Herzegovina,1040.0,3130.0,14700.0,3.26,2.89,1.77,6.17,0.59,4.8948,2.52962
Botswana,1190.0,122.0,2660.0,0.01,0.09,0.04,0.15,0.01,5.340811,3.185669
Brazil,57500.0,121000.0,195000.0,6.05,9.06,47.72,32.3,26.21,3.732411,0.577753
Brunei,113.0,10100.0,40400.0,0.23,0.02,0.06,0.07,9.72,356.0883,3.548838
Bulgaria,7960.0,12500.0,72900.0,22.66,26.38,4.92,12.38,6.43,10.84424,2.928939
Burkina Faso,527.0,1600.0,4490.0,0.0,0.09,0.04,0.09,0.03,1.135258,2.013982
Burundi,248.0,658.0,1710.0,0.0,0.02,0.01,0.01,0.01,0.739134,0.825309
Cambodia,437.0,1640.0,14300.0,0.03,0.08,0.07,0.01,0.04,2.246447,1.586141
Cameroon,1720.0,983.0,4680.0,0.04,0.03,0.62,0.08,0.21,1.07473,0.662715
Canada,24800.0,101000.0,389000.0,50.13,105.95,89.68,111.63,30.56,23.2351,1.098303
Cape Verde,20.5,44.1,71.9,0.0,0.08,0.03,0.07,0.0,0.499009,0.413819
Cayman Islands,2.32,12.5,68.5,0.01,0.01,0.0,0.0,0.0,8.218678,0.232234
Central African Republic,143.0,479.0,1370.0,0.0,0.03,0.01,0.03,0.01,1.046912,0.963356
Chad,250.0,2520.0,6750.0,0.0,0.06,0.02,0.06,0.02,2.495055,1.201633
Chile,3750.0,42100.0,31500.0,3.32,2.96,5.84,8.53,8.15,7.797045,0.920222
China,148000.0,1020000.0,1020000.0,140.16,232.02,50.12,409.09,139.09,2.535285,4.428629
Colombia,12600.0,34100.0,49600.0,3.16,5.7,7.13,11.33,4.98,4.159988,0.907529
Comoros,38.5,13.7,158.0,0.0,0.01,0.0,0.01,0.0,0.877662,0.62023
Democratic Republic of the Congo,1630.0,3080.0,7770.0,0.03,1.11,0.44,0.45,0.44,0.591257,0.328354
Congo,257.0,1980.0,6010.0,0.04,0.04,0.38,0.14,0.2,5.688541,2.096996
Costa Rica,1060.0,3230.0,1620.0,0.14,0.09,0.77,0.43,0.19,3.038859,0.523089
Cote d'Ivoire,779.0,2990.0,3060.0,0.49,0.31,0.96,0.89,0.33,1.190738,0.343481
Croatia,3180.0,3790.0,21800.0,1.13,1.89,3.12,7.98,7.68,6.455295,0.276345
Cuba,6840.0,14800.0,21400.0,4.67,3.34,4.04,7.98,1.31,4.760633,0.593588
Cyprus,278.0,836.0,2670.0,0.75,0.12,0.66,0.64,0.5,6.032395,0.634179
Czechia,8340.0,18600.0,190000.0,37.03,39.93,5.7,72.07,35.28,21.93849,1.473879
Denmark,7980.0,9450.0,60500.0,16.61,22.93,7.68,10.18,3.12,15.61909,0.671305
Djibouti,95.3,280.0,137.0,0.01,0.33,0.13,0.32,0.01,2.86014,0.312925
Dominica,14.2,24.9,29.0,0.0,0.01,0.0,0.0,0.0,0.949519,0.292395
Dominican Republic,1270.0,5130.0,5090.0,1.97,0.2,1.49,0.91,0.51,2.414937,0.698268
Ecuador,1860.0,4490.0,9180.0,0.64,0.47,1.83,0.58,0.69,2.415001,0.537548
Egypt,7690.0,24900.0,26900.0,2.36,5.2,4.61,10.37,4.55,1.621163,0.425049
