Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2700.0,2990.0,12200.0,0.3,0.48,0.35,0.05,0.56,1.345154,0.0
Albania,1060.0,2760.0,7620.0,0.84,2.69,1.26,1.91,0.89,4.357101,1.065423
Algeria,2820.0,56500.0,128000.0,3.66,5.16,5.67,12.49,24.47,9.970998,0.923712
Angola,2020.0,14200.0,54000.0,0.39,0.56,1.06,0.54,2.96,8.12318,1.680891
Anguilla,0.13,2.84,3.21,0.0,0.0,0.0,0.0,0.0,0.920712,0.071353
Antigua and Barbuda,13.6,42.6,191.0,0.08,0.06,0.01,0.0,0.0,3.367898,0.536804
Argentina,31300.0,139000.0,113000.0,25.16,18.8,30.28,23.23,15.18,10.23296,1.223336
Armenia,707.0,1960.0,17600.0,4.35,4.44,2.03,6.06,0.73,6.650316,2.059453
Australia,36800.0,106000.0,212000.0,78.79,11.77,48.33,58.48,14.79,24.52606,1.053661
Austria,6220.0,13000.0,64200.0,10.42,16.49,12.37,16.63,8.31,10.95789,0.435953
Azerbaijan,2400.0,20500.0,56900.0,11.57,5.01,3.92,32.69,4.03,13.181,1.761761
Bahamas,45.9,136.0,3310.0,0.76,0.64,0.09,0.01,0.24,16.95122,0.934266
Bahrain,54.2,1630.0,7430.0,1.76,0.06,0.62,4.69,0.29,26.56251,0.564843
Bangladesh,10800.0,6870.0,106000.0,1.39,1.64,0.85,1.81,1.0,1.563661,1.35356
Barbados,53.9,124.0,625.0,0.18,0.17,0.02,0.01,0.01,3.195246,0.291184
Belarus,17000.0,18900.0,101000.0,43.7,14.18,11.13,20.41,10.56,14.29144,2.236464
Belgium,11600.0,18600.0,149000.0,34.65,38.22,16.28,43.17,16.56,18.17048,0.754238
Belize,75.7,128.0,306.0,0.04,0.03,0.0,0.0,0.0,3.607154,1.069886
Benin,640.0,521.0,2050.0,0.01,0.09,0.27,0.02,0.14,0.886743,0.54365
Bermuda,8.85,23.3,342.0,0.1,0.09,0.01,0.0,0.0,6.603767,0.083483
Bhutan,87.0,492.0,598.0,0.0,0.0,0.0,0.0,0.05,2.961612,2.32084
Bolivia,3050.0,5030.0,13800.0,0.4,0.63,2.17,0.88,0.78,4.001245,0.826346
Bosnia and Herzegovina,1100.0,3630.0,16900.0,6.25,2.61,2.47,4.76,0.77,5.216731,1.864306
Botswana,1630.0,946.0,3670.0,0.44,0.11,0.1,0.37,0.01,6.480577,1.818846
Brazil,77900.0,210000.0,246000.0,8.64,16.06,77.67,67.3,40.0,4.504985,0.492439
Brunei,93.3,5820.0,19000.0,0.23,0.02,0.2,1.51,3.85,132.6591,1.005717
Bulgaria,9370.0,15700.0,90500.0,36.7,29.49,3.96,12.1,8.15,13.05274,2.197042
Burkina Faso,655.0,1810.0,5070.0,0.03,0.09,0.08,0.09,0.03,1.130206,1.546222
Burundi,318.0,737.0,1930.0,0.0,0.01,0.01,0.01,0.01,0.744636,0.731434
Cambodia,598.0,678.0,7240.0,0.08,0.07,0.09,0.01,0.02,1.258764,1.619314
Cameroon,2310.0,1940.0,6120.0,0.06,0.22,1.11,0.15,0.4,1.239785,0.523153
Canada,35900.0,92200.0,450000.0,68.91,92.7,127.07,128.61,32.84,23.82865,0.91633
Cape Verde,25.3,111.0,78.8,0.02,0.07,0.07,0.07,0.0,0.761025,0.692742
Cayman Islands,3.33,16.8,62.5,0.01,0.01,0.0,0.0,0.0,5.346527,0.131368
Central African Republic,229.0,870.0,2230.0,0.01,0.03,0.03,0.03,0.01,1.500183,1.525044
Chad,366.0,2350.0,6390.0,0.02,0.06,0.05,0.06,0.02,2.060437,1.173642
Chile,3980.0,35100.0,27900.0,3.7,2.54,5.8,8.58,5.29,6.031768,0.829674
China,212000.0,1070000.0,1670000.0,294.75,349.87,83.7,667.85,197.03,3.014636,4.538451
Colombia,14300.0,40200.0,58800.0,4.66,3.41,11.5,13.8,6.04,4.178951,0.637106
Comoros,43.3,26.2,183.0,0.0,0.01,0.01,0.01,0.0,0.850556,0.577106
Democratic Republic of the Congo,1880.0,3630.0,9080.0,0.13,1.66,0.61,0.8,0.43,0.568278,0.447928
Congo,261.0,1400.0,3690.0,0.08,0.06,0.45,0.07,0.12,2.992354,0.99407
Costa Rica,1350.0,4160.0,2770.0,0.36,0.12,1.34,0.62,0.33,3.558293,0.474571
Cote d'Ivoire,1040.0,4200.0,4070.0,0.86,0.48,1.49,0.82,0.54,1.173892,0.283335
Croatia,3730.0,4090.0,27500.0,3.42,2.91,3.31,11.88,5.97,7.713684,0.218127
Cuba,9020.0,14900.0,32400.0,7.65,4.98,5.29,11.76,2.64,5.760784,0.550945
Cyprus,200.0,851.0,3110.0,0.91,0.12,0.6,0.8,0.68,6.122867,0.630163
Czechia,9470.0,20500.0,198000.0,45.52,41.83,7.32,80.2,22.79,22.07028,1.294012
Denmark,8540.0,10000.0,66400.0,21.44,22.27,9.3,10.07,3.39,16.59679,0.622754
Djibouti,142.0,425.0,697.0,0.11,0.31,0.29,0.32,0.0,3.763441,0.724018
Dominica,10.8,32.5,37.1,0.0,0.0,0.0,0.0,0.0,1.073263,0.247332
Dominican Republic,1480.0,6720.0,6720.0,2.84,0.26,1.93,1.11,0.57,2.627717,0.582676
Ecuador,2550.0,12200.0,15500.0,2.19,1.74,3.46,2.32,1.67,3.89254,0.528724
Egypt,9100.0,25100.0,40900.0,6.83,7.47,6.76,15.29,4.71,1.744029,0.377138
El Salvador,1290.0,3240.0,2450.0,0.01,0.17,1.08,0.68,0.5,1.548326,0.261069
Equatorial Guinea,18.3,51.0,88.2,0.0,0.01,0.01,0.01,0.0,0.637556,0.533212
