Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2820.0,3330.0,12500.0,0.44,0.11,0.31,0.14,0.16,0.72154,0.620312
Albania,879.0,3090.0,4170.0,0.14,0.93,1.92,0.8,0.36,2.661766,0.363803
Algeria,4250.0,104000.0,78400.0,22.0,12.19,25.63,20.93,22.61,5.518553,0.447539
Angola,3540.0,16900.0,33000.0,0.87,1.96,3.27,2.16,8.48,2.63731,0.573208
Anguilla,0.24,4.48,12.8,0.0,0.0,0.01,0.0,0.0,1.35859,0.05024
Antigua and Barbuda,20.7,50.7,305.0,0.13,0.04,0.09,0.01,0.0,4.163701,0.187771
Argentina,50000.0,133000.0,176000.0,35.56,32.83,41.8,48.55,17.47,9.077644,0.928524
Armenia,576.0,1980.0,4580.0,0.9,1.15,0.66,1.44,0.43,2.411392,0.394753
Australia,46000.0,125000.0,408000.0,205.2,17.58,81.25,73.26,20.7,28.17303,0.710152
Austria,3800.0,10600.0,79700.0,17.26,12.45,23.3,18.74,7.07,11.36236,0.270203
Azerbaijan,2310.0,12900.0,30900.0,14.36,5.97,4.84,4.22,1.52,5.339695,0.507375
Bahamas,82.5,194.0,2860.0,0.95,0.26,0.68,0.1,0.01,9.346702,0.366059
Bahrain,150.0,4440.0,16300.0,16.69,0.19,2.61,2.85,3.06,21.84222,0.506651
Bangladesh,20800.0,41900.0,107000.0,16.88,7.61,5.27,5.43,6.67,1.170562,0.574705
Barbados,53.9,108.0,1180.0,1.69,0.09,0.21,0.04,0.14,4.89569,0.307445
Belarus,10300.0,17200.0,68200.0,33.58,7.35,9.14,7.16,6.64,9.994193,0.829697
Belgium,8040.0,17000.0,116000.0,24.8,28.16,26.64,25.83,12.06,13.23659,0.332484
Belize,121.0,207.0,799.0,0.2,0.06,0.14,0.02,0.0,3.878963,0.483669
Benin,1470.0,3900.0,4180.0,0.11,1.04,1.96,0.13,0.65,1.160924,0.663016
Bermuda,15.0,25.5,467.0,0.13,0.04,0.09,0.01,0.0,7.806152,0.133801
Bhutan,164.0,680.0,867.0,0.11,0.01,0.04,0.22,0.17,2.545206,0.53929
Bolivia,5190.0,11200.0,19800.0,1.74,2.24,3.94,1.96,0.89,3.896366,0.806045
Bosnia and Herzegovina,967.0,3480.0,18700.0,11.69,1.53,2.88,1.36,1.27,6.134047,0.70607
Botswana,1430.0,4620.0,3510.0,1.27,0.19,1.62,0.99,0.17,5.072586,0.410394
Brazil,154000.0,384000.0,464000.0,34.41,34.35,140.0,105.35,69.36,5.29996,0.419249
Brunei,136.0,7720.0,5590.0,2.78,0.08,1.03,3.33,0.48,36.3199,0.470394
Bulgaria,2980.0,9470.0,53400.0,27.15,2.37,8.12,9.97,5.66,8.630145,0.636018
Burkina Faso,1540.0,5290.0,13300.0,0.22,0.16,0.48,0.1,0.08,1.453713,1.146001
Burundi,781.0,744.0,3030.0,0.07,0.05,0.14,0.03,0.03,0.593626,0.804044
Cambodia,3000.0,2850.0,21500.0,0.95,0.27,1.59,0.14,0.04,2.031646,0.944808
Cameroon,4400.0,9490.0,23900.0,0.43,0.41,1.87,0.4,2.46,2.112301,0.79703
Canada,34400.0,120000.0,551000.0,123.09,93.3,158.66,158.1,41.51,21.58813,0.525628
Cape Verde,74.1,73.3,192.0,0.05,0.04,0.11,0.02,0.0,0.705929,0.142631
Cayman Islands,8.78,33.7,265.0,0.1,0.03,0.07,0.01,0.0,6.154497,0.232478
Central African Republic,407.0,2320.0,5410.0,0.07,0.05,0.14,0.03,0.02,1.936875,2.304728
Chad,1020.0,3980.0,12100.0,0.04,0.03,0.08,0.02,0.23,1.639083,0.941045
Chile,7550.0,21500.0,61400.0,16.98,4.41,18.29,15.99,5.52,5.540596,0.312191
China,497000.0,1460000.0,7090000.0,2837.41,529.69,450.13,2095.37,1050.57,6.805923,1.085029
Colombia,19300.0,59600.0,67500.0,6.93,6.8,21.41,18.52,5.8,3.339974,0.342182
Comoros,48.2,75.5,260.0,0.03,0.02,0.06,0.01,0.0,0.613072,0.430182
Democratic Republic of the Congo,2900.0,2940.0,20900.0,0.03,0.03,1.2,0.14,1.27,0.472077,0.845409
Congo,446.0,4910.0,10300.0,0.05,0.06,0.88,0.04,3.83,4.068089,0.835649
Costa Rica,1380.0,3100.0,6880.0,0.48,0.46,3.96,1.07,0.87,2.635452,0.227432
Cote d'Ivoire,2020.0,6450.0,9630.0,2.19,1.47,1.28,0.68,0.61,0.967772,0.362495
Croatia,2650.0,4400.0,24200.0,5.06,3.62,5.78,5.52,4.05,7.150541,0.345725
Cuba,6010.0,12800.0,26600.0,12.76,2.81,1.83,8.05,1.25,4.024038,0.252702
Cyprus,326.0,1570.0,7920.0,3.56,0.67,2.0,0.88,0.81,9.390823,0.379319
Czechia,6300.0,13400.0,129000.0,64.23,14.07,17.45,23.09,9.48,14.39833,0.532847
Denmark,5550.0,9140.0,59400.0,28.9,6.2,13.52,7.75,3.03,13.60643,0.299892
Djibouti,235.0,766.0,1050.0,0.31,0.22,0.67,0.14,0.01,2.571302,1.105418
Dominica,15.3,49.9,138.0,0.03,0.01,0.02,0.0,0.0,2.865984,0.316394
Dominican Republic,2370.0,8580.0,21100.0,8.99,1.5,5.5,3.17,1.66,3.418974,0.353354
