Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2210.0,2270.0,8480.0,0.65,0.85,0.63,0.08,0.45,1.12306,0.0
Albania,1200.0,3390.0,7980.0,1.01,2.33,1.15,2.67,0.79,3.93084,0.962201
Algeria,3460.0,70500.0,90500.0,10.4,6.03,12.71,20.4,18.09,6.690364,0.637281
Angola,2210.0,15000.0,56200.0,0.26,0.75,1.24,0.96,2.99,6.37554,1.45726
Anguilla,0.15,2.31,5.8,0.0,0.0,0.0,0.0,0.0,1.08925,0.053973
Antigua and Barbuda,15.9,48.4,243.0,0.1,0.08,0.03,0.01,0.0,4.589786,0.323654
Argentina,32200.0,137000.0,121000.0,27.47,22.63,27.68,28.82,14.77,9.128968,1.264653
Armenia,803.0,2240.0,20500.0,4.38,6.28,2.09,6.68,1.03,6.706356,1.975573
Australia,38200.0,114000.0,259000.0,116.59,10.97,59.39,53.85,16.31,24.84416,0.919642
Austria,5180.0,13400.0,58200.0,9.8,14.49,12.47,13.57,7.86,10.02033,0.337118
Azerbaijan,2830.0,32500.0,76400.0,13.74,8.05,4.86,44.18,6.29,15.93516,2.036961
Bahamas,47.6,139.0,2300.0,0.57,0.48,0.18,0.06,0.01,10.04183,0.41792
Bahrain,88.5,2170.0,12600.0,6.27,0.11,0.89,2.85,1.19,31.99344,0.905827
Bangladesh,12700.0,12300.0,98200.0,4.06,2.47,1.5,1.73,2.28,1.220332,0.961976
Barbados,67.0,128.0,943.0,0.27,0.23,0.08,0.03,0.09,4.401829,0.352459
Belarus,17100.0,20800.0,103000.0,42.93,15.84,11.8,20.61,11.81,13.92561,1.900808
Belgium,11100.0,17200.0,112000.0,22.37,27.66,19.95,33.05,9.0,14.08501,0.501532
Belize,91.0,134.0,355.0,0.03,0.03,0.01,0.0,0.0,3.240609,0.767119
Benin,760.0,470.0,2500.0,0.02,0.04,0.27,0.02,0.11,0.798312,0.514692
Bermuda,14.6,25.9,620.0,0.18,0.16,0.06,0.02,0.0,10.97487,0.099715
Bhutan,122.0,579.0,723.0,0.01,0.01,0.01,0.1,0.06,2.754228,1.392955
Bolivia,3340.0,5280.0,15300.0,0.48,0.67,2.0,1.11,0.84,3.629638,1.005163
Bosnia and Herzegovina,1080.0,4400.0,21700.0,11.73,2.67,2.74,3.85,0.74,6.038143,2.245695
Botswana,1530.0,2290.0,3620.0,1.06,0.09,0.46,0.55,0.01,5.720222,0.859991
Brazil,95300.0,225000.0,320000.0,14.07,26.4,76.32,65.73,43.05,4.451417,0.429965
Brunei,86.5,3250.0,3530.0,1.02,0.04,0.52,1.55,0.12,28.11741,0.353111
Bulgaria,9250.0,15500.0,92000.0,41.16,14.64,6.85,20.5,8.73,13.05917,1.469688
Burkina Faso,881.0,2790.0,7080.0,0.07,0.09,0.15,0.11,0.04,1.286045,1.605709
Burundi,487.0,679.0,1980.0,0.04,0.05,0.09,0.06,0.02,0.612381,0.568642
Cambodia,873.0,1670.0,15400.0,0.14,0.09,0.14,0.02,0.02,2.130514,2.899129
Cameroon,3080.0,3370.0,9940.0,0.04,0.42,1.86,0.17,1.38,1.48579,0.443926
Canada,32800.0,113000.0,465000.0,99.23,77.86,126.23,123.32,37.98,22.66422,0.750333
Cape Verde,40.3,47.5,96.2,0.01,0.01,0.02,0.02,0.0,0.558197,0.363917
Cayman Islands,5.59,18.2,215.0,0.07,0.06,0.02,0.01,0.0,10.6058,0.239948
Central African Republic,290.0,1270.0,3090.0,0.03,0.04,0.06,0.05,0.02,1.654075,1.798836
Chad,440.0,2400.0,6650.0,0.02,0.03,0.04,0.03,0.03,1.69895,1.573028
Chile,4690.0,15600.0,27700.0,4.55,2.63,7.74,9.89,2.66,3.747894,0.468785
China,296000.0,1140000.0,2320000.0,529.45,484.62,117.78,840.63,303.4,3.311701,2.530821
Colombia,15900.0,49500.0,57600.0,7.34,4.58,15.87,15.29,6.0,3.730582,0.512688
Comoros,38.9,39.1,180.0,0.01,0.01,0.02,0.01,0.0,0.664164,0.403455
Democratic Republic of the Congo,2380.0,3940.0,11900.0,0.13,1.93,0.57,0.85,0.46,0.560202,0.407787
Congo,332.0,2410.0,8180.0,0.0,0.08,0.54,0.05,0.26,4.726154,1.287107
Costa Rica,1600.0,4360.0,2550.0,0.13,0.06,1.56,0.55,0.23,2.893322,0.412021
Cote d'Ivoire,1250.0,3320.0,5390.0,0.7,0.63,1.1,0.63,0.4,0.87145,0.264692
Croatia,3720.0,4210.0,28600.0,7.5,2.19,3.56,10.64,4.73,7.654273,0.216262
Cuba,8550.0,14700.0,39400.0,11.24,6.02,5.86,13.41,2.76,6.034159,0.422892
Cyprus,264.0,1040.0,4130.0,1.38,0.16,0.96,1.14,0.48,7.375884,0.461836
Czechia,8680.0,20700.0,187000.0,50.13,40.94,6.55,75.22,14.63,20.9909,1.089906
Denmark,7420.0,9090.0,58700.0,27.82,9.79,11.05,7.32,2.73,14.67415,0.442695
Djibouti,177.0,509.0,510.0,0.1,0.13,0.21,0.15,0.0,2.2627,0.626634
Dominica,18.2,45.8,74.9,0.01,0.01,0.0,0.0,0.0,1.936205,0.313485
Dominican Republic,1660.0,7400.0,8820.0,4.07,0.48,2.3,1.28,0.69,2.590455,0.49867
Ecuador,2930.0,16100.0,22700.0,0.71,2.5,6.93,2.15,2.59,4.286137,0.605597
Egypt,11500.0,33400.0,82500.0,21.27,9.64,13.9,27.25,10.54,2.335421,0.402293
El Salvador,1270.0,2940.0,2490.0,0.24,0.15,1.13,0.57,0.39,1.307593,0.28951
Equatorial Guinea,20.8,65.9,116.0,0.01,0.01,0.02,0.02,0.0,0.504977,0.515925
Eritrea,45.7,747.0,2160.0,0.02,0.0,0.08,0.08,0.02,0.980755,0.0
Estonia,1710.0,3990.0,44400.0,5.55,2.29,2.49,4.01,1.76,32.04776,2.459566
