Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Macao,20.4,396.0,2350.0,0.52,0.15,1.72,0.06,0.14,4.909866,0.039481
Macedonia,453.0,1980.0,9850.0,5.61,0.38,1.35,1.45,0.8,5.924525,0.513079
Madagascar,2830.0,6220.0,20700.0,1.41,0.36,1.01,0.4,0.15,1.331231,0.971078
Malawi,1630.0,2710.0,5830.0,0.44,0.15,0.48,0.17,0.15,0.631618,0.607624
Malaysia,12400.0,44600.0,217000.0,91.54,7.54,44.62,49.27,28.72,9.393339,0.415792
Maldives,24.2,51.0,930.0,0.34,0.1,1.12,0.03,0.0,2.60356,0.23379
Mali,1560.0,7370.0,20200.0,0.07,0.11,0.24,0.07,0.07,1.818011,0.899008
Malta,61.4,124.0,2490.0,2.02,0.12,0.54,0.03,0.06,6.353069,0.225611
Mauritania,2320.0,2120.0,6750.0,0.5,0.28,1.09,0.33,0.35,2.922945,0.843736
Mauritius,175.0,457.0,3020.0,2.26,0.18,0.96,0.33,0.02,2.917222,0.174604
Mexico,111000.0,130000.0,484000.0,153.92,33.13,152.51,119.86,48.34,6.00509,0.367563
Moldova,600.0,1800.0,8440.0,3.57,1.38,1.62,1.06,0.62,2.661686,0.733731
Mongolia,4570.0,14100.0,19200.0,10.06,2.51,1.95,2.45,0.26,13.45786,1.374693
Morocco,6190.0,14300.0,55600.0,19.35,8.22,14.62,10.05,6.23,2.282547,0.331189
Mozambique,2600.0,4180.0,12700.0,0.02,0.16,1.9,0.55,1.49,0.757499,0.763151
Myanmar,9010.0,14900.0,90900.0,2.34,1.76,3.03,4.32,0.84,2.252776,0.477619
Namibia,3320.0,1930.0,4180.0,0.09,1.11,1.76,0.28,0.2,4.161869,0.464509
Nepal,6200.0,4650.0,29700.0,0.01,1.06,2.16,1.73,1.21,1.46705,0.697244
Netherlands,11800.0,23000.0,172000.0,54.91,35.67,32.68,32.82,16.09,12.31005,0.269911
New Caledonia,102.0,246.0,1790.0,0.93,0.21,2.39,2.84,0.14,8.281649,0.431993
New Zealand,12600.0,33900.0,35300.0,7.78,3.2,13.54,6.71,4.08,18.32725,0.554822
Nicaragua,3340.0,5020.0,7140.0,1.66,0.42,1.78,0.58,0.35,2.63871,0.598454
Niger,1930.0,7170.0,19200.0,0.43,0.1,1.04,0.3,0.18,1.597436,1.850268
Nigeria,29200.0,94000.0,181000.0,11.63,8.11,25.45,18.09,27.14,1.820013,0.340544
Norway,3440.0,20200.0,44700.0,1.96,3.33,13.38,16.89,9.09,13.65435,0.214043
Oman,1090.0,72900.0,22300.0,15.06,2.67,10.76,25.84,12.18,27.81346,0.65946
Pakistan,44500.0,155000.0,180000.0,40.42,19.67,35.75,36.85,20.53,2.134828,0.488404
Palau,0.64,2.16,31.5,0.77,0.22,2.54,0.07,0.0,1.650203,0.124569
Panama,1250.0,4020.0,10300.0,2.8,0.68,3.69,2.59,0.9,4.12438,0.226946
Papua New Guinea,688.0,2300.0,6820.0,1.06,0.4,3.14,0.09,0.28,1.32003,0.552687
Paraguay,5550.0,7260.0,20900.0,0.0,0.21,4.58,0.26,0.57,5.277706,0.722655
Peru,6750.0,25400.0,47600.0,11.46,3.22,17.93,11.4,4.7,2.644665,0.243687
Philippines,11500.0,88400.0,69700.0,37.2,5.9,24.49,12.81,11.43,1.751089,0.292356
Poland,27000.0,66000.0,309000.0,156.44,57.71,45.87,36.55,20.61,10.48975,0.461766
Portugal,3570.0,12900.0,50600.0,18.17,4.02,15.83,7.65,4.8,6.341294,0.24578
Puerto Rico,208.0,653.0,2510.0,1.45,0.25,0.02,0.01,0.39,0.912988,0.027561
Qatar,513.0,86500.0,66200.0,17.23,0.31,10.64,42.66,11.05,72.62834,0.571643
Romania,10500.0,19700.0,90700.0,35.73,10.34,15.34,17.17,8.2,5.996812,0.338307
Russia,64800.0,436000.0,1780000.0,946.94,136.56,237.3,229.99,248.29,15.87049,0.640176
Rwanda,1270.0,1330.0,4120.0,0.2,0.11,0.44,0.13,0.07,0.622265,0.418797
Saint Kitts and Nevis,13.6,15.6,173.0,0.12,0.02,0.09,0.01,0.0,3.836175,0.187759
Saint Lucia,34.2,57.4,517.0,0.19,0.04,0.13,0.01,0.0,3.483162,0.325574
Saint Vincent and the Grenadines,19.2,42.8,308.0,0.09,0.02,0.07,0.01,0.0,3.386803,0.338123
Samoa,39.6,129.0,158.0,0.05,0.01,0.15,0.0,0.0,1.728952,0.305844
Sao Tome and Principe,9.5,52.8,61.5,0.04,0.02,0.08,0.02,0.0,0.677018,0.238656
Saudi Arabia,8100.0,88700.0,462000.0,202.19,4.63,120.48,136.09,67.51,19.22687,0.387977
Senegal,2850.0,7410.0,9230.0,2.1,0.33,2.1,1.14,1.75,1.42272,0.64729
Serbia and Montenegro,3180.0,10100.0,62000.0,38.73,3.54,6.74,6.01,2.78,7.858804,0.661875
Seychelles,16.5,75.2,483.0,0.26,0.14,0.56,0.17,0.0,6.227668,0.273309
Sierra Leone,763.0,1210.0,4020.0,0.16,0.09,0.36,0.11,0.15,0.885511,0.623091
Singapore,1720.0,2730.0,45000.0,22.01,0.63,7.36,15.98,7.27,9.381697,0.122838
Slovakia,3110.0,6020.0,39100.0,8.29,4.99,6.47,11.5,5.18,8.894194,0.349662
Slovenia,826.0,3470.0,17400.0,6.01,1.59,5.58,1.68,1.44,10.54857,0.381015
Solomon Islands,138.0,266.0,275.0,0.07,0.02,0.22,0.01,0.01,1.230094,0.610537
Somalia,1200.0,5340.0,19500.0,0.22,0.12,0.48,0.15,0.04,2.042244,4.416554
South Africa,19900.0,78400.0,386000.0,235.89,33.27,50.49,92.3,49.41,9.145148,0.747718
Spain and Andorra,21100.0,41900.0,279000.0,91.01,32.34,82.66,54.48,24.48,7.29918,0.230972
Sri Lanka,2550.0,15800.0,12500.0,6.47,1.06,7.37,1.17,1.55,1.508935,0.151343
Sudan and South Sudan,16500.0,27700.0,72400.0,2.3,1.49,9.42,1.87,2.18,2.490033,0.812881
Suriname,188.0,663.0,2160.0,0.73,0.48,0.69,0.1,0.05,5.603502,0.369116
Swaziland,613.0,508.0,1280.0,0.97,0.19,0.4,0.2,0.01,1.9209,0.252235
Sweden,8650.0,12300.0,47400.0,7.25,2.08,20.2,9.72,6.73,7.1668,0.165964
Switzerland and Liechtenstein,2170.0,10200.0,43000.0,2.79,14.66,17.13,6.08,2.99,6.896394,0.126855
Syria,5900.0,15200.0,53000.0,20.87,4.85,8.42,5.69,4.78,3.629542,0.735032
Taiwan,4940.0,10300.0,273000.0,146.19,9.34,35.21,55.87,15.9,12.38148,0.321808
Tajikistan,1560.0,6120.0,3700.0,0.05,1.64,1.39,0.0,0.69,1.423758,0.612372
Tanzania,8910.0,13400.0,39400.0,2.49,0.61,5.97,0.86,1.08,1.258211,0.581206
Thailand,22300.0,122000.0,263000.0,84.33,21.26,62.85,70.51,23.42,6.001125,0.415796
Timor-Leste,351.0,193.0,1860.0,0.07,0.02,0.22,0.01,0.31,2.078268,1.026439
