Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2810.0,2170.0,11300.0,0.41,0.29,0.2,0.05,0.21,0.864519,0.792135
Albania,830.0,3130.0,1860.0,0.21,0.29,0.74,0.52,0.19,1.875025,0.441621
Algeria,3810.0,78400.0,81700.0,14.95,8.63,15.46,18.47,20.26,5.404796,0.55142
Angola,2890.0,17100.0,46800.0,0.39,1.01,0.83,1.5,13.4,4.309244,1.231258
Anguilla,0.27,2.93,12.4,0.0,0.0,0.01,0.0,0.0,1.482824,0.069017
Antigua and Barbuda,17.9,45.6,252.0,0.11,0.04,0.07,0.02,0.0,3.957609,0.230035
Argentina,36200.0,116000.0,147000.0,25.66,24.79,42.49,42.44,11.85,8.279632,0.88749
Armenia,416.0,1620.0,3560.0,1.79,0.46,0.07,0.97,0.28,1.800097,0.681876
Australia,46000.0,122000.0,343000.0,172.64,14.44,71.39,65.26,19.1,27.36489,0.82565
Austria,4610.0,11500.0,69200.0,14.74,13.5,18.3,16.61,6.22,10.60378,0.295218
Azerbaijan,1710.0,9050.0,25600.0,14.74,5.23,3.0,3.27,0.55,4.549571,1.208884
Bahamas,78.6,165.0,2700.0,0.85,0.34,0.54,0.14,0.01,10.14322,0.426619
Bahrain,122.0,2820.0,15500.0,10.82,0.32,1.4,2.88,1.83,30.12888,0.672624
Bangladesh,17000.0,23600.0,95900.0,7.63,4.92,3.4,3.04,4.1,1.079041,0.696306
Barbados,68.7,126.0,1090.0,0.34,0.16,0.2,0.07,0.11,4.789571,0.345717
Belarus,9180.0,15400.0,62000.0,33.88,7.82,8.05,6.55,5.83,8.625822,1.296903
Belgium,9410.0,16800.0,128000.0,27.89,31.93,24.17,32.21,11.16,15.05538,0.437523
Belize,103.0,158.0,618.0,0.09,0.04,0.06,0.02,0.0,3.819627,0.628495
Benin,1100.0,1340.0,3220.0,0.05,0.27,0.75,0.14,0.13,0.874886,0.551633
Bermuda,11.6,21.6,377.0,0.13,0.05,0.08,0.02,0.0,6.461117,0.146605
Bhutan,163.0,823.0,838.0,0.04,0.03,0.04,0.2,0.15,3.365097,1.037943
Bolivia,4240.0,8650.0,16400.0,1.47,0.98,3.13,1.37,1.46,3.644439,0.819455
Bosnia and Herzegovina,798.0,2370.0,11100.0,7.93,0.86,1.4,0.46,0.46,3.806278,0.699634
Botswana,1590.0,4080.0,3850.0,1.32,0.38,1.04,0.95,0.14,5.700393,0.591769
Brazil,118000.0,331000.0,380000.0,20.55,34.72,126.88,88.52,59.58,4.871153,0.436216
Brunei,108.0,4700.0,4430.0,2.18,0.06,0.82,1.25,0.36,28.94601,0.396231
Bulgaria,3290.0,10300.0,53200.0,28.26,3.25,5.42,12.06,4.45,8.20948,0.905819
Burkina Faso,1330.0,4190.0,9820.0,0.11,0.18,0.35,0.13,0.08,1.398766,1.381698
Burundi,684.0,613.0,2080.0,0.04,0.07,0.14,0.05,0.02,0.545241,0.686642
Cambodia,1990.0,2280.0,17900.0,0.31,0.12,1.39,0.05,0.11,1.914145,1.613852
Cameroon,3640.0,9880.0,27600.0,0.05,0.61,1.88,0.15,2.91,2.834045,1.164235
Canada,35600.0,117000.0,525000.0,125.08,83.29,147.46,128.74,41.92,22.46318,0.650753
Cape Verde,56.2,52.4,140.0,0.01,0.02,0.05,0.02,0.0,0.595938,0.189375
Cayman Islands,7.93,25.3,220.0,0.08,0.03,0.05,0.01,0.0,6.701706,0.196545
Central African Republic,384.0,1840.0,4250.0,0.03,0.05,0.09,0.03,0.02,1.800398,2.102698
Chad,709.0,3360.0,8930.0,0.02,0.04,0.07,0.03,0.04,1.675509,1.54443
Chile,6240.0,20300.0,55600.0,14.86,4.23,16.56,14.45,4.83,5.514344,0.377143
China,382000.0,1170000.0,3600000.0,1259.25,404.87,161.6,1174.13,504.57,4.066966,1.294482
Colombia,17600.0,67900.0,67000.0,9.22,6.31,21.41,22.41,7.95,3.886543,0.454432
Comoros,47.4,58.5,206.0,0.01,0.01,0.02,0.01,0.0,0.605349,0.454439
Democratic Republic of the Congo,2560.0,3560.0,17700.0,0.02,0.77,0.45,0.02,1.37,0.53027,0.85204
Congo,372.0,4060.0,11600.0,0.0,0.01,0.32,0.0,3.73,5.241606,1.162576
Costa Rica,1940.0,3550.0,5160.0,0.37,0.47,2.96,0.76,0.57,2.828984,0.312197
Cote d'Ivoire,1810.0,5390.0,7720.0,2.09,0.64,1.21,0.88,0.63,0.939111,0.301873
Croatia,2340.0,3400.0,20000.0,4.68,3.2,4.06,5.68,2.32,5.736259,0.382144
Cuba,6640.0,14300.0,27700.0,10.63,2.91,2.49,10.02,1.71,4.397517,0.435891
Cyprus,308.0,1400.0,6450.0,2.55,0.21,1.65,1.41,0.63,8.977248,0.43425
Czechia,6270.0,14100.0,126000.0,64.88,15.46,10.67,25.83,9.64,14.21164,0.718934
Denmark,6770.0,9320.0,61200.0,30.42,7.75,12.0,7.68,3.34,14.58036,0.370806
Djibouti,224.0,655.0,606.0,0.17,0.28,0.56,0.2,0.01,2.182076,0.996282
Dominica,20.1,48.8,112.0,0.02,0.01,0.01,0.0,0.0,2.580797,0.321298
Dominican Republic,2180.0,8220.0,16600.0,8.68,1.19,4.74,1.89,0.94,3.250569,0.441733
Ecuador,4130.0,21100.0,22000.0,3.76,2.05,9.98,4.62,4.04,3.877755,0.487515
Egypt,16600.0,41800.0,117000.0,29.84,11.64,26.72,29.83,20.5,2.608398,0.379753
El Salvador,1270.0,3170.0,5900.0,1.4,0.46,2.29,1.05,0.68,1.787819,0.292629
Equatorial Guinea,30.4,2220.0,6070.0,0.01,0.02,0.05,0.02,2.14,14.68899,1.996524
Eritrea,636.0,1190.0,3250.0,0.29,0.08,0.36,0.06,0.04,1.574581,0.863115
Estonia,792.0,2630.0,16900.0,12.19,0.74,1.65,1.4,2.26,14.45977,1.042384
Ethiopia,3380.0,19000.0,50400.0,0.04,0.76,1.41,0.72,0.45,1.15783,1.973573
Fiji,381.0,519.0,933.0,0.26,0.19,0.25,0.13,0.06,2.288965,0.341808
Finland,6180.0,13400.0,61700.0,22.16,7.48,11.86,15.32,3.33,15.72311,0.501921
France and Monaco,51400.0,73000.0,416000.0,52.09,104.82,129.12,86.43,37.68,9.145387,0.274046
French Polynesia,30.0,128.0,423.0,0.18,0.13,0.18,0.05,0.01,2.542937,0.168429
Gabon,199.0,6930.0,15300.0,0.47,0.2,0.41,0.55,5.31,19.15995,0.915426
