Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2330.0,2660.0,9570.0,0.61,1.28,0.7,0.09,0.67,1.235054,0.0
Albania,1130.0,2960.0,7690.0,1.0,2.09,1.08,2.77,0.73,3.970841,0.930438
Algeria,3610.0,69800.0,118000.0,8.59,4.87,12.41,16.2,23.41,8.46403,0.77621
Angola,2250.0,14100.0,53900.0,0.16,0.6,1.04,1.01,2.81,6.626298,1.545837
Anguilla,0.13,2.44,3.67,0.0,0.0,0.0,0.0,0.0,0.93713,0.059506
Antigua and Barbuda,16.0,48.8,172.0,0.07,0.06,0.02,0.0,0.0,3.396313,0.310917
Argentina,31200.0,135000.0,100000.0,17.26,20.83,26.29,23.39,12.42,8.778547,1.254915
Armenia,801.0,2020.0,20100.0,4.83,5.79,1.9,6.44,1.11,6.857144,2.060664
Australia,36700.0,112000.0,238000.0,104.32,10.74,54.77,50.28,16.59,24.61334,0.980079
Austria,5440.0,13500.0,60200.0,10.52,17.1,11.12,13.91,7.53,10.39636,0.369703
Azerbaijan,2740.0,22300.0,68000.0,13.92,7.27,4.27,38.77,4.35,13.94771,1.817294
Bahamas,40.8,133.0,1890.0,0.49,0.38,0.14,0.01,0.01,8.794765,0.384177
Bahrain,76.0,2050.0,10800.0,5.8,0.09,0.87,2.34,0.54,30.79845,0.774879
Bangladesh,11200.0,9370.0,99600.0,2.84,2.05,1.35,1.46,1.45,1.28924,1.041908
Barbados,54.7,123.0,853.0,0.25,0.22,0.07,0.03,0.08,4.027063,0.348017
Belarus,17700.0,20400.0,104000.0,46.09,15.45,11.08,20.09,11.13,14.30885,2.053827
Belgium,12700.0,18900.0,109000.0,21.94,29.38,16.42,33.24,8.03,14.18194,0.532223
Belize,81.0,131.0,285.0,0.04,0.03,0.01,0.0,0.0,3.013818,0.848071
Benin,848.0,632.0,2520.0,0.03,0.06,0.36,0.03,0.16,0.935651,0.579384
Bermuda,10.3,25.2,394.0,0.1,0.08,0.03,0.0,0.0,7.28267,0.11053
Bhutan,118.0,678.0,752.0,0.01,0.01,0.01,0.01,0.05,3.313407,2.050853
Bolivia,3320.0,5030.0,14600.0,0.43,0.79,1.74,1.36,0.59,3.696915,0.946585
Bosnia and Herzegovina,1110.0,4650.0,22900.0,11.16,4.61,2.29,4.16,0.72,6.53638,2.365034
Botswana,1430.0,1610.0,3340.0,0.61,0.06,0.33,0.5,0.01,5.367762,0.99109
Brazil,89400.0,195000.0,301000.0,10.08,21.77,70.09,54.3,39.15,4.319893,0.472583
Brunei,87.3,3160.0,3990.0,0.71,0.04,0.45,1.74,0.22,32.2609,0.274255
Bulgaria,9070.0,15900.0,91400.0,37.27,23.82,3.7,17.42,9.11,12.96531,1.644115
Burkina Faso,670.0,2490.0,6550.0,0.06,0.08,0.09,0.05,0.04,1.256406,1.738397
Burundi,361.0,621.0,1780.0,0.02,0.03,0.03,0.02,0.02,0.587158,0.607909
Cambodia,776.0,1390.0,12800.0,0.14,0.09,0.16,0.02,0.02,1.945121,3.148672
Cameroon,2810.0,4830.0,15300.0,0.04,0.38,1.74,0.21,5.01,2.280932,0.701877
Canada,39200.0,109000.0,432000.0,87.81,82.46,114.05,109.53,37.17,22.39817,0.79386
Cape Verde,26.9,59.0,78.2,0.02,0.03,0.03,0.02,0.0,0.52106,0.378364
Cayman Islands,2.87,15.6,84.7,0.03,0.02,0.01,0.0,0.0,5.339491,0.195947
Central African Republic,237.0,1180.0,2870.0,0.03,0.04,0.04,0.03,0.01,1.625828,1.844062
Chad,353.0,2070.0,5780.0,0.02,0.03,0.03,0.02,0.02,1.611693,1.611297
Chile,4090.0,17000.0,22500.0,3.02,2.2,6.18,8.22,2.41,3.579292,0.488654
China,247000.0,1090000.0,1920000.0,393.03,422.91,97.95,711.84,245.13,3.045054,3.029915
Colombia,14600.0,46500.0,56800.0,6.57,3.77,13.95,15.18,6.39,3.800891,0.564998
Comoros,38.1,22.8,178.0,0.0,0.01,0.01,0.0,0.0,0.671484,0.395046
Democratic Republic of the Congo,2150.0,3690.0,10800.0,0.14,1.92,0.54,0.65,0.44,0.555992,0.402278
Congo,302.0,2460.0,7900.0,0.0,0.08,0.6,0.07,0.24,5.013071,1.34687
Costa Rica,1500.0,4490.0,2200.0,0.04,0.06,1.2,0.65,0.24,2.998769,0.441585
Cote d'Ivoire,1120.0,3360.0,4880.0,0.69,0.46,1.19,0.71,0.31,0.91627,0.268721
Croatia,3920.0,4120.0,25800.0,4.0,2.13,2.91,12.52,4.2,7.166665,0.200088
Cuba,8620.0,14800.0,35200.0,9.17,4.92,5.47,12.62,2.97,5.81834,0.401102
Cyprus,237.0,984.0,3160.0,1.15,0.14,0.8,0.68,0.39,6.226072,0.432827
Czechia,8870.0,20600.0,193000.0,55.52,38.16,6.44,75.12,17.5,21.50071,1.174007
Denmark,7550.0,9510.0,63800.0,30.8,11.97,10.78,7.48,2.89,15.81944,0.520593
Djibouti,150.0,427.0,394.0,0.1,0.15,0.16,0.1,0.0,2.280217,0.521664
Dominica,16.0,39.3,50.8,0.01,0.01,0.0,0.0,0.0,1.44051,0.276442
Dominican Republic,1570.0,7150.0,6840.0,3.32,0.45,1.97,0.5,0.61,2.398722,0.484198
Ecuador,2880.0,14800.0,18700.0,1.34,2.33,5.76,2.24,2.21,4.024842,0.534305
Egypt,10100.0,27700.0,70700.0,16.32,12.77,12.24,23.14,6.65,2.162412,0.402042
El Salvador,1180.0,2790.0,2130.0,0.12,0.14,0.96,0.42,0.48,1.236654,0.272389
Equatorial Guinea,21.1,58.6,111.0,0.01,0.01,0.01,0.01,0.0,0.5309,0.558995
Eritrea,47.0,734.0,2110.0,0.03,0.0,0.06,0.06,0.02,1.048975,0.0
Estonia,1680.0,3930.0,42800.0,5.71,2.27,2.45,4.2,1.66,31.76488,2.546234
Ethiopia,1540.0,13600.0,36400.0,0.23,0.17,0.65,0.34,0.15,1.26343,1.821208
Fiji,303.0,526.0,739.0,0.25,0.16,0.28,0.1,0.06,2.203246,0.386769
Finland,6730.0,12200.0,51500.0,16.68,8.07,9.5,14.03,3.24,14.3445,0.600619
France and Monaco,70600.0,82400.0,395000.0,53.43,107.75,92.78,97.82,42.53,9.887829,0.371155
French Polynesia,27.4,105.0,439.0,0.25,0.16,0.28,0.04,0.01,3.260656,0.241499
Gabon,153.0,7840.0,25600.0,0.24,0.32,0.32,0.8,4.63,40.49264,1.893939
Gambia,89.3,190.0,531.0,0.02,0.03,0.03,0.02,0.01,1.106529,0.67428
