Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2720.0,1930.0,12800.0,0.21,0.59,0.29,0.02,0.58,1.383556,0.0
Albania,703.0,2290.0,5070.0,0.53,1.75,0.86,1.05,0.69,3.340979,0.880292
Algeria,2500.0,35700.0,97000.0,2.11,2.97,3.65,4.82,18.2,8.091129,0.909443
Angola,1950.0,10900.0,41600.0,0.35,0.12,1.1,0.39,2.5,7.089269,1.129956
Anguilla,0.12,2.75,2.58,0.0,0.0,0.0,0.0,0.0,0.823492,0.07123
Antigua and Barbuda,10.1,34.1,227.0,0.07,0.08,0.01,0.0,0.0,3.7838,0.540067
Argentina,29800.0,125000.0,95600.0,22.98,16.22,25.3,20.7,10.3,9.596482,1.192455
Armenia,660.0,1890.0,15200.0,3.53,4.0,1.79,5.21,0.72,6.283096,2.164128
Australia,40500.0,116000.0,194000.0,69.45,11.54,40.72,58.35,13.81,25.33351,1.183596
Austria,5900.0,12300.0,57200.0,9.26,13.67,10.39,16.26,7.57,9.867782,0.42185
Azerbaijan,2280.0,24900.0,49000.0,9.32,4.53,3.52,26.7,5.23,13.43656,2.017936
Bahamas,43.1,125.0,3530.0,0.66,0.81,0.1,0.01,0.19,19.56928,1.115606
Bahrain,38.1,1260.0,5490.0,0.71,0.05,0.36,4.11,0.26,25.46933,0.554356
Bangladesh,8890.0,5210.0,105000.0,0.89,1.22,0.62,1.67,0.71,1.669439,1.579431
Barbados,48.4,115.0,649.0,0.15,0.19,0.02,0.0,0.01,3.303309,0.266716
Belarus,16800.0,18000.0,89500.0,38.0,12.84,11.07,17.14,8.21,13.32841,2.436418
Belgium,9620.0,18500.0,128000.0,28.64,34.55,13.43,38.67,12.56,15.9903,0.731746
Belize,72.8,126.0,306.0,0.03,0.04,0.0,0.0,0.0,3.790178,1.094738
Benin,563.0,559.0,1860.0,0.01,0.08,0.36,0.02,0.1,0.911895,0.463522
Bermuda,7.35,23.0,449.0,0.09,0.11,0.01,0.0,0.0,8.709704,0.129132
Bhutan,79.1,706.0,564.0,0.0,0.0,0.0,0.0,0.04,3.855464,3.561985
Bolivia,2380.0,4550.0,12900.0,0.29,0.55,1.51,0.88,1.06,3.956297,0.840182
Bosnia and Herzegovina,1140.0,3500.0,17800.0,3.96,3.49,2.04,7.59,0.69,5.623136,2.537009
Botswana,1470.0,168.0,3340.0,0.0,0.1,0.04,0.2,0.01,6.020083,2.316639
Brazil,67400.0,157000.0,216000.0,5.82,11.55,66.08,46.18,27.24,4.089064,0.491507
Brunei,99.7,7450.0,27000.0,0.23,0.02,0.1,1.06,6.04,213.7297,1.816416
Bulgaria,9140.0,13400.0,80500.0,26.21,30.35,4.6,12.62,6.63,11.79353,2.549606
Burkina Faso,580.0,1610.0,4470.0,0.0,0.1,0.04,0.1,0.03,1.082441,1.627268
Burundi,272.0,718.0,1810.0,0.0,0.02,0.01,0.02,0.01,0.763719,0.891122
Cambodia,543.0,1180.0,9710.0,0.06,0.09,0.08,0.0,0.04,1.521028,1.770518
Cameroon,1850.0,1270.0,5100.0,0.04,0.13,0.75,0.1,0.25,1.10241,0.618301
Canada,28000.0,89600.0,405000.0,53.97,94.23,104.19,124.67,27.42,22.56834,0.956845
Cape Verde,18.7,54.1,68.7,0.0,0.09,0.03,0.08,0.0,0.519134,0.402648
Cayman Islands,2.74,14.2,79.9,0.01,0.01,0.0,0.0,0.0,7.909402,0.222101
Central African Republic,179.0,541.0,1520.0,0.0,0.03,0.01,0.03,0.01,1.110195,1.118927
Chad,278.0,1900.0,5360.0,0.0,0.07,0.03,0.07,0.02,1.844981,0.998909
Chile,3760.0,39400.0,27000.0,2.39,2.57,4.53,7.62,7.45,6.716979,0.897994
China,164000.0,1060000.0,1240000.0,176.13,277.62,65.91,509.66,150.13,2.670635,4.60161
Colombia,13300.0,35400.0,55300.0,3.29,4.9,9.3,10.8,5.26,4.203708,0.745015
Comoros,41.1,16.1,165.0,0.0,0.01,0.0,0.01,0.0,0.865161,0.579782
Democratic Republic of the Congo,1770.0,3200.0,8340.0,0.03,1.15,0.57,0.28,0.58,0.581275,0.312826
Congo,273.0,7970.0,30800.0,0.06,0.05,0.39,0.1,0.87,24.54366,7.128168
Costa Rica,1160.0,3720.0,1980.0,0.22,0.08,0.99,0.45,0.23,3.270033,0.514615
Cote d'Ivoire,850.0,3430.0,3490.0,0.59,0.32,1.01,1.11,0.39,1.176014,0.326533
Croatia,3450.0,4060.0,24200.0,1.41,2.08,2.97,10.42,7.32,7.042647,0.256876
Cuba,7340.0,15100.0,25800.0,5.88,4.34,4.58,9.19,1.77,5.109911,0.582131
Cyprus,225.0,738.0,2180.0,0.66,0.1,0.44,0.46,0.52,4.834351,0.670022
Czechia,8820.0,19100.0,178000.0,42.36,36.01,6.47,72.22,21.43,20.49456,1.270393
Denmark,8950.0,9650.0,55500.0,15.66,19.88,8.66,8.44,2.91,14.63942,0.596794
Djibouti,104.0,325.0,160.0,0.01,0.37,0.15,0.37,0.01,2.62945,0.315716
Dominica,17.1,27.9,37.2,0.0,0.01,0.0,0.0,0.0,1.140328,0.304363
Dominican Republic,1410.0,6200.0,5620.0,2.59,0.19,1.75,0.69,0.41,2.569315,0.61074
Ecuador,2030.0,7520.0,12400.0,0.97,1.23,2.66,1.08,1.07,3.148362,0.509224
Egypt,8270.0,30900.0,31200.0,3.18,5.31,4.63,12.46,5.86,1.79572,0.453711
El Salvador,1190.0,2660.0,2350.0,0.52,0.12,0.76,0.53,0.42,1.494483,0.282331
Equatorial Guinea,16.3,36.5,84.6,0.0,0.01,0.01,0.01,0.0,0.528973,0.49041
Eritrea,37.4,697.0,1890.0,0.03,0.0,0.06,0.06,0.02,1.264051,0.0
Estonia,1490.0,3800.0,44900.0,6.61,2.9,2.72,4.15,1.07,35.31285,3.580068
Ethiopia,1300.0,12900.0,32300.0,0.24,0.09,0.53,0.33,0.12,1.427473,2.265853
Fiji,216.0,276.0,570.0,0.21,0.34,0.29,0.06,0.05,1.842113,0.384301
Finland,7150.0,11700.0,48000.0,10.17,11.25,7.54,15.23,3.85,14.17232,0.7281
France and Monaco,67600.0,85900.0,472000.0,90.06,123.61,73.4,136.11,48.64,11.80231,0.545886
French Polynesia,13.5,71.1,67.1,0.04,0.07,0.06,0.0,0.0,1.162202,0.113569
Gabon,101.0,5090.0,18500.0,0.08,0.06,0.04,0.57,3.26,36.3938,1.960713
Gambia,47.3,149.0,509.0,0.0,0.03,0.01,0.03,0.0,1.354312,0.742188
Georgia,3100.0,3810.0,32500.0,10.14,4.17,5.06,9.95,7.95,8.082942,1.652747
