Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,3650.0,7040.0,16200.0,2.12,0.75,3.64,0.23,0.19,0.905995,0.545013
Albania,784.0,2780.0,4390.0,0.03,0.56,2.35,1.21,0.85,2.717041,0.284046
Algeria,5990.0,122000.0,70000.0,28.12,18.57,34.22,21.87,20.01,5.382692,0.413959
Angola,4060.0,24400.0,36000.0,2.23,4.15,7.1,2.61,8.69,2.66085,0.450259
Anguilla,0.48,4.72,26.0,0.0,0.0,0.02,0.0,0.0,2.236672,0.103327
Antigua and Barbuda,23.1,53.1,372.0,0.19,0.04,0.12,0.01,0.0,4.687803,0.254374
Argentina,49000.0,112000.0,199000.0,50.29,33.71,49.26,47.95,18.23,8.630448,0.704934
Armenia,722.0,1920.0,4830.0,0.95,1.83,1.29,0.6,0.41,2.595703,0.370036
Australia,46600.0,123000.0,429000.0,202.7,19.09,90.25,75.0,23.35,26.63771,0.641594
Austria,3840.0,10300.0,76300.0,16.99,9.15,21.8,18.87,6.64,10.69053,0.244816
Azerbaijan,2580.0,18100.0,28000.0,9.62,7.27,5.79,3.76,1.56,5.328847,0.336853
Bahamas,110.0,212.0,3740.0,0.92,0.17,0.58,0.05,0.01,11.07799,0.488717
Bahrain,151.0,5190.0,19800.0,18.36,0.22,2.96,4.02,3.41,19.6936,0.485176
Bangladesh,21600.0,61200.0,122000.0,25.14,10.18,8.57,9.4,8.85,1.327545,0.517584
Barbados,60.4,125.0,1350.0,1.86,0.09,0.24,0.03,0.1,5.46676,0.355276
Belarus,25800.0,19500.0,66800.0,30.21,7.45,11.31,7.95,7.06,11.83627,0.712724
Belgium,8750.0,16900.0,104000.0,19.71,23.93,25.63,23.52,12.4,11.76461,0.28722
Belize,135.0,254.0,943.0,0.13,0.02,0.08,0.01,0.0,4.046632,0.515075
Benin,1670.0,5310.0,4930.0,0.07,0.92,3.28,0.16,0.57,1.259365,0.691352
Bermuda,18.4,24.0,544.0,0.19,0.04,0.12,0.01,0.0,9.217444,0.165182
Bhutan,159.0,1360.0,848.0,0.13,0.03,0.17,0.64,0.59,3.199384,0.46966
Bolivia,5990.0,16500.0,22700.0,3.15,3.32,5.94,2.54,1.2,4.486887,0.800905
Bosnia and Herzegovina,1020.0,3950.0,24900.0,15.98,1.63,3.41,2.39,1.81,8.095,0.827216
Botswana,1630.0,4820.0,3970.0,1.08,0.18,2.03,0.6,0.19,5.083833,0.365722
Brazil,171000.0,459000.0,482000.0,36.63,37.77,183.77,131.53,76.01,5.600095,0.37402
Brunei,135.0,7540.0,5380.0,2.68,0.1,1.28,2.94,0.5,33.12713,0.446092
Bulgaria,2790.0,9030.0,54000.0,34.66,1.99,7.97,4.55,4.68,8.949028,0.574063
Burkina Faso,2250.0,6100.0,16000.0,0.43,0.23,0.9,0.3,0.29,1.511435,1.028117
Burundi,988.0,956.0,3780.0,0.05,0.03,0.11,0.04,0.04,0.633032,0.820392
Cambodia,4490.0,3140.0,25100.0,0.84,0.52,3.28,0.21,0.43,2.250137,0.846786
Cameroon,4180.0,10500.0,21600.0,0.95,0.4,2.8,0.72,2.33,1.771519,0.657059
Canada,35300.0,115000.0,556000.0,107.36,96.47,167.8,167.26,38.82,20.46561,0.494793
Cape Verde,92.2,92.1,229.0,0.09,0.05,0.19,0.06,0.0,0.814334,0.135765
Cayman Islands,12.0,35.4,344.0,0.15,0.03,0.09,0.01,0.0,6.925462,0.387463
Central African Republic,508.0,2820.0,6470.0,0.09,0.05,0.19,0.06,0.02,2.188263,2.401052
Chad,1180.0,4540.0,14400.0,0.07,0.04,0.15,0.05,0.16,1.639934,0.878443
Chile,7920.0,22600.0,80300.0,29.41,7.02,21.86,17.02,5.6,6.456923,0.317898
China,518000.0,1630000.0,9660000.0,4065.73,605.36,634.76,3160.86,1557.63,8.634322,0.855017
Colombia,18900.0,71600.0,70800.0,6.44,8.77,26.4,23.79,6.71,3.475327,0.302336
Comoros,54.2,99.9,311.0,0.04,0.02,0.07,0.03,0.0,0.657769,0.481976
Democratic Republic of the Congo,3190.0,3780.0,24000.0,0.05,0.03,2.13,0.14,1.13,0.463715,0.73703
Congo,524.0,4900.0,8530.0,0.3,0.11,1.65,0.04,2.79,3.091156,0.593052
Costa Rica,1570.0,3770.0,7500.0,0.63,0.43,4.64,1.06,0.69,2.792189,0.213508
Cote d'Ivoire,2380.0,6570.0,10800.0,2.68,0.67,1.63,1.06,1.26,0.946528,0.376356
Croatia,2760.0,4350.0,21500.0,4.46,3.25,5.71,4.53,2.94,6.629867,0.3249
Cuba,5810.0,13500.0,29500.0,14.73,3.62,1.22,10.2,1.16,4.293418,0.227769
Cyprus,324.0,1580.0,7700.0,3.65,0.63,2.16,0.56,0.7,8.531938,0.342208
Czechia,6280.0,12800.0,119000.0,62.34,12.96,16.47,17.57,8.64,13.10994,0.45991
Denmark,5490.0,9140.0,43600.0,17.95,5.18,12.73,6.18,1.91,10.43651,0.241334
Djibouti,248.0,852.0,1340.0,0.3,0.16,0.64,0.22,0.01,2.815778,1.041528
Dominica,18.3,51.5,157.0,0.04,0.01,0.02,0.0,0.0,3.166158,0.311734
Dominican Republic,2640.0,10400.0,22300.0,9.59,1.37,5.71,2.9,1.76,3.519385,0.309824
Ecuador,4860.0,38400.0,23900.0,6.92,6.05,13.59,6.3,5.63,4.423321,0.44576
Egypt,25300.0,58900.0,224000.0,66.71,22.79,46.76,46.41,36.56,3.584061,0.365234
El Salvador,1240.0,2850.0,6960.0,1.43,0.56,3.11,0.92,0.96,1.784094,0.240226
Equatorial Guinea,34.1,3050.0,6020.0,0.25,0.1,0.37,1.05,2.9,9.156102,0.329861
Eritrea,589.0,1280.0,3810.0,0.27,0.05,0.14,0.02,0.07,1.269896,0.840234
