Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,1990.0,2470.0,8450.0,0.65,1.2,0.57,0.08,0.64,1.113449,0.0
Albania,1160.0,3080.0,7770.0,1.01,2.2,1.01,2.73,0.79,3.948754,0.96305
Algeria,3680.0,72600.0,107000.0,10.25,5.6,12.54,18.9,21.55,7.89269,0.703826
Angola,2280.0,14300.0,54700.0,0.2,0.62,1.03,0.92,2.92,6.523349,1.515461
Anguilla,0.12,2.51,3.15,0.0,0.0,0.0,0.0,0.0,0.841844,0.050226
Antigua and Barbuda,15.0,48.3,190.0,0.07,0.07,0.02,0.0,0.0,3.676438,0.309358
Argentina,30900.0,128000.0,110000.0,19.67,20.21,28.69,27.9,13.89,8.742131,1.175096
Armenia,806.0,2020.0,20200.0,4.71,5.91,1.98,6.49,1.11,6.787554,1.986663
Australia,37400.0,114000.0,239000.0,104.23,10.76,56.24,50.27,15.78,24.39975,0.938264
Austria,5220.0,13500.0,59000.0,10.14,16.57,11.51,13.43,7.33,10.1844,0.355105
Azerbaijan,2800.0,21000.0,70200.0,13.99,7.48,4.56,40.94,3.98,13.87206,1.762038
Bahamas,40.7,133.0,1990.0,0.49,0.46,0.13,0.02,0.01,9.049476,0.38691
Bahrain,89.9,2030.0,12700.0,6.11,0.09,0.84,2.74,1.18,34.13401,0.896753
Bangladesh,11700.0,10400.0,101000.0,3.29,2.3,1.32,1.6,1.61,1.283558,1.028794
Barbados,57.5,127.0,959.0,0.28,0.27,0.07,0.01,0.1,4.455807,0.381903
Belarus,17600.0,20600.0,105000.0,45.72,15.52,11.48,20.18,11.62,14.28095,1.9863
Belgium,12400.0,18500.0,110000.0,19.56,30.76,17.91,33.04,8.32,14.15103,0.52469
Belize,82.6,129.0,379.0,0.06,0.06,0.02,0.0,0.0,3.48396,1.022295
Benin,773.0,568.0,2410.0,0.03,0.03,0.32,0.03,0.16,0.850986,0.520783
Bermuda,10.1,23.6,412.0,0.1,0.1,0.03,0.0,0.0,7.508752,0.14954
Bhutan,122.0,611.0,775.0,0.01,0.0,0.01,0.01,0.06,3.121656,1.914593
Bolivia,3070.0,4770.0,13100.0,0.49,0.69,1.74,1.24,0.52,3.310001,0.878404
Bosnia and Herzegovina,1100.0,4580.0,23200.0,11.52,3.7,2.83,4.45,0.72,6.516652,2.301528
Botswana,1410.0,1850.0,3310.0,0.76,0.08,0.38,0.51,0.01,5.350486,0.947681
Brazil,91000.0,218000.0,306000.0,16.89,22.42,77.52,57.96,43.82,4.444624,0.460124
Brunei,83.6,3040.0,3400.0,0.72,0.04,0.46,1.72,0.1,28.22909,0.264986
Bulgaria,8930.0,15900.0,92600.0,40.37,24.47,3.69,14.63,9.34,13.08617,1.629755
Burkina Faso,696.0,2610.0,6720.0,0.07,0.08,0.12,0.08,0.04,1.263403,1.612733
Burundi,359.0,675.0,1920.0,0.02,0.02,0.03,0.02,0.02,0.610657,0.581629
Cambodia,779.0,1490.0,13400.0,0.14,0.07,0.12,0.02,0.02,1.968077,3.160308
Cameroon,2920.0,5840.0,20300.0,0.04,0.39,1.65,0.21,7.75,2.807483,0.82245
Canada,34100.0,106000.0,421000.0,80.31,79.43,114.02,111.96,35.14,21.43177,0.733025
Cape Verde,29.4,32.7,78.9,0.01,0.01,0.01,0.01,0.0,0.44016,0.299239
Cayman Islands,3.04,16.0,96.4,0.03,0.03,0.01,0.0,0.0,5.70162,0.158209
Central African Republic,252.0,1220.0,2980.0,0.03,0.03,0.05,0.03,0.01,1.648387,1.846121
Chad,394.0,2180.0,6060.0,0.04,0.04,0.07,0.04,0.02,1.645625,1.57183
Chile,4360.0,15700.0,22700.0,2.92,2.52,6.35,8.44,2.19,3.455939,0.470098
China,252000.0,1110000.0,2030000.0,424.44,435.27,106.21,743.41,267.5,3.106035,2.780179
Colombia,15100.0,47000.0,57000.0,6.94,3.71,14.22,15.29,6.26,3.760535,0.55355
Comoros,38.0,25.8,177.0,0.01,0.01,0.01,0.01,0.0,0.658311,0.390381
Democratic Republic of the Congo,2200.0,3460.0,11100.0,0.14,1.52,0.55,0.8,0.46,0.545374,0.403307
Congo,304.0,2400.0,8080.0,0.0,0.08,0.56,0.04,0.22,4.928414,1.330886
Costa Rica,1510.0,4470.0,2290.0,0.04,0.07,1.31,0.64,0.22,2.953381,0.442702
