Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2670.0,1820.0,12800.0,0.06,0.58,0.23,0.07,0.53,1.557705,0.0
Albania,650.0,2090.0,4480.0,0.6,0.99,0.73,1.47,0.59,3.355742,0.960599
Algeria,2140.0,18900.0,46500.0,1.65,1.81,2.66,2.48,8.58,4.645362,0.742141
Angola,1720.0,8950.0,35200.0,0.14,0.12,1.03,0.33,1.94,6.772412,1.1523
Anguilla,0.11,2.7,2.17,0.0,0.0,0.0,0.0,0.0,0.776791,0.071783
Antigua and Barbuda,9.48,32.0,149.0,0.05,0.06,0.01,0.0,0.0,2.83605,0.508028
Argentina,26800.0,108000.0,91200.0,23.83,13.19,24.05,21.36,8.64,9.443864,1.25356
Armenia,516.0,1640.0,10900.0,2.06,2.86,1.25,4.13,0.61,5.176366,2.083564
Australia,36700.0,105000.0,161000.0,53.23,10.51,32.48,45.92,18.82,23.52988,1.155168
Austria,5350.0,11900.0,54100.0,8.13,14.83,8.81,14.9,7.32,9.483874,0.515609
Azerbaijan,1810.0,18500.0,35000.0,5.99,3.08,2.3,20.05,3.88,10.68519,1.917706
Bahamas,37.8,107.0,2770.0,0.54,0.58,0.07,0.01,0.43,17.19164,0.785879
Bahrain,23.9,977.0,2960.0,0.3,0.05,0.18,2.36,0.07,18.63925,0.525274
Bangladesh,8240.0,3350.0,106000.0,0.67,0.87,0.25,1.08,0.39,1.808544,1.376013
Barbados,60.2,124.0,494.0,0.13,0.14,0.02,0.0,0.01,2.836312,0.231203
Belarus,13900.0,15200.0,66000.0,24.95,10.1,9.39,12.43,7.29,10.59226,2.439907
Belgium,9180.0,18600.0,140000.0,27.05,35.88,11.41,50.74,15.27,17.45758,1.029845
Belize,71.3,94.1,222.0,0.03,0.03,0.0,0.0,0.0,3.168283,1.131168
Benin,483.0,320.0,1560.0,0.0,0.04,0.25,0.01,0.02,0.812699,0.503559
Bermuda,5.1,21.5,263.0,0.07,0.08,0.01,0.0,0.0,5.540382,0.176361
Bhutan,71.8,685.0,520.0,0.0,0.0,0.0,0.0,0.03,4.282493,3.610724
Bolivia,1840.0,3070.0,9120.0,0.22,0.37,0.98,0.61,0.71,3.115538,0.809851
Bosnia and Herzegovina,1050.0,3090.0,15700.0,3.02,2.58,1.84,7.8,0.5,5.285407,2.851435
Botswana,1000.0,114.0,2220.0,0.01,0.09,0.03,0.14,0.01,4.79726,3.944133
Brazil,52300.0,110000.0,186000.0,7.46,7.89,42.34,29.79,22.66,3.65209,0.685869
Brunei,110.0,9120.0,36100.0,0.23,0.02,0.08,0.07,8.72,350.0306,3.823394
Bulgaria,7590.0,11700.0,70600.0,21.21,25.81,5.17,12.09,6.2,10.56181,3.218837
Burkina Faso,446.0,1670.0,4690.0,0.0,0.09,0.03,0.09,0.03,1.210946,2.002567
Burundi,233.0,640.0,1660.0,0.0,0.02,0.01,0.01,0.01,0.732333,1.013515
Cambodia,389.0,1910.0,21600.0,0.02,0.09,0.06,0.02,0.04,3.419331,2.805713
Cameroon,1710.0,900.0,4570.0,0.03,0.06,0.56,0.08,0.17,1.099768,0.714961
