Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2780.0,3690.0,12500.0,0.27,0.41,0.3,0.03,0.6,1.434308,0.0
Albania,1030.0,2660.0,6500.0,0.8,2.21,1.12,1.49,0.85,3.961856,0.991329
Algeria,2530.0,56600.0,149000.0,3.3,4.46,5.19,8.57,28.83,11.44784,1.145463
Angola,1960.0,14200.0,53800.0,0.35,0.33,1.33,0.57,2.95,8.351998,1.524668
Anguilla,0.13,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.869374,0.072256
Antigua and Barbuda,12.3,37.7,201.0,0.09,0.06,0.01,0.0,0.0,3.420787,0.550322
Argentina,31100.0,139000.0,107000.0,23.55,18.27,27.93,22.6,14.69,10.13605,1.318886
Armenia,695.0,1940.0,16900.0,4.14,4.27,1.96,5.84,0.74,6.533539,2.049273
Australia,37000.0,107000.0,206000.0,75.54,11.59,47.21,56.75,15.32,24.51382,1.088636
Austria,6140.0,12800.0,61800.0,10.05,14.96,11.76,16.89,8.11,10.5827,0.420128
Azerbaijan,2380.0,30500.0,56900.0,10.99,4.79,3.82,31.14,6.52,15.06434,2.046199
Bahamas,48.6,132.0,3530.0,0.87,0.61,0.11,0.01,0.18,18.4053,1.136855
Bahrain,51.8,1530.0,6960.0,1.33,0.06,0.67,4.63,0.28,26.39903,0.545566
Bangladesh,10300.0,6180.0,105000.0,1.25,1.48,0.67,1.8,0.83,1.578624,1.36398
Barbados,56.4,120.0,690.0,0.2,0.15,0.03,0.01,0.01,3.466778,0.299679
Belarus,17000.0,18600.0,96400.0,40.49,13.83,11.12,19.67,10.35,13.88624,2.22616
Belgium,11400.0,18500.0,140000.0,32.56,36.03,15.38,44.79,10.88,17.2346,0.743083
Belize,75.7,127.0,315.0,0.04,0.03,0.01,0.0,0.0,3.726392,1.132943
Benin,628.0,465.0,2000.0,0.01,0.09,0.27,0.02,0.08,0.877758,0.508219
Bermuda,9.19,23.0,375.0,0.12,0.08,0.01,0.0,0.0,7.247834,0.08964
Bhutan,87.2,667.0,598.0,0.0,0.0,0.0,0.0,0.05,3.509471,2.827849
Bolivia,2890.0,5600.0,15500.0,0.38,0.64,2.16,0.89,1.23,4.492698,0.907126
Bosnia and Herzegovina,1120.0,3570.0,17200.0,5.68,2.95,2.4,5.46,0.71,5.334676,1.986338
Botswana,1650.0,887.0,3720.0,0.39,0.1,0.1,0.38,0.01,6.747147,2.046405
Brazil,75300.0,196000.0,239000.0,9.05,14.16,74.31,62.6,36.47,4.417561,0.490198
Brunei,101.0,8070.0,28500.0,0.23,0.02,0.17,1.45,6.2,202.3625,1.53673
Bulgaria,8930.0,15400.0,87300.0,35.63,27.0,4.02,12.35,8.19,12.63747,2.246793
Burkina Faso,564.0,1760.0,4880.0,0.03,0.08,0.07,0.07,0.03,1.102452,1.623751
Burundi,273.0,720.0,1890.0,0.0,0.01,0.01,0.01,0.01,0.736215,0.701183
Cambodia,572.0,775.0,8930.0,0.07,0.07,0.08,0.01,0.02,1.47773,1.953236
Cameroon,2250.0,1790.0,5900.0,0.06,0.17,1.03,0.16,0.36,1.224202,0.620121
Canada,34000.0,87800.0,435000.0,64.44,95.45,116.35,126.86,31.34,23.17062,0.919413
Cape Verde,23.2,89.1,73.7,0.02,0.06,0.06,0.06,0.0,0.66727,0.656572
Cayman Islands,3.31,16.2,62.8,0.01,0.01,0.0,0.0,0.0,5.612093,0.140321
Central African Republic,196.0,695.0,1840.0,0.01,0.03,0.02,0.02,0.01,1.264268,1.271996
Chad,309.0,2290.0,6190.0,0.02,0.05,0.05,0.05,0.02,2.028081,1.21139
Chile,3850.0,34000.0,26300.0,3.13,2.63,5.37,8.25,5.03,5.871343,0.857006
China,200000.0,1070000.0,1630000.0,269.58,342.29,80.63,679.29,183.6,3.00853,5.059154
Colombia,14300.0,40000.0,59800.0,4.24,3.5,11.02,14.26,6.15,4.302375,0.689972
Comoros,44.4,22.9,178.0,0.0,0.01,0.01,0.01,0.0,0.856002,0.574286
Democratic Republic of the Congo,1840.0,3280.0,8880.0,0.12,1.35,0.52,0.87,0.42,0.56115,0.418533
Congo,263.0,1540.0,4120.0,0.08,0.06,0.47,0.07,0.14,3.408226,1.141743
Costa Rica,1320.0,3990.0,2770.0,0.43,0.11,1.31,0.6,0.31,3.568325,0.48719
Cote d'Ivoire,1010.0,4500.0,3920.0,1.26,0.46,1.41,0.86,0.51,1.242801,0.315281
Croatia,3690.0,4130.0,25200.0,2.98,2.92,3.44,10.54,5.31,7.242744,0.214691
