Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2710.0,2670.0,12000.0,0.36,0.52,0.48,0.09,0.59,1.335121,0.0
Albania,1090.0,2840.0,6730.0,0.79,1.81,0.82,2.42,0.86,3.897511,0.944368
Algeria,2860.0,53200.0,91000.0,5.31,5.84,6.79,14.18,17.71,7.373516,0.727432
Angola,2100.0,13300.0,50700.0,0.4,0.66,0.87,0.59,2.68,7.145705,1.535855
Anguilla,0.22,2.92,6.64,0.0,0.0,0.01,0.0,0.0,1.470848,0.099452
Antigua and Barbuda,14.3,46.1,195.0,0.06,0.06,0.01,0.0,0.0,3.501759,0.402498
Argentina,30300.0,129000.0,107000.0,20.77,19.4,31.33,22.49,12.63,9.315775,1.170695
Armenia,735.0,1950.0,19100.0,4.79,5.19,2.11,6.29,0.75,6.92668,2.131935
Australia,35900.0,105000.0,223000.0,92.93,10.48,50.43,53.52,15.95,24.56848,1.017099
Austria,6030.0,13000.0,59100.0,10.45,17.41,10.86,12.82,7.5,10.27388,0.383268
Azerbaijan,2480.0,20800.0,61800.0,12.77,6.25,4.12,35.1,4.08,13.62674,1.808946
Bahamas,50.2,149.0,3180.0,0.78,0.7,0.17,0.02,0.02,15.6919,0.710071
Bahrain,61.9,1750.0,8060.0,2.17,0.07,0.71,4.81,0.3,26.40076,0.721442
Bangladesh,9770.0,7510.0,101000.0,1.46,1.94,0.83,2.14,0.98,1.414436,1.188919
Barbados,58.5,127.0,653.0,0.19,0.18,0.04,0.01,0.01,3.310524,0.275008
Belarus,17000.0,19100.0,106000.0,47.19,14.97,11.45,21.14,10.6,14.66915,2.235664
Belgium,12100.0,18600.0,126000.0,33.12,30.23,15.44,36.28,11.0,15.86199,0.611607
Belize,75.1,135.0,258.0,0.04,0.03,0.01,0.0,0.0,3.172119,0.873941
Benin,690.0,457.0,2220.0,0.01,0.07,0.18,0.03,0.16,0.881496,0.497338
Bermuda,9.08,25.3,382.0,0.09,0.08,0.02,0.0,0.0,7.254168,0.108343
Bhutan,107.0,610.0,674.0,0.01,0.01,0.01,0.01,0.05,3.307003,2.616137
Bolivia,3070.0,5270.0,13000.0,0.45,0.73,2.02,1.33,0.62,3.742743,0.812132
Bosnia and Herzegovina,1120.0,3880.0,19100.0,7.97,2.59,2.21,5.64,0.67,5.70083,2.000536
Botswana,1700.0,1470.0,3860.0,0.63,0.05,0.25,0.45,0.01,6.771841,1.615131
Brazil,83800.0,194000.0,272000.0,10.57,17.56,73.12,55.05,38.36,4.440486,0.434213
Brunei,86.5,3650.0,7600.0,0.44,0.03,0.31,1.81,1.06,56.67368,0.385465
Bulgaria,9900.0,16000.0,89500.0,35.43,27.7,3.96,13.96,8.36,12.96331,1.927356
Burkina Faso,662.0,1960.0,5460.0,0.05,0.07,0.09,0.07,0.03,1.157148,1.511969
Burundi,324.0,599.0,1680.0,0.02,0.02,0.03,0.02,0.01,0.616239,0.660473
Cambodia,658.0,898.0,10900.0,0.08,0.07,0.11,0.02,0.02,1.847296,2.817393
Cameroon,2640.0,2220.0,6990.0,0.08,0.27,1.19,0.21,0.46,1.334033,0.524148
Canada,36800.0,91900.0,435000.0,72.91,83.68,128.31,117.85,32.27,22.7533,0.83979
Cape Verde,28.1,115.0,78.8,0.04,0.06,0.07,0.06,0.0,0.761577,0.648475
Cayman Islands,3.76,18.9,88.2,0.02,0.02,0.01,0.0,0.0,6.605617,0.15551
Central African Republic,221.0,976.0,2440.0,0.02,0.04,0.04,0.04,0.01,1.549072,1.760022
Chad,378.0,2440.0,6640.0,0.03,0.05,0.06,0.05,0.02,2.050227,2.125743
Chile,4070.0,22500.0,25400.0,3.77,2.49,6.62,8.42,3.26,4.545457,0.550314
China,222000.0,1050000.0,1610000.0,309.51,343.76,79.85,623.51,189.12,2.857845,3.92038
Colombia,14400.0,41500.0,57800.0,5.11,3.53,11.94,14.35,5.96,4.008747,0.590564
Comoros,42.9,26.2,182.0,0.0,0.01,0.01,0.01,0.0,0.79121,0.489339
Democratic Republic of the Congo,1940.0,3840.0,9540.0,0.14,1.96,0.59,0.7,0.45,0.56666,0.395698
Congo,269.0,2060.0,6210.0,0.08,0.05,0.54,0.05,0.19,4.508131,1.188236
Costa Rica,1420.0,4430.0,2310.0,0.05,0.08,1.18,0.71,0.29,3.326637,0.443019
Cote d'Ivoire,1060.0,3660.0,4200.0,0.15,0.55,1.51,0.78,0.67,1.029994,0.253759
Croatia,3630.0,4040.0,23700.0,3.36,1.37,3.06,10.83,5.14,6.80062,0.186583
Cuba,9040.0,14600.0,33500.0,8.46,4.27,5.55,12.11,3.0,5.779878,0.491402
Cyprus,205.0,892.0,3150.0,1.04,0.13,0.62,0.75,0.62,6.156837,0.526692
Czechia,9340.0,20100.0,191000.0,54.09,35.98,7.21,71.31,22.17,21.24509,1.229101
Denmark,7770.0,9950.0,55600.0,20.0,16.45,8.72,7.71,2.75,14.29687,0.519613
Djibouti,146.0,409.0,683.0,0.14,0.21,0.27,0.22,0.0,3.303726,0.663017
Dominica,15.0,35.0,50.3,0.01,0.01,0.0,0.0,0.0,1.331006,0.322275
Dominican Republic,1360.0,6660.0,6570.0,2.88,0.39,1.51,1.22,0.57,2.453941,0.510085
Ecuador,2690.0,14100.0,15100.0,2.71,1.96,4.58,2.55,1.63,3.895268,0.498782
Egypt,9700.0,21300.0,50800.0,9.46,9.62,9.1,18.46,4.42,1.807129,0.390896
El Salvador,1230.0,2840.0,2060.0,0.07,0.13,0.81,0.5,0.56,1.316775,0.248778
Equatorial Guinea,19.2,48.2,94.0,0.01,0.01,0.01,0.01,0.0,0.597748,0.542442
Eritrea,42.9,717.0,2010.0,0.03,0.0,0.06,0.06,0.02,1.129214,0.0
Estonia,1560.0,3810.0,45500.0,6.65,2.29,2.66,4.83,1.44,34.29116,2.912512
Ethiopia,1620.0,13100.0,34000.0,0.21,0.14,0.67,0.47,0.12,1.347434,1.831253
Fiji,314.0,727.0,663.0,0.32,0.28,0.42,0.14,0.06,2.617623,0.464788
Finland,6670.0,13000.0,49100.0,11.31,9.96,8.44,15.83,3.51,14.28583,0.649083
France and Monaco,67100.0,84700.0,455000.0,87.27,115.04,89.94,114.9,47.49,11.17871,0.437753
French Polynesia,22.2,92.1,216.0,0.11,0.09,0.14,0.03,0.01,2.111545,0.179789
Gabon,135.0,6470.0,20300.0,0.12,0.06,0.45,0.99,3.65,36.05301,1.621989
Gambia,85.9,165.0,572.0,0.02,0.02,0.03,0.02,0.0,1.315595,0.784589
Georgia,3170.0,3900.0,37200.0,13.51,5.07,4.7,12.06,3.79,8.757253,1.490189
Germany,74900.0,165000.0,1100000.0,407.76,240.2,124.38,243.49,86.61,17.19052,0.636421
Ghana,1120.0,3240.0,4740.0,0.03,0.62,1.48,0.58,0.53,0.818089,0.452609
Greece,6240.0,16900.0,54200.0,19.11,5.5,9.66,10.38,9.56,7.947847,0.385456
Greenland,2.66,26.8,147.0,0.0,0.0,0.0,0.0,0.0,3.481921,0.203736
Grenada,8.77,33.4,70.6,0.01,0.01,0.0,0.0,0.0,1.245041,0.234908
Guatemala,1680.0,5030.0,4030.0,1.23,0.46,1.26,0.69,0.37,1.436869,0.240582
Guinea,908.0,1030.0,5380.0,0.1,0.14,0.18,0.15,0.1,1.594885,1.402156
Guinea-Bissau,78.6,220.0,886.0,0.01,0.01,0.01,0.01,0.0,1.454462,0.901007
Guyana,1290.0,1570.0,2090.0,0.3,0.26,0.07,0.01,0.01,6.340818,1.73731
Haiti,1070.0,757.0,4330.0,0.1,0.04,0.31,0.08,0.24,1.057257,0.395436
Honduras,1710.0,1780.0,3800.0,0.19,0.29,0.63,0.5,0.17,1.921578,0.588757
Hong Kong,178.0,1420.0,16900.0,9.74,0.75,2.95,2.36,0.79,3.687274,0.221795
Hungary,13600.0,15100.0,90500.0,32.73,20.74,8.16,20.07,9.14,11.10093,0.85974
Iceland,425.0,483.0,2350.0,0.04,0.71,0.57,0.43,0.61,14.10326,0.576743
India,106000.0,547000.0,361000.0,84.88,53.43,55.54,94.33,44.95,1.422769,1.068789
Indonesia,47900.0,95400.0,195000.0,7.86,19.45,19.64,26.15,20.73,2.241073,0.71134
Iran,14700.0,96600.0,114000.0,14.95,31.57,21.48,22.51,24.32,5.591316,0.431991
Iraq,3640.0,41600.0,35900.0,4.85,3.66,11.17,5.57,10.74,5.779112,0.371368
Ireland,7030.0,13900.0,28100.0,7.53,7.71,4.56,5.89,2.44,14.137,0.806285
"Israel and Palestine, State of",1600.0,2900.0,21300.0,9.67,2.1,4.09,3.79,1.6,6.750442,0.380357
Italy,27600.0,54300.0,390000.0,96.51,74.91,71.29,103.22,44.06,8.34538,0.336495
Jamaica,375.0,1150.0,6720.0,1.25,0.37,0.92,3.98,0.2,3.75364,0.606742
Japan,27100.0,89000.0,992000.0,298.57,128.84,154.0,265.15,144.17,9.330427,0.452325
Jordan,412.0,951.0,5780.0,1.52,0.99,1.66,1.08,0.52,2.901245,0.388477
Kazakhstan,18600.0,66100.0,237000.0,59.36,23.26,11.5,129.06,13.56,21.32577,1.874832
Kenya,5190.0,6060.0,18000.0,0.34,0.84,1.82,1.29,0.89,1.728062,0.774503
Kiribati,3.47,12.0,46.5,0.01,0.01,0.01,0.0,0.0,1.029384,0.571809
North Korea,6000.0,26100.0,121000.0,14.86,19.27,5.32,71.89,9.79,8.660713,0.0
South Korea,6090.0,35900.0,147000.0,27.43,50.74,11.13,42.08,16.28,4.908601,0.854536
Kuwait,425.0,14600.0,30700.0,8.98,4.22,6.95,6.64,3.99,31.71868,0.446674
Kyrgyzstan,2150.0,6300.0,23100.0,1.58,4.78,3.31,12.57,0.85,8.562839,2.679488
Laos,883.0,1310.0,6120.0,0.04,0.04,0.06,0.01,0.01,2.500076,1.948177
Latvia,2760.0,4570.0,20600.0,7.71,3.44,2.6,5.12,1.34,11.05328,1.256072
Lebanon,482.0,1080.0,7620.0,2.68,1.4,2.01,0.25,1.28,3.510217,0.277812
Lesotho,155.0,510.0,1300.0,0.02,0.02,0.03,0.02,0.0,1.459367,1.380292
Liberia,213.0,937.0,884.0,0.21,0.31,0.39,0.32,0.06,1.038892,0.0
Libya,914.0,25100.0,27500.0,6.93,0.71,5.48,5.05,7.4,15.97662,0.376557
Lithuania,5810.0,6820.0,32800.0,8.08,6.98,3.6,11.9,2.35,13.15193,1.0029
Luxembourg,225.0,569.0,11200.0,1.5,1.37,1.43,6.24,0.71,33.01223,0.869596
Macao,4.97,72.8,379.0,0.15,0.13,0.2,0.04,0.01,1.87655,0.0
Macedonia,676.0,1740.0,10000.0,4.15,0.22,0.7,1.37,3.58,6.402725,0.397971
Madagascar,888.0,5790.0,16700.0,0.13,0.18,0.22,0.2,0.05,2.611543,1.244001
Malawi,656.0,1060.0,2610.0,0.11,0.1,0.11,0.13,0.06,0.683612,0.7249
Malaysia,6510.0,20500.0,30000.0,7.73,1.4,6.86,9.38,5.89,4.035637,0.492278
Maldives,3.78,19.3,26.8,0.0,0.0,0.01,0.0,0.0,0.304257,0.115303
Mali,553.0,3610.0,9380.0,0.06,0.1,0.12,0.1,0.05,1.872398,1.993564
Malta,37.4,74.3,1190.0,0.77,0.08,0.27,0.0,0.06,3.85772,0.64392
Mauritania,361.0,1280.0,3650.0,0.08,0.11,0.13,0.12,0.04,3.348125,0.01584
Mauritius,123.0,280.0,432.0,0.19,0.06,0.24,0.09,0.03,0.854597,0.176485
Mexico,31900.0,150000.0,260000.0,36.78,24.37,75.47,82.9,39.89,6.230659,0.470878
Moldova,1550.0,3620.0,26700.0,0.0,0.0,0.0,0.0,0.96,7.862859,1.735132
Mongolia,2920.0,7980.0,8080.0,0.53,0.47,0.71,6.93,0.1,10.94847,2.9271
Morocco,4090.0,10500.0,16600.0,4.55,2.23,2.56,4.52,1.9,1.520212,0.445633
Mozambique,2110.0,2230.0,5800.0,0.46,0.63,0.26,0.68,0.2,0.836083,2.032022
Myanmar,5570.0,7540.0,56700.0,0.78,0.06,1.88,2.29,0.41,2.043195,2.105667
Namibia,757.0,1480.0,3310.0,0.26,0.38,0.48,0.39,0.02,5.369203,0.148235
Nepal,543.0,2680.0,23300.0,0.01,0.12,0.15,0.16,0.09,1.740324,1.791929
Netherlands,17300.0,36900.0,157000.0,39.94,42.17,22.53,38.61,11.8,14.87972,0.530452
New Caledonia,89.0,221.0,1300.0,0.47,0.41,0.62,0.39,0.03,10.95475,1.029317
New Zealand,9950.0,17900.0,34100.0,1.72,2.59,6.66,5.28,1.66,19.57901,0.934699
Nicaragua,2450.0,2090.0,4530.0,0.47,0.22,0.89,0.31,0.18,2.713104,0.633081
Niger,651.0,3440.0,9480.0,0.1,0.1,0.12,0.13,0.04,2.200471,1.910947
Nigeria,14300.0,73600.0,227000.0,4.67,4.24,14.0,5.43,35.62,4.16987,0.240332
Norway,7980.0,9720.0,36600.0,0.13,4.81,8.16,12.37,10.7,13.2364,0.373923
Oman,314.0,14400.0,50200.0,1.2,0.59,0.69,0.04,3.6,53.17746,2.145977
Pakistan,17800.0,32300.0,90100.0,4.78,5.34,7.46,8.68,12.04,1.737218,0.737801
Palau,0.1,1.07,1.0,0.43,0.68,0.72,0.17,0.01,0.174721,0.0
Panama,873.0,3170.0,2780.0,0.59,0.15,1.02,0.76,0.26,3.368161,0.380335
Papua New Guinea,390.0,1510.0,2510.0,0.55,0.62,0.74,0.14,0.03,1.296921,0.786655
Paraguay,1510.0,3260.0,10900.0,0.07,0.07,1.06,0.11,0.2,4.791353,0.802782
Peru,4850.0,18200.0,23700.0,2.54,4.21,6.91,7.59,2.42,2.626395,0.38905
Philippines,6730.0,35200.0,52400.0,8.56,3.55,10.13,9.4,3.77,1.936465,0.435562
Poland,37300.0,123000.0,400000.0,213.46,80.75,26.08,65.49,32.79,15.62707,1.540358
Portugal,4330.0,10100.0,29800.0,6.39,2.57,7.0,8.91,5.11,4.485359,0.293124
Puerto Rico,256.0,977.0,1990.0,0.42,0.31,0.02,0.01,0.65,0.99923,0.048683
Qatar,105.0,11900.0,11900.0,3.18,0.01,1.19,4.09,2.22,96.40291,0.799811
Romania,22800.0,37800.0,202000.0,52.67,33.12,4.48,88.41,23.48,11.56688,1.143257
Russia,129000.0,474000.0,1970000.0,721.81,357.07,180.02,345.67,297.75,18.52005,1.089388
Rwanda,462.0,657.0,1900.0,0.04,0.06,0.07,0.06,0.02,0.56826,0.608006
Saint Kitts and Nevis,10.2,26.2,73.6,0.01,0.01,0.0,0.0,0.0,2.558691,0.3226
Saint Lucia,19.8,46.0,118.0,0.01,0.01,0.0,0.0,0.0,1.535735,0.337214
Saint Vincent and the Grenadines,27.7,37.1,72.8,0.01,0.01,0.0,0.0,0.0,1.357379,0.343646
Samoa,25.3,163.0,101.0,0.02,0.02,0.03,0.01,0.0,1.848132,0.544835
Sao Tome and Principe,4.54,17.5,22.6,0.0,0.01,0.01,0.01,0.0,0.460989,0.176271
Saudi Arabia,3160.0,269000.0,174000.0,28.82,1.5,25.49,57.17,61.03,43.05189,0.553468
Senegal,1400.0,2240.0,4660.0,0.63,0.11,0.68,0.58,0.24,1.443789,0.770397
Serbia and Montenegro,4620.0,12500.0,47200.0,28.96,1.69,4.58,7.8,4.23,6.720712,0.359819
Seychelles,16.6,27.4,93.3,0.02,0.04,0.04,0.04,0.0,2.039376,0.183565
Sierra Leone,410.0,607.0,2630.0,0.09,0.13,0.16,0.14,0.02,1.058251,0.718318
Singapore,586.0,1180.0,15000.0,5.4,0.3,3.05,4.79,1.48,6.811707,0.306656
Slovakia,4350.0,6800.0,60800.0,15.63,13.93,4.25,20.62,6.36,14.28897,1.108075
Slovenia,1200.0,3450.0,13500.0,3.25,0.69,2.43,2.78,3.99,9.781344,0.299152
Solomon Islands,107.0,142.0,356.0,0.04,0.04,0.06,0.01,0.0,2.537217,1.203397
Somalia,789.0,5010.0,16600.0,0.15,0.23,0.28,0.23,0.03,3.39165,447.0323
South Africa,18000.0,49700.0,245000.0,105.88,11.78,26.55,75.25,36.2,10.22585,0.998951
Spain and Andorra,20800.0,31500.0,219000.0,70.99,19.1,42.56,57.59,29.08,7.138149,0.373504
Sri Lanka,1500.0,4340.0,14200.0,0.32,0.55,2.08,0.81,0.54,1.312472,0.456268
Sudan and South Sudan,3850.0,13000.0,35300.0,0.24,0.13,2.25,0.95,0.21,2.624369,1.462035
Suriname,170.0,993.0,1740.0,0.34,0.38,0.07,0.01,0.11,7.995073,0.590397
Swaziland,514.0,523.0,1290.0,0.21,0.09,0.07,0.19,0.0,3.74906,0.855177
Sweden,7160.0,13400.0,72000.0,6.58,25.83,16.38,17.41,5.78,11.11489,0.450755
Switzerland and Liechtenstein,2670.0,6380.0,40900.0,0.6,16.16,10.62,9.55,4.0,7.914405,0.191656
Syria,3110.0,8260.0,16100.0,2.19,1.98,3.77,5.92,2.43,2.969166,1.368211
Taiwan,3040.0,12200.0,75100.0,19.87,7.3,8.58,29.63,8.9,5.014576,0.398759
Tajikistan,1090.0,4020.0,11000.0,0.5,9.04,0.54,0.0,0.91,4.00291,1.084042
