Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2880.0,2670.0,12000.0,0.23,0.03,0.13,0.06,0.21,0.761899,0.692232
Albania,860.0,3180.0,4260.0,0.17,1.04,1.92,0.69,0.41,2.668861,0.437136
Algeria,4460.0,93500.0,77100.0,18.78,10.68,21.76,20.76,21.02,5.402415,0.47151
Angola,3170.0,17400.0,34300.0,1.03,1.26,2.75,2.03,10.38,3.015538,0.931771
Anguilla,0.25,3.26,14.1,0.0,0.0,0.01,0.0,0.0,1.465923,0.073464
Antigua and Barbuda,20.1,49.5,298.0,0.12,0.05,0.08,0.02,0.0,4.212205,0.232218
Argentina,45700.0,129000.0,144000.0,25.49,26.97,34.98,43.38,15.13,8.301649,1.063855
Armenia,419.0,1800.0,3570.0,0.88,0.82,0.59,0.99,0.29,1.916734,0.455976
Australia,45900.0,123000.0,391000.0,187.25,17.45,76.41,71.69,19.69,28.43664,0.760174
Austria,4460.0,11100.0,79800.0,17.36,14.11,23.51,17.55,6.76,11.6642,0.296875
Azerbaijan,2220.0,10600.0,29000.0,14.25,6.01,3.15,4.42,1.14,4.997974,0.862122
Bahamas,76.3,180.0,2800.0,0.89,0.36,0.57,0.12,0.01,9.672872,0.38143
Bahrain,137.0,3220.0,18000.0,13.01,0.21,1.95,2.74,2.0,27.36653,0.629917
Bangladesh,19500.0,35200.0,104000.0,11.37,6.78,3.93,5.71,6.73,1.138016,0.642784
Barbados,55.6,116.0,1210.0,1.8,0.15,0.22,0.05,0.13,5.072859,0.35287
Belarus,8630.0,15400.0,57500.0,31.6,6.92,6.83,6.03,5.84,8.365754,0.948012
Belgium,7850.0,16900.0,125000.0,25.16,30.76,26.01,30.51,11.05,14.40393,0.382846
