Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2630.0,2800.0,11300.0,0.48,0.94,0.53,0.06,0.61,1.352035,0.0
Albania,1120.0,2950.0,7450.0,0.93,2.01,0.93,2.79,0.76,4.053394,0.938309
Algeria,3400.0,57500.0,70000.0,7.86,7.04,7.6,19.32,13.42,6.162594,0.590825
Angola,2170.0,13300.0,52100.0,0.46,0.5,0.78,0.58,2.69,6.796386,1.642271
Anguilla,0.19,2.5,6.09,0.0,0.0,0.01,0.0,0.0,1.343011,0.085005
Antigua and Barbuda,14.4,46.9,162.0,0.05,0.04,0.01,0.0,0.0,3.114858,0.343854
Argentina,30300.0,130000.0,107000.0,20.71,20.14,31.59,22.31,12.11,9.064659,1.190257
Armenia,773.0,1970.0,19700.0,4.94,5.42,1.98,6.32,1.08,6.938795,2.068442
Australia,34900.0,110000.0,218000.0,93.88,10.3,51.03,46.54,14.37,23.75847,0.97349
Austria,5690.0,13200.0,56900.0,9.35,16.31,11.15,12.58,7.55,9.968442,0.36519
Azerbaijan,2620.0,21100.0,65000.0,13.6,6.7,4.15,36.92,4.21,13.7488,1.776502
Bahamas,41.3,143.0,2040.0,0.48,0.4,0.14,0.01,0.02,9.885142,0.452823
Bahrain,69.6,1700.0,8830.0,2.78,0.07,0.85,4.76,1.3,26.71422,0.708317
Bangladesh,10600.0,7750.0,95700.0,1.8,1.8,1.1,1.73,1.09,1.290762,1.07764
Barbados,56.8,125.0,673.0,0.19,0.17,0.05,0.01,0.01,3.35666,0.300509
Belarus,17700.0,19700.0,106000.0,47.5,15.05,11.14,20.63,10.99,14.58388,2.124749
Belgium,12000.0,18500.0,109000.0,26.75,25.91,15.99,31.29,8.71,14.04925,0.542769
Belize,78.1,133.0,246.0,0.04,0.03,0.01,0.0,0.0,2.93516,0.921137
Benin,773.0,523.0,2370.0,0.06,0.04,0.23,0.03,0.16,0.906496,0.522467
Bermuda,10.7,29.0,435.0,0.09,0.08,0.03,0.0,0.0,8.162411,0.134887
Bhutan,113.0,741.0,715.0,0.01,0.01,0.01,0.01,0.05,3.551084,2.401114
Bolivia,3360.0,5650.0,14300.0,0.42,0.8,1.76,1.96,0.6,3.90385,0.920718
Bosnia and Herzegovina,1140.0,4490.0,22400.0,9.63,5.56,2.12,4.38,0.72,6.508269,2.338796
Botswana,1610.0,1510.0,3690.0,0.63,0.05,0.3,0.43,0.01,6.107693,1.248449
Brazil,84000.0,183000.0,285000.0,8.68,19.97,68.69,50.98,34.47,4.243036,0.453313
Brunei,91.9,4590.0,10300.0,0.63,0.04,0.41,1.83,1.68,70.45901,0.550516
Bulgaria,9650.0,16200.0,90600.0,35.65,27.53,3.96,14.12,9.18,13.0072,1.772554
Burkina Faso,666.0,2120.0,5750.0,0.05,0.08,0.09,0.05,0.04,1.162958,1.534034
Burundi,344.0,616.0,1750.0,0.02,0.03,0.03,0.02,0.02,0.609692,0.619582
Cambodia,685.0,1200.0,13300.0,0.11,0.11,0.12,0.01,0.02,2.11562,3.490969
Cameroon,2440.0,4700.0,15500.0,0.07,0.28,1.51,0.18,5.66,2.402364,0.795378
Canada,37000.0,91900.0,411000.0,85.32,84.13,108.61,100.96,31.76,21.34774,0.802817
Cape Verde,24.3,48.3,71.9,0.02,0.03,0.03,0.02,0.0,0.476571,0.378694
Cayman Islands,5.07,24.2,89.3,0.02,0.02,0.01,0.0,0.0,6.624988,0.126224
Central African Republic,231.0,1160.0,2830.0,0.03,0.04,0.04,0.03,0.01,1.690536,1.875364
Chad,379.0,2480.0,6750.0,0.03,0.06,0.06,0.04,0.02,1.990471,2.297775
Chile,4110.0,18700.0,22000.0,2.91,2.26,6.27,7.58,2.5,3.8007,0.516994
China,240000.0,1070000.0,1760000.0,334.54,373.76,89.08,687.6,216.44,2.965162,3.645385
Colombia,14600.0,44200.0,58300.0,5.98,3.68,13.09,14.61,6.15,3.942487,0.589098
Comoros,41.3,23.4,178.0,0.01,0.01,0.01,0.01,0.0,0.722769,0.430984
Democratic Republic of the Congo,2040.0,4040.0,10000.0,0.13,2.21,0.59,0.65,0.46,0.566248,0.413317
Congo,290.0,2450.0,7690.0,0.0,0.07,0.66,0.07,0.22,5.188824,1.381133
Costa Rica,1540.0,4550.0,2000.0,0.06,0.06,1.09,0.52,0.26,3.120849,0.484683
Cote d'Ivoire,1090.0,4100.0,4550.0,1.0,0.45,1.27,1.02,0.36,1.03247,0.267187
Croatia,3610.0,4020.0,26000.0,5.55,2.58,2.8,11.41,3.71,7.211189,0.20106
Cuba,7960.0,14700.0,35900.0,8.73,4.37,5.34,14.77,2.61,5.877166,0.439265
Cyprus,223.0,934.0,3160.0,1.06,0.14,0.71,0.71,0.54,6.227174,0.488829
Czechia,8940.0,20400.0,193000.0,56.52,35.86,6.2,73.88,20.3,21.46095,1.20495
Denmark,10200.0,9830.0,54400.0,24.66,11.8,8.74,6.48,2.73,14.53286,0.512152
Djibouti,140.0,388.0,494.0,0.11,0.18,0.19,0.12,0.0,2.597529,0.511256
Dominica,13.6,36.2,49.6,0.01,0.0,0.0,0.0,0.0,1.329545,0.276752
Dominican Republic,1570.0,7240.0,7390.0,3.4,0.34,1.74,1.26,0.63,2.606583,0.534053
Ecuador,2850.0,13300.0,14700.0,1.92,1.83,4.84,2.51,1.61,3.589334,0.458897
Egypt,9850.0,23800.0,61100.0,12.83,12.06,10.25,21.17,5.21,1.99055,0.412915
El Salvador,1120.0,2640.0,1990.0,0.07,0.15,0.85,0.43,0.5,1.200296,0.264187
Equatorial Guinea,20.8,53.0,104.0,0.01,0.01,0.01,0.01,0.0,0.565981,0.552794
Eritrea,44.0,732.0,2060.0,0.03,0.0,0.06,0.06,0.02,1.09248,0.0
Estonia,1650.0,3870.0,44000.0,6.12,2.23,2.54,4.52,1.65,32.99323,2.670131
Ethiopia,1570.0,13500.0,35300.0,0.22,0.25,0.65,0.34,0.11,1.31642,1.875251
Fiji,283.0,662.0,676.0,0.26,0.26,0.29,0.09,0.07,2.365985,0.421711
Finland,7180.0,12700.0,45700.0,10.25,8.38,8.83,15.14,3.13,13.49757,0.593266
France and Monaco,69000.0,83800.0,417000.0,76.15,107.15,91.39,99.22,42.63,10.39492,0.396723
French Polynesia,26.8,95.7,368.0,0.18,0.17,0.19,0.02,0.01,2.962324,0.230328
Gabon,135.0,5930.0,17200.0,0.24,0.26,0.43,0.9,3.1,29.60743,1.403447
Gambia,80.7,172.0,527.0,0.02,0.03,0.03,0.02,0.0,1.158265,0.680401
Georgia,3070.0,3950.0,36500.0,13.92,5.31,4.49,11.45,1.15,8.490051,1.379643
Germany,73400.0,157000.0,1070000.0,399.91,220.62,126.76,228.76,95.49,16.74734,0.621881
Ghana,1130.0,1780.0,4670.0,0.02,0.29,1.0,0.19,0.27,0.636643,0.377454
Greece,7180.0,17400.0,58800.0,21.87,6.15,10.77,10.33,9.67,8.447318,0.426952
Greenland,2.75,27.3,152.0,0.0,0.0,0.0,0.0,0.0,3.503271,0.212561
Grenada,8.6,33.3,74.6,0.01,0.01,0.0,0.0,0.0,1.213603,0.229942
Guatemala,1700.0,5290.0,3120.0,0.66,0.43,1.13,0.54,0.35,1.287525,0.233283
Guinea,932.0,1050.0,5430.0,0.1,0.17,0.17,0.11,0.1,1.540905,1.386598
Guinea-Bissau,75.6,224.0,1030.0,0.01,0.01,0.01,0.01,0.0,1.554384,0.97539
Guyana,1140.0,1550.0,1640.0,0.2,0.17,0.06,0.0,0.01,5.566983,1.658561
Haiti,1030.0,987.0,4520.0,0.15,0.05,0.3,0.25,0.24,1.071878,0.438587
Honduras,1890.0,2010.0,4430.0,0.19,0.27,0.73,0.57,0.25,2.065839,0.665386
Hong Kong,239.0,1440.0,20800.0,12.73,0.72,3.21,2.9,0.88,4.34613,0.23991
Hungary,13700.0,15200.0,86900.0,31.89,19.55,7.51,19.48,8.31,10.85327,0.789509
Iceland,413.0,473.0,2030.0,0.01,0.64,0.48,0.47,0.43,12.33417,0.484646
India,116000.0,565000.0,412000.0,106.35,60.44,49.44,112.03,49.08,1.463091,1.050277
Indonesia,50200.0,95100.0,178000.0,8.87,18.9,20.13,27.59,18.37,2.044959,0.617883
Iran,16900.0,144000.0,157000.0,20.29,44.37,29.08,29.25,36.61,7.288353,0.524772
Iraq,3660.0,41700.0,42100.0,7.04,3.57,13.84,6.94,10.69,5.895805,0.448021
Ireland,7250.0,14500.0,27400.0,7.42,8.23,4.15,5.32,2.33,13.92183,0.776838
"Israel and Palestine, State of",1630.0,3060.0,23200.0,11.35,1.98,4.71,3.75,1.42,7.061826,0.387113
