Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2620.0,2220.0,10800.0,0.33,0.36,0.2,0.05,0.21,0.84831,0.791574
Albania,766.0,3240.0,1630.0,0.2,0.38,0.49,0.36,0.2,1.820377,0.466186
Algeria,3440.0,78400.0,89200.0,13.35,7.98,15.01,19.65,21.65,5.722452,0.604753
Angola,2690.0,16500.0,46500.0,0.42,0.91,1.05,1.95,12.17,4.35046,1.293384
Anguilla,0.32,2.9,13.6,0.0,0.0,0.01,0.0,0.0,1.628291,0.085991
Antigua and Barbuda,17.4,46.5,256.0,0.11,0.08,0.05,0.01,0.0,4.121332,0.243524
Argentina,34500.0,123000.0,145000.0,23.88,24.76,40.6,41.58,12.34,8.448811,0.931825
Armenia,423.0,1690.0,3430.0,1.8,0.44,0.06,0.85,0.28,1.770295,0.724724
Australia,44500.0,122000.0,323000.0,153.68,14.12,71.39,63.9,18.96,26.4835,0.826014
Austria,4570.0,11600.0,68600.0,16.01,13.45,16.19,16.88,6.28,10.55916,0.303793
Azerbaijan,1710.0,8640.0,25600.0,13.65,4.83,3.22,4.57,0.53,4.534809,1.314777
Bahamas,69.0,164.0,2830.0,0.73,0.55,0.36,0.06,0.01,10.66203,0.464862
Bahrain,109.0,2700.0,14700.0,9.91,0.25,1.33,2.86,1.9,29.37182,0.669184
Bangladesh,17000.0,23100.0,97400.0,6.97,4.62,3.32,3.83,3.83,1.109895,0.737719
Barbados,66.8,129.0,1000.0,0.3,0.25,0.14,0.03,0.08,4.490726,0.333725
Belarus,9410.0,15400.0,63600.0,35.62,8.77,7.62,6.2,5.61,8.776302,1.435557
Belgium,9270.0,17000.0,125000.0,25.93,32.52,23.6,31.51,10.58,14.76904,0.43766
Belize,92.3,155.0,670.0,0.09,0.07,0.04,0.01,0.0,4.136964,0.680416
Benin,1140.0,1390.0,3170.0,0.05,0.25,0.68,0.18,0.23,0.907916,0.577536
Bermuda,10.5,22.0,387.0,0.12,0.09,0.06,0.01,0.0,6.634895,0.155776
Bhutan,162.0,856.0,840.0,0.03,0.03,0.03,0.18,0.14,3.514455,1.119819
Bolivia,4140.0,8920.0,18600.0,1.27,0.96,3.02,1.24,2.24,4.024692,0.930309
Bosnia and Herzegovina,651.0,2110.0,8800.0,5.83,0.97,1.06,0.55,0.38,3.078544,0.655331
Botswana,1540.0,3380.0,3690.0,1.4,0.15,0.97,0.55,0.15,5.263552,0.539067
Brazil,116000.0,321000.0,379000.0,19.69,36.1,120.61,86.67,57.92,4.869605,0.430829
Brunei,107.0,5480.0,4480.0,2.07,0.07,0.87,2.07,0.4,32.28739,0.429377
Bulgaria,3780.0,10400.0,56900.0,28.9,3.05,4.28,15.04,6.11,8.658015,0.997741
Burkina Faso,1450.0,4050.0,9500.0,0.12,0.2,0.37,0.23,0.08,1.406578,1.449806
Burundi,761.0,594.0,2030.0,0.04,0.06,0.12,0.07,0.02,0.554259,0.720961
Cambodia,1770.0,2350.0,17800.0,0.26,0.13,1.2,0.04,0.14,1.944088,1.67558
Cameroon,3540.0,9600.0,29200.0,0.03,0.56,1.82,0.16,2.74,2.992125,1.257462
Canada,41600.0,126000.0,519000.0,111.95,91.37,144.85,130.23,41.17,22.95333,0.684993
Cape Verde,49.7,55.2,132.0,0.01,0.03,0.05,0.03,0.0,0.580692,0.203051
Cayman Islands,7.01,24.6,226.0,0.08,0.06,0.04,0.01,0.0,7.221868,0.221054
Central African Republic,418.0,1780.0,4110.0,0.03,0.05,0.09,0.06,0.02,1.792398,2.145075
Chad,786.0,3220.0,8750.0,0.02,0.04,0.07,0.04,0.04,1.701993,1.620914
Chile,6190.0,20500.0,55000.0,12.83,5.17,15.73,15.7,4.91,5.553014,0.387195
China,375000.0,1180000.0,3530000.0,1189.02,451.89,165.66,1100.2,519.33,4.038858,1.377988
Colombia,17500.0,66700.0,66400.0,9.09,6.0,21.89,21.95,7.13,3.896135,0.451327
Comoros,44.7,63.0,201.0,0.01,0.01,0.02,0.01,0.0,0.615913,0.455546
Democratic Republic of the Congo,2620.0,3560.0,18100.0,0.02,0.66,0.45,0.02,1.5,0.554248,0.854388
Congo,373.0,3410.0,10700.0,0.0,0.05,0.25,0.02,3.09,4.875634,1.089502
Costa Rica,1970.0,3530.0,4650.0,0.19,0.43,2.68,0.8,0.52,2.757288,0.322527
Cote d'Ivoire,1880.0,5550.0,7720.0,1.7,0.67,1.38,1.03,0.85,0.980701,0.32164
Croatia,2860.0,3490.0,18900.0,4.02,3.1,3.91,5.24,2.53,5.571077,0.381849
Cuba,6800.0,14900.0,28200.0,10.71,3.4,2.76,9.54,1.83,4.529521,0.447879
Cyprus,298.0,1390.0,5980.0,2.32,0.21,1.57,1.37,0.51,8.604961,0.42895
Czechia,6310.0,14800.0,132000.0,67.85,16.85,10.39,27.62,9.6,14.80925,0.749662
Denmark,6940.0,9350.0,65200.0,33.89,8.04,11.94,7.87,3.49,15.44599,0.399627
Djibouti,220.0,667.0,555.0,0.17,0.3,0.56,0.34,0.01,2.181154,0.968395
Dominica,19.5,49.0,96.9,0.02,0.01,0.01,0.0,0.0,2.338213,0.308392
Dominican Republic,2210.0,8130.0,14700.0,5.82,2.14,4.46,1.3,0.94,3.063782,0.438386
Ecuador,4210.0,22500.0,23800.0,3.33,2.03,10.67,4.41,4.48,4.234741,0.538402
Egypt,15500.0,45600.0,112000.0,26.16,11.44,24.07,31.39,19.81,2.6201,0.3899
