Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2780.0,2580.0,11900.0,0.35,0.6,0.38,0.05,0.59,1.350909,0.0
Albania,1090.0,2880.0,6950.0,0.9,1.9,0.85,2.45,0.81,3.913023,0.915233
Algeria,3280.0,54900.0,71500.0,6.92,6.24,7.1,17.97,14.22,6.304439,0.622778
Angola,2130.0,12800.0,50400.0,0.42,0.38,0.86,0.54,2.62,6.815861,1.587828
Anguilla,0.23,2.97,7.02,0.0,0.0,0.01,0.0,0.0,1.55064,0.099215
Antigua and Barbuda,16.2,50.6,241.0,0.08,0.07,0.02,0.0,0.0,4.243383,0.469414
Argentina,30000.0,129000.0,105000.0,19.38,18.64,31.46,23.03,12.64,9.114879,1.221117
Armenia,745.0,1950.0,19600.0,4.89,5.29,2.05,6.27,1.13,6.992491,2.120549
Australia,35600.0,106000.0,230000.0,98.71,10.86,51.58,52.51,15.94,24.6558,0.997456
Austria,5780.0,13200.0,56900.0,9.36,17.51,10.78,12.12,7.14,9.983843,0.3726
Azerbaijan,2510.0,21000.0,63200.0,13.25,6.47,4.15,35.78,4.07,13.65203,1.791809
Bahamas,51.0,154.0,2620.0,0.65,0.52,0.16,0.01,0.04,12.81861,0.611346
Bahrain,64.3,1690.0,8500.0,2.32,0.07,0.77,4.98,0.36,26.56429,0.729139
Bangladesh,10300.0,8170.0,102000.0,1.79,1.93,0.98,2.18,1.08,1.395918,1.174795
Barbados,59.2,125.0,635.0,0.18,0.16,0.04,0.01,0.01,3.22853,0.273882
Belarus,16900.0,19300.0,106000.0,46.82,14.96,11.39,20.9,10.84,14.52656,2.174385
Belgium,11300.0,18600.0,118000.0,31.0,27.69,15.64,34.37,9.64,14.98966,0.578875
Belize,75.6,136.0,241.0,0.04,0.03,0.01,0.0,0.0,2.983018,0.843198
Benin,718.0,530.0,2280.0,0.02,0.07,0.24,0.03,0.17,0.898782,0.511257
Bermuda,9.69,27.8,379.0,0.08,0.07,0.02,0.0,0.0,7.207457,0.11099
Bhutan,110.0,609.0,695.0,0.01,0.01,0.01,0.01,0.05,3.280056,2.341243
Bolivia,3040.0,5530.0,12800.0,0.37,0.73,1.66,2.12,0.56,3.657298,0.810842
Bosnia and Herzegovina,1130.0,4190.0,21000.0,8.28,4.37,2.04,5.65,0.65,6.1701,2.171011
Botswana,1690.0,1540.0,3870.0,0.69,0.05,0.27,0.43,0.01,6.596818,1.508232
Brazil,83900.0,193000.0,279000.0,9.74,19.16,73.25,54.12,37.47,4.38302,0.459237
Brunei,91.0,4460.0,10500.0,0.53,0.04,0.36,1.78,1.75,72.88175,0.533063
Bulgaria,9730.0,16300.0,91600.0,37.05,27.31,3.96,14.38,8.82,13.17437,1.865717
Burkina Faso,685.0,2050.0,5600.0,0.05,0.08,0.09,0.05,0.04,1.164092,1.518882
Burundi,352.0,606.0,1720.0,0.01,0.01,0.01,0.01,0.01,0.61809,0.605812
Cambodia,668.0,1100.0,13100.0,0.11,0.09,0.12,0.02,0.02,2.154928,3.402034
Cameroon,2450.0,2350.0,6790.0,0.09,0.28,1.31,0.2,0.47,1.264891,0.437969
Canada,34000.0,90900.0,416000.0,79.29,89.67,111.2,105.49,29.49,21.58065,0.77855
Cape Verde,28.6,45.4,77.1,0.02,0.03,0.03,0.02,0.0,0.508241,0.407165
Cayman Islands,3.89,19.8,82.5,0.02,0.02,0.01,0.0,0.0,6.116916,0.13096
Central African Republic,232.0,1030.0,2580.0,0.02,0.04,0.04,0.03,0.01,1.590751,1.646003
Chad,393.0,2480.0,6770.0,0.03,0.05,0.06,0.04,0.02,2.045281,2.42987
Chile,4030.0,19900.0,21600.0,2.89,2.48,6.26,6.76,2.58,3.921116,0.453923
China,228000.0,1050000.0,1680000.0,319.34,355.81,84.01,654.28,202.8,2.898824,3.828509
Colombia,14900.0,42100.0,58600.0,5.58,3.73,12.49,13.69,5.99,3.983939,0.587065
Comoros,42.5,22.7,181.0,0.0,0.01,0.01,0.01,0.0,0.754299,0.454941
Democratic Republic of the Congo,1980.0,3100.0,9770.0,0.13,1.35,0.5,0.65,0.46,0.535751,0.379968
Congo,284.0,2390.0,7320.0,0.03,0.06,0.66,0.05,0.22,5.122167,1.355292
Costa Rica,1450.0,4420.0,1960.0,0.06,0.05,1.05,0.52,0.27,3.107414,0.434932
Cote d'Ivoire,1090.0,3490.0,4390.0,0.23,0.49,1.41,0.83,0.52,0.991715,0.246557
Croatia,3610.0,4070.0,24900.0,3.9,2.32,2.86,11.4,4.45,7.018991,0.192556
Cuba,8300.0,14800.0,33300.0,8.77,4.46,5.3,11.99,2.67,5.682044,0.445785
Cyprus,223.0,912.0,3180.0,1.07,0.14,0.65,0.71,0.61,6.239152,0.519282
Czechia,8940.0,20200.0,192000.0,56.68,34.1,6.1,74.36,20.97,21.36158,1.212711
Denmark,8640.0,9820.0,57900.0,26.59,12.72,8.8,6.94,2.88,14.9013,0.544742
Djibouti,142.0,380.0,607.0,0.14,0.24,0.26,0.16,0.0,2.929964,0.572275
Dominica,17.1,35.4,48.9,0.01,0.0,0.0,0.0,0.0,1.349605,0.293975
Dominican Republic,1450.0,6900.0,6390.0,2.37,0.35,1.48,1.59,0.59,2.424474,0.494183
Ecuador,2770.0,14200.0,14900.0,2.83,1.89,4.73,2.37,1.74,3.79957,0.479759
Egypt,9940.0,22100.0,54800.0,10.73,10.76,9.07,19.81,4.76,1.872873,0.406055
El Salvador,1040.0,2650.0,1930.0,0.08,0.13,0.84,0.44,0.44,1.190136,0.241931
Equatorial Guinea,20.1,51.6,99.4,0.01,0.01,0.01,0.01,0.0,0.589052,0.543677
Eritrea,43.0,716.0,2030.0,0.03,0.0,0.07,0.08,0.02,1.102553,0.0
Estonia,1590.0,3820.0,45000.0,6.0,2.25,2.63,4.68,1.6,33.78777,2.805092
Ethiopia,1480.0,13100.0,34300.0,0.21,0.18,0.64,0.33,0.12,1.316712,1.837267
Fiji,300.0,631.0,684.0,0.32,0.28,0.36,0.11,0.06,2.417441,0.415562
Finland,6720.0,12400.0,47300.0,10.5,9.06,8.64,15.89,3.23,13.7493,0.619041
France and Monaco,66800.0,83800.0,434000.0,91.75,106.53,90.57,100.73,44.09,10.72185,0.417239
French Polynesia,24.1,93.4,273.0,0.13,0.11,0.14,0.02,0.01,2.42706,0.193283
Gabon,131.0,6450.0,19700.0,0.12,0.3,0.47,0.87,3.54,34.26676,1.650386
Gambia,77.7,169.0,576.0,0.02,0.03,0.03,0.02,0.0,1.270497,0.866958
Georgia,3070.0,3920.0,36900.0,13.78,5.19,4.67,11.71,2.44,8.628981,1.435892
Germany,72900.0,162000.0,1060000.0,399.06,227.66,124.68,223.08,81.43,16.57301,0.614371
Ghana,1130.0,2800.0,4630.0,0.03,0.57,1.35,0.36,0.49,0.745268,0.404779
Greece,6900.0,17100.0,55300.0,19.47,6.47,9.85,10.15,9.39,8.089347,0.401471
Greenland,2.7,27.2,149.0,0.0,0.0,0.0,0.0,0.0,3.499806,0.216104
Grenada,8.77,33.8,72.3,0.01,0.01,0.0,0.0,0.0,1.233353,0.236037
Guatemala,1720.0,4940.0,3660.0,1.02,0.44,1.17,0.56,0.45,1.348447,0.229695
Guinea,923.0,1040.0,5400.0,0.1,0.16,0.17,0.11,0.1,1.569889,1.402225
Guinea-Bissau,75.9,220.0,1130.0,0.01,0.01,0.01,0.01,0.0,1.711367,1.089968
Guyana,1370.0,1560.0,1730.0,0.24,0.19,0.06,0.0,0.01,5.967864,1.626388
Haiti,1020.0,897.0,4450.0,0.13,0.05,0.3,0.2,0.23,1.070359,0.420917
Honduras,1700.0,1750.0,3830.0,0.23,0.27,0.65,0.45,0.15,1.861504,0.573425
Hong Kong,201.0,1440.0,18100.0,10.05,1.03,3.18,2.87,0.75,3.871983,0.216771
Hungary,13900.0,15300.0,90600.0,33.45,20.83,7.98,19.79,8.43,11.17716,0.839985
Iceland,412.0,470.0,1990.0,0.02,0.65,0.49,0.41,0.42,12.29322,0.487615
India,109000.0,549000.0,387000.0,94.69,55.04,47.59,110.13,46.91,1.431926,1.039058
Indonesia,48400.0,96200.0,181000.0,8.62,19.4,20.81,26.89,18.96,2.107851,0.636255
Iran,15300.0,154000.0,139000.0,16.77,36.1,23.5,25.94,39.24,7.359,0.626847
Iraq,3720.0,43200.0,38300.0,3.82,3.34,13.45,6.55,11.05,5.897023,0.417125
Ireland,7060.0,14200.0,27800.0,7.63,7.86,4.34,5.45,2.57,13.99185,0.787008
"Israel and Palestine, State of",1580.0,2970.0,22400.0,10.51,1.87,4.45,4.09,1.48,6.949378,0.379392
Italy,26500.0,54100.0,382000.0,97.13,73.16,73.76,97.07,40.56,8.156373,0.327102
Jamaica,329.0,1180.0,5790.0,1.37,0.42,0.97,2.8,0.22,3.265354,0.514391
Japan,28800.0,88100.0,949000.0,271.16,119.65,148.53,280.87,127.84,8.913945,0.417653
Jordan,457.0,993.0,6460.0,1.43,1.07,2.21,1.28,0.47,3.089474,0.36711
