Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2030.0,2020.0,8520.0,0.16,0.63,0.23,0.05,0.22,0.777309,0.702265
Albania,940.0,3860.0,2390.0,0.39,0.33,0.63,0.68,0.35,2.289548,0.65547
Algeria,3710.0,77700.0,102000.0,12.34,8.17,15.52,18.57,23.11,6.450254,0.708439
Angola,2340.0,11600.0,37200.0,0.18,0.63,1.54,1.83,7.39,3.694451,1.33378
Anguilla,0.29,2.74,13.1,0.0,0.0,0.01,0.0,0.0,1.693769,0.078905
Antigua and Barbuda,15.8,45.9,250.0,0.11,0.08,0.05,0.03,0.0,4.339966,0.254552
Argentina,34200.0,141000.0,131000.0,22.03,24.08,37.15,31.66,9.07,8.872487,1.045468
Armenia,434.0,1730.0,2880.0,0.82,1.06,0.16,0.64,0.21,1.537541,0.771122
Australia,41900.0,120000.0,293000.0,136.96,12.82,64.83,60.29,17.56,25.40061,0.861614
Austria,4560.0,12300.0,62000.0,13.12,12.41,15.28,15.42,5.93,9.925068,0.303663
Azerbaijan,1790.0,8490.0,32900.0,16.09,6.24,3.24,7.71,0.59,5.622659,1.492793
Bahamas,51.6,151.0,2270.0,0.54,0.41,0.26,0.13,0.01,8.968641,0.416652
Bahrain,103.0,2480.0,13200.0,9.17,0.16,1.19,2.77,1.71,28.73223,0.672878
Bangladesh,15700.0,17200.0,96500.0,5.93,3.27,2.21,2.07,3.3,1.114378,0.797075
Barbados,64.4,130.0,889.0,0.27,0.21,0.12,0.07,0.04,4.101457,0.336074
Belarus,9370.0,17000.0,69900.0,40.25,10.83,6.74,6.21,6.13,9.472022,1.60397
Belgium,8590.0,17400.0,121000.0,27.8,29.0,22.89,32.29,9.29,14.49392,0.45877
Belize,91.6,165.0,487.0,0.06,0.05,0.03,0.01,0.0,3.686747,0.583017
Benin,993.0,411.0,3070.0,0.03,0.04,0.12,0.02,0.2,0.782771,0.530266
