Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2870.0,2940.0,11800.0,0.27,0.04,0.16,0.08,0.2,0.731362,0.687344
Albania,930.0,3130.0,4440.0,0.17,0.88,2.3,0.66,0.41,2.744278,0.42349
Algeria,4690.0,92600.0,73200.0,19.84,11.51,22.02,19.99,19.3,5.194479,0.44027
Angola,2970.0,17500.0,33700.0,0.65,1.3,3.14,2.31,10.1,2.873456,0.829625
Anguilla,0.24,4.21,13.5,0.0,0.0,0.01,0.0,0.0,1.452414,0.065603
Antigua and Barbuda,20.8,49.9,311.0,0.13,0.04,0.09,0.02,0.0,4.328811,0.229018
Argentina,46100.0,131000.0,161000.0,32.01,29.54,37.89,47.11,15.73,8.736586,1.035145
Armenia,532.0,1880.0,3830.0,0.77,0.99,0.61,1.1,0.37,2.081635,0.445068
Australia,47900.0,125000.0,407000.0,196.46,17.4,79.18,73.55,20.01,29.05501,0.75596
Austria,3890.0,10800.0,80800.0,17.84,13.62,23.84,18.44,6.64,11.62161,0.289448
Azerbaijan,2240.0,10800.0,28700.0,13.3,6.03,3.79,4.28,1.28,4.938811,0.780828
Bahamas,78.1,184.0,2830.0,0.93,0.31,0.62,0.14,0.01,9.590903,0.382521
Bahrain,132.0,3850.0,15200.0,12.67,0.22,2.13,2.76,2.13,23.05715,0.528847
Bangladesh,20100.0,36200.0,102000.0,13.46,7.43,4.54,4.3,6.71,1.122913,0.609243
Barbados,56.5,114.0,1220.0,1.59,0.1,0.16,0.05,0.13,5.072713,0.350249
Belarus,9090.0,15900.0,62700.0,33.7,6.85,6.99,6.93,6.08,9.054554,0.914887
Belgium,7880.0,17500.0,122000.0,24.83,31.36,26.88,27.98,11.27,14.09773,0.363572
Belize,118.0,186.0,805.0,0.21,0.07,0.14,0.03,0.0,4.018657,0.510582
Benin,1390.0,2590.0,3910.0,0.06,0.83,1.4,0.15,0.16,1.018739,0.579135
Bermuda,14.5,25.4,487.0,0.15,0.05,0.1,0.02,0.0,8.104883,0.149071
Bhutan,162.0,599.0,797.0,0.06,0.01,0.04,0.04,0.16,2.433879,0.562073
Bolivia,5010.0,9660.0,19000.0,1.34,2.01,3.39,1.78,0.96,3.756949,0.82064
Bosnia and Herzegovina,897.0,2980.0,16100.0,10.14,1.7,2.39,0.95,0.9,5.279619,0.698389
Botswana,1360.0,4320.0,3350.0,1.61,0.25,1.46,0.64,0.19,4.933467,0.439204
Brazil,151000.0,376000.0,458000.0,33.55,34.99,136.28,105.05,67.93,5.328931,0.442178
Brunei,124.0,5290.0,4970.0,2.69,0.05,0.97,1.21,0.35,28.88765,0.380719
Bulgaria,3400.0,9750.0,50900.0,26.82,2.12,6.83,10.0,4.98,8.269303,0.708198
Burkina Faso,1380.0,5030.0,12100.0,0.21,0.19,0.46,0.1,0.08,1.424066,1.216653
Burundi,785.0,696.0,2750.0,0.07,0.07,0.16,0.03,0.03,0.589033,0.794151
Cambodia,2420.0,2550.0,19000.0,0.66,0.24,1.38,0.1,0.04,1.831416,1.038769
Cameroon,4390.0,9200.0,23200.0,0.12,0.54,2.17,0.2,2.66,2.171928,0.819352
Canada,34000.0,121000.0,567000.0,129.89,92.95,157.91,145.38,42.33,22.60095,0.569786
Cape Verde,64.5,71.5,173.0,0.05,0.04,0.11,0.02,0.0,0.660172,0.149916
Cayman Islands,8.95,32.1,273.0,0.1,0.03,0.07,0.01,0.0,6.629285,0.353419
Central African Republic,403.0,2200.0,5050.0,0.06,0.06,0.14,0.03,0.02,1.887918,2.266927
Chad,994.0,3800.0,11400.0,0.04,0.03,0.08,0.02,0.21,1.670522,1.05243
Chile,7460.0,21500.0,58700.0,16.59,4.91,16.92,14.92,5.11,5.48217,0.333451
China,440000.0,1300000.0,5690000.0,2203.91,478.14,387.37,1654.65,832.14,5.657545,1.118159
Colombia,18500.0,58600.0,65800.0,5.92,5.79,20.27,20.01,6.39,3.344823,0.373144
Comoros,46.6,72.0,238.0,0.01,0.01,0.03,0.01,0.0,0.597601,0.422026
Democratic Republic of the Congo,2790.0,2600.0,19900.0,0.01,0.0,0.89,0.11,1.3,0.477008,0.893776
Congo,387.0,3620.0,7850.0,0.04,0.01,0.71,0.02,2.87,3.2875,0.724486
Costa Rica,1290.0,3120.0,6280.0,0.06,0.41,3.84,1.0,0.84,2.553804,0.246513
Cote d'Ivoire,1960.0,6010.0,9110.0,1.97,1.4,1.14,0.9,0.57,0.949013,0.353229
Croatia,2610.0,4100.0,23500.0,5.08,3.83,5.25,5.44,3.78,6.898707,0.364794
Cuba,5930.0,13300.0,25300.0,12.94,4.03,1.97,5.28,1.11,3.951416,0.308813
Cyprus,330.0,1570.0,7730.0,3.28,0.24,1.98,1.41,0.82,9.531177,0.403966
Czechia,6660.0,13700.0,130000.0,66.09,15.69,15.85,24.17,9.27,14.66321,0.612943
Denmark,6010.0,9200.0,55000.0,24.52,6.49,13.07,7.72,3.2,12.99261,0.302166
Djibouti,234.0,758.0,898.0,0.32,0.29,0.71,0.15,0.01,2.452299,1.101375
Dominica,13.5,49.1,137.0,0.03,0.01,0.02,0.0,0.0,2.83958,0.319612
Dominican Republic,2220.0,8540.0,19500.0,7.82,1.2,5.28,2.58,1.18,3.325885,0.40342
Ecuador,4490.0,23500.0,22100.0,3.48,4.04,9.32,5.38,4.03,3.703456,0.446084
Egypt,20600.0,49700.0,155000.0,49.98,14.39,31.34,32.44,30.08,2.986078,0.383225
El Salvador,1290.0,3440.0,6640.0,1.42,0.51,2.84,1.16,0.7,1.894029,0.28076
Equatorial Guinea,34.3,3290.0,6610.0,0.07,0.02,0.05,0.01,3.16,13.70374,0.522815
Eritrea,688.0,1210.0,3450.0,0.27,0.08,0.27,0.04,0.03,1.385364,0.848521
Estonia,784.0,2660.0,17600.0,12.71,0.76,2.04,1.14,2.64,15.45643,0.764618
Ethiopia,5500.0,22000.0,61600.0,0.02,1.34,2.33,1.11,0.71,1.193982,1.772993
Fiji,390.0,843.0,882.0,0.98,0.15,0.65,0.33,0.07,2.583226,0.329396
Finland,6840.0,13300.0,72700.0,34.75,6.01,12.6,13.8,3.47,17.70982,0.469995
France and Monaco,43100.0,70000.0,411000.0,49.12,107.92,133.12,78.88,36.28,8.613012,0.231602
French Polynesia,41.4,126.0,626.0,0.33,0.05,0.22,0.11,0.01,3.151115,0.18574
Gabon,211.0,6600.0,11900.0,0.51,0.18,0.37,0.37,5.2,13.72074,0.814843
Gambia,178.0,249.0,845.0,0.05,0.04,0.11,0.02,0.01,0.909609,0.565071
Georgia,1880.0,3590.0,4060.0,0.83,0.68,1.2,0.48,0.88,2.101868,0.507872
Germany,43300.0,84600.0,870000.0,354.97,164.07,163.99,121.59,53.12,12.20711,0.321319
Ghana,2020.0,6790.0,9110.0,0.51,0.71,3.65,1.05,0.98,0.853578,0.34692
Greece,5560.0,23400.0,103000.0,46.82,13.4,21.39,11.87,9.16,11.67525,0.401296
Greenland,3.41,28.7,203.0,0.13,0.34,0.1,0.05,0.0,4.137085,0.203274
Grenada,18.0,41.4,389.0,0.07,0.02,0.04,0.01,0.0,4.367552,0.41481
Guatemala,2790.0,7390.0,11200.0,3.19,0.69,4.74,1.6,0.9,1.668495,0.268901
Guinea,1560.0,2020.0,7500.0,0.22,0.2,0.49,0.1,0.2,1.167696,0.984754
Guinea-Bissau,220.0,352.0,1050.0,0.06,0.06,0.14,0.03,0.01,1.201305,0.917215
Guyana,1280.0,1660.0,2500.0,0.34,0.12,0.23,0.05,0.01,7.234438,1.514615
Haiti,1400.0,2140.0,5780.0,0.17,0.24,1.12,0.36,0.25,1.021586,0.655698
Honduras,2510.0,7660.0,5960.0,2.29,0.68,2.33,1.73,0.8,2.239209,0.627492
Hong Kong,443.0,2050.0,42900.0,28.3,2.42,5.24,4.94,0.6,6.667967,0.174834
Hungary,9750.0,9730.0,59500.0,20.25,16.85,10.88,7.08,4.51,7.812084,0.36822
Iceland,370.0,509.0,3180.0,0.01,0.74,0.67,0.85,0.92,13.9539,0.369855
India,193000.0,700000.0,1220000.0,548.31,133.15,108.05,238.87,128.64,1.876513,0.628045
Indonesia,67800.0,362000.0,222000.0,86.35,45.04,70.83,113.8,42.02,2.913071,0.445251
Iran,39400.0,141000.0,435000.0,91.12,118.37,96.96,79.38,47.69,8.837527,0.625825
Iraq,4270.0,48200.0,91100.0,27.45,10.42,24.14,10.87,17.03,5.457639,0.509356
Ireland,7470.0,18800.0,46000.0,14.66,10.11,11.82,5.8,2.92,17.49209,0.392222
"Israel and Palestine, State of",2310.0,5750.0,64300.0,38.95,5.16,14.16,2.9,3.07,11.17973,0.413206
Italy,26400.0,48200.0,497000.0,161.47,84.34,124.04,85.08,42.03,9.776219,0.268221
Jamaica,578.0,2050.0,10600.0,4.5,0.48,2.11,3.16,0.34,4.84701,0.578426
Japan,24800.0,53000.0,1290000.0,499.25,150.32,238.17,284.92,97.54,10.65114,0.319741
Jordan,801.0,2560.0,18600.0,6.16,3.09,4.4,3.04,1.76,3.969058,0.472412
Kazakhstan,12200.0,46300.0,163000.0,78.34,6.54,9.23,52.3,25.04,14.38412,0.961166
Kenya,8000.0,9880.0,31200.0,1.22,0.92,2.73,1.85,1.16,1.399354,0.648363
Kiribati,4.73,23.9,28.9,0.01,0.0,0.01,0.0,0.0,0.634528,0.354267
North Korea,3020.0,23400.0,76400.0,11.83,13.82,1.55,44.89,4.26,4.332404,855.5422
South Korea,12900.0,36000.0,514000.0,201.93,66.1,88.95,102.74,55.43,11.61501,0.475786
Kuwait,680.0,23800.0,66500.0,30.26,0.37,7.54,18.06,10.31,41.21146,0.470627
Kyrgyzstan,1170.0,4500.0,5690.0,1.66,0.75,1.18,1.59,0.51,2.255345,0.926762
Laos,1650.0,1450.0,7200.0,0.29,0.02,0.11,0.5,0.14,1.818305,0.650128
Latvia,1150.0,2180.0,8140.0,2.23,1.26,2.87,1.11,0.65,5.032178,0.329079
Lebanon,825.0,1820.0,16600.0,7.46,1.95,4.01,1.77,1.39,4.982097,0.404429
Lesotho,244.0,529.0,1450.0,0.04,0.03,0.08,0.02,0.01,1.148919,0.655159
Liberia,250.0,532.0,1380.0,0.08,0.08,0.19,0.04,0.04,0.681713,1.167372
Libya,1200.0,55200.0,27800.0,17.42,2.47,12.38,10.15,13.12,14.75741,0.624356
Lithuania,4020.0,4540.0,13300.0,3.71,1.12,3.83,2.9,1.62,6.46699,0.38788
Luxembourg,272.0,528.0,11900.0,1.37,1.73,6.83,1.3,0.7,28.1856,0.321736
Macao,17.5,162.0,2020.0,0.87,0.13,0.58,0.3,0.01,4.669332,0.07672
Macedonia,520.0,1770.0,9200.0,5.94,0.67,1.01,0.92,0.66,5.585145,0.62262
Madagascar,2050.0,5100.0,17000.0,0.48,0.4,0.98,0.22,0.12,1.355208,0.991472
Malawi,1220.0,2150.0,4130.0,0.35,0.16,0.35,0.12,0.15,0.591261,0.706946
Malaysia,10800.0,42700.0,167000.0,49.3,4.29,40.96,52.01,23.89,8.740436,0.487247
Maldives,15.0,39.4,515.0,0.27,0.04,0.18,0.09,0.0,1.833234,0.203019
Mali,1120.0,5010.0,14200.0,0.07,0.1,0.23,0.06,0.07,1.64284,1.372378
Malta,61.3,131.0,2640.0,2.05,0.11,0.45,0.0,0.04,6.991207,0.285004
Mauritania,1600.0,2070.0,6320.0,0.5,0.45,1.12,0.24,0.15,3.281357,1.164612
Mauritius,159.0,396.0,2150.0,1.4,0.18,0.83,0.36,0.02,2.226486,0.174928
Mexico,89600.0,122000.0,399000.0,127.8,32.38,122.76,113.07,35.02,5.705604,0.379739
Moldova,733.0,2060.0,7840.0,3.7,1.89,1.26,0.65,0.35,2.55231,0.958003
Mongolia,3100.0,9590.0,7100.0,6.64,1.01,1.16,0.7,0.08,7.924684,1.389307
Morocco,5830.0,12700.0,43100.0,15.48,5.39,9.79,5.93,5.15,2.040696,0.38351
Mozambique,2170.0,2820.0,8720.0,0.04,0.21,1.14,0.31,1.13,0.674812,0.95956
Myanmar,10500.0,12000.0,74500.0,2.47,0.76,4.27,2.5,0.53,2.017783,1.307769
Namibia,2230.0,1810.0,3960.0,0.01,0.78,1.32,0.23,0.01,3.98371,0.555963
Nepal,3010.0,4020.0,26700.0,0.01,1.19,0.84,0.66,0.24,1.332281,0.808197
Netherlands,13800.0,25800.0,184000.0,63.26,38.61,34.19,35.48,14.86,13.74181,0.319487
New Caledonia,109.0,255.0,1830.0,0.91,0.1,0.45,1.03,0.06,9.606939,0.598855
New Zealand,12600.0,36400.0,35600.0,8.53,3.31,13.46,7.14,3.56,20.72088,0.659465
Nicaragua,3000.0,4440.0,6410.0,1.58,0.36,1.46,0.71,0.31,2.60733,0.707926
Niger,1370.0,5270.0,14500.0,0.26,0.04,0.4,0.07,0.06,1.613157,2.126132
Nigeria,23700.0,95400.0,187000.0,8.16,3.26,29.59,13.32,48.28,2.26148,0.549254
Norway,4310.0,22300.0,45900.0,0.74,3.94,13.01,17.9,10.21,15.77004,0.253179
Oman,715.0,31900.0,21800.0,10.24,0.82,3.16,10.77,6.61,22.26545,0.535756
Pakistan,38700.0,132000.0,142000.0,34.28,13.13,29.26,36.14,15.44,2.074354,0.545043
Palau,0.5,1.89,19.9,0.71,0.11,0.47,0.24,0.0,1.126246,0.076593
Panama,1090.0,3630.0,5640.0,1.55,0.4,2.56,0.78,0.35,3.169862,0.288744
Papua New Guinea,643.0,1940.0,4550.0,1.68,0.22,0.97,0.49,0.31,1.157244,0.682874
Paraguay,4260.0,5930.0,16000.0,0.0,0.2,3.37,0.2,0.5,4.594559,0.754188
Peru,6250.0,19800.0,31800.0,5.2,3.38,10.61,9.59,2.93,2.119841,0.295751
