Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2140.0,2460.0,8320.0,0.71,0.79,0.67,0.09,0.52,1.122661,0.0
Albania,1140.0,3250.0,8040.0,1.01,2.2,1.05,2.97,0.78,3.981876,0.943872
Algeria,3670.0,69800.0,95700.0,9.44,6.01,12.67,19.01,19.49,7.074835,0.650943
Angola,2250.0,14600.0,55800.0,0.17,0.63,1.04,1.01,2.93,6.471532,1.501057
Anguilla,0.17,2.39,6.13,0.0,0.0,0.0,0.0,0.0,1.20625,0.061158
Antigua and Barbuda,15.2,48.3,211.0,0.09,0.08,0.03,0.01,0.0,4.052425,0.309762
Argentina,30300.0,127000.0,115000.0,19.74,21.72,29.33,30.36,13.98,8.711637,1.156305
Armenia,817.0,2040.0,20400.0,4.66,6.08,2.04,6.56,1.1,6.752254,1.980848
Australia,36800.0,114000.0,250000.0,111.24,11.21,57.18,52.18,16.78,24.63743,0.940242
Austria,4980.0,13300.0,59600.0,10.62,16.62,11.69,13.46,7.22,10.19664,0.347696
Azerbaijan,2850.0,20400.0,72500.0,14.16,7.77,4.75,42.74,3.77,13.8784,1.771814
Bahamas,43.6,135.0,2170.0,0.56,0.51,0.18,0.07,0.01,9.648266,0.409331
Bahrain,84.0,2070.0,12300.0,5.89,0.1,0.84,2.79,1.09,32.19739,0.870399
Bangladesh,12100.0,11700.0,98600.0,3.54,2.5,1.42,1.94,1.67,1.245187,0.983742
Barbados,67.5,127.0,1030.0,0.27,0.26,0.09,0.03,0.07,4.752695,0.38911
Belarus,17600.0,21000.0,105000.0,44.62,15.64,11.72,20.49,11.75,14.18434,1.966292
Belgium,11800.0,18100.0,110000.0,20.63,30.14,18.46,32.11,8.37,14.04248,0.511639
Belize,91.8,131.0,428.0,0.05,0.04,0.02,0.01,0.0,3.737444,1.050102
Benin,767.0,518.0,2440.0,0.03,0.03,0.28,0.02,0.16,0.822003,0.503342
Bermuda,10.6,24.2,449.0,0.16,0.14,0.05,0.02,0.0,8.106665,0.114309
Bhutan,126.0,561.0,801.0,0.01,0.01,0.01,0.1,0.06,2.972328,1.750005
Bolivia,3240.0,4960.0,13500.0,0.49,0.72,1.98,1.15,0.53,3.353693,0.934334
Bosnia and Herzegovina,1090.0,4610.0,22200.0,11.24,3.75,2.5,3.96,0.74,6.224552,2.24429
Botswana,1400.0,1920.0,3300.0,0.78,0.08,0.42,0.51,0.01,5.234238,0.879146
Brazil,94300.0,223000.0,313000.0,15.06,24.41,76.21,63.73,43.69,4.459937,0.438491
Brunei,86.3,3110.0,3590.0,0.97,0.04,0.49,1.5,0.12,28.57325,0.377343
Bulgaria,8710.0,15800.0,92900.0,41.48,24.42,3.71,14.6,8.63,13.10237,1.547462
Burkina Faso,854.0,2690.0,6890.0,0.07,0.1,0.13,0.14,0.04,1.282025,1.554686
Burundi,432.0,663.0,1940.0,0.02,0.03,0.04,0.04,0.02,0.608092,0.578767
Cambodia,901.0,1560.0,12700.0,0.15,0.08,0.14,0.02,0.02,1.852051,2.943684
Cameroon,2970.0,5320.0,18300.0,0.05,0.39,1.67,0.17,6.49,2.488554,0.704689
Canada,33900.0,107000.0,434000.0,90.02,73.31,118.67,114.59,36.37,21.60384,0.735159
Cape Verde,36.9,42.3,86.0,0.01,0.01,0.02,0.02,0.0,0.508475,0.34081
Cayman Islands,3.12,16.3,107.0,0.03,0.03,0.01,0.0,0.0,5.901972,0.139816
Central African Republic,312.0,1230.0,3020.0,0.03,0.04,0.06,0.06,0.02,1.655034,1.764793
Chad,476.0,2280.0,6360.0,0.03,0.04,0.06,0.06,0.03,1.685423,1.566143
Chile,4520.0,15700.0,23000.0,2.83,2.41,6.78,8.49,2.15,3.426384,0.449975
China,281000.0,1120000.0,2170000.0,473.59,452.69,111.14,792.82,285.14,3.210904,2.687688
Colombia,15500.0,49000.0,57800.0,7.12,4.91,14.65,15.93,5.84,3.782526,0.53714
Comoros,37.2,32.5,176.0,0.01,0.01,0.02,0.02,0.0,0.651647,0.390514
Democratic Republic of the Congo,2290.0,3800.0,11400.0,0.14,1.78,0.57,0.83,0.48,0.555928,0.401904
Congo,314.0,2430.0,8120.0,0.0,0.08,0.58,0.06,0.24,4.831849,1.310064
Costa Rica,1570.0,4450.0,2420.0,0.11,0.07,1.38,0.64,0.2,2.936874,0.428103
Cote d'Ivoire,1160.0,3350.0,5210.0,0.79,0.55,1.09,0.63,0.38,0.882658,0.257023
Croatia,3810.0,4100.0,26300.0,4.12,2.48,3.2,11.6,4.88,7.182691,0.197177
Cuba,8540.0,14600.0,37600.0,10.62,5.3,5.59,13.09,2.85,5.913889,0.425155
Cyprus,261.0,1020.0,4070.0,1.42,0.16,0.92,1.1,0.48,7.400596,0.487248
Czechia,8730.0,20800.0,192000.0,50.22,42.32,6.46,77.28,15.54,21.43491,1.13878
Denmark,7740.0,9300.0,62600.0,29.94,11.3,11.05,7.53,2.81,15.55502,0.469961
Djibouti,163.0,469.0,552.0,0.1,0.14,0.18,0.2,0.0,2.415047,0.631714
Dominica,18.0,44.8,70.2,0.01,0.01,0.0,0.0,0.0,1.837889,0.319104
Dominican Republic,1670.0,7410.0,8790.0,4.18,0.45,2.63,0.82,0.71,2.642639,0.548814
Ecuador,2800.0,14300.0,16300.0,0.85,2.43,5.73,2.61,2.07,3.514513,0.455763
Egypt,11300.0,31900.0,80300.0,20.57,9.79,12.86,27.61,9.66,2.326215,0.406641
El Salvador,1230.0,2870.0,2510.0,0.3,0.15,1.05,0.49,0.51,1.30978,0.292799
Equatorial Guinea,21.8,84.4,116.0,0.01,0.01,0.02,0.02,0.0,0.570047,0.590652
Eritrea,44.4,731.0,2130.0,0.02,0.0,0.08,0.08,0.02,0.993767,0.0
Estonia,1730.0,3990.0,43700.0,5.39,2.26,2.51,4.03,1.75,31.83985,2.462577
Ethiopia,2090.0,13600.0,36900.0,0.16,0.39,0.87,0.44,0.23,1.208647,1.912358
Fiji,335.0,505.0,777.0,0.27,0.15,0.25,0.06,0.04,2.239602,0.38885
Finland,6660.0,12400.0,56300.0,17.62,9.05,10.8,14.72,4.08,15.22268,0.606318
France and Monaco,68700.0,79800.0,376000.0,37.33,106.27,100.38,91.13,40.5,9.362433,0.341536
French Polynesia,32.0,107.0,581.0,0.34,0.2,0.32,0.04,0.01,3.8958,0.262113
