Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,2980.0,3120.0,12200.0,0.41,0.08,0.25,0.12,0.2,0.728452,0.642477
Albania,847.0,3120.0,4200.0,0.14,0.7,2.37,0.61,0.37,2.652038,0.384881
Algeria,4700.0,98400.0,75100.0,20.65,12.5,24.16,20.15,20.74,5.355644,0.434542
Angola,3290.0,16200.0,34600.0,0.77,1.0,2.45,1.93,9.83,2.769409,0.700481
Anguilla,0.25,4.35,13.7,0.0,0.0,0.01,0.0,0.0,1.444734,0.055251
Antigua and Barbuda,20.7,50.4,306.0,0.13,0.04,0.09,0.01,0.0,4.226413,0.213284
Argentina,47600.0,131000.0,165000.0,32.69,31.25,39.63,45.88,15.98,8.785048,0.963369
Armenia,534.0,1930.0,4540.0,0.95,1.15,0.67,1.36,0.41,2.348229,0.438587
Australia,48800.0,127000.0,412000.0,201.62,17.85,79.33,73.05,19.74,29.0653,0.742451
Austria,3850.0,10700.0,82000.0,18.16,12.98,24.56,18.48,6.83,11.69959,0.286527
Azerbaijan,2340.0,11800.0,30500.0,13.94,6.63,4.21,4.22,1.47,5.225835,0.660663
Bahamas,79.9,187.0,2780.0,0.98,0.28,0.68,0.1,0.01,9.241591,0.364552
Bahrain,139.0,4240.0,16500.0,14.97,0.23,2.5,2.86,2.83,23.50273,0.539139
Bangladesh,20400.0,39600.0,105000.0,14.66,7.43,5.06,4.81,6.88,1.153488,0.59607
Barbados,56.2,112.0,1200.0,1.66,0.1,0.22,0.04,0.14,5.007049,0.331264
Belarus,9790.0,16400.0,63700.0,33.09,7.14,7.78,6.99,6.38,9.336146,0.857258
Belgium,8020.0,17100.0,118000.0,25.39,31.03,26.04,24.91,11.33,13.5688,0.34582
Belize,118.0,189.0,790.0,0.21,0.06,0.14,0.02,0.0,3.871419,0.492364
Benin,1430.0,2840.0,4030.0,0.08,0.92,1.54,0.14,0.16,1.040372,0.598978
Bermuda,15.0,25.1,471.0,0.13,0.04,0.09,0.01,0.0,7.848818,0.14222
Bhutan,166.0,613.0,868.0,0.11,0.01,0.04,0.2,0.16,2.507978,0.554674
Bolivia,5050.0,10400.0,19600.0,1.62,2.01,3.54,1.9,0.93,3.83593,0.818103
Bosnia and Herzegovina,933.0,3130.0,16900.0,10.37,1.91,2.3,1.28,1.03,5.536758,0.673842
Botswana,1420.0,4620.0,3480.0,1.68,0.18,1.5,0.92,0.19,5.125883,0.442858
Brazil,153000.0,378000.0,466000.0,34.29,34.25,136.98,105.08,70.18,5.331489,0.433678
Brunei,122.0,5180.0,4850.0,2.63,0.05,0.95,1.19,0.35,27.80849,0.370776
Bulgaria,3360.0,9500.0,52000.0,26.98,2.12,7.63,9.75,5.56,8.445838,0.668761
Burkina Faso,1470.0,5110.0,12800.0,0.21,0.18,0.48,0.09,0.08,1.440279,1.172295
Burundi,777.0,719.0,2870.0,0.06,0.05,0.14,0.03,0.03,0.588382,0.812181
Cambodia,2690.0,2750.0,20800.0,0.77,0.26,1.49,0.13,0.04,1.97551,1.004099
Cameroon,4450.0,9260.0,23800.0,0.16,0.48,2.11,0.18,2.58,2.151253,0.81663
